,age_bin,sex,marital_status,military_status,family_type,housing_type,education_level,bachelors_field,occupation,district,province
age_bin,1.0,0.08025695489874606,0.48299620026202156,0.04610572659395459,0.3365460412094546,0.03216266552758357,0.33257412229265826,0.13279638230638985,0.21047646095978595,0.08030114004023652,0.0453512355956982
sex,0.08025695489874606,1.0,0.22707014334902126,0.05922721104141922,0.18143849229893275,0.004810424047415567,0.16205547709915955,0.2641194169488383,0.45443194505139134,0.0362113897256232,0.020140897595570292
marital_status,0.48299620026202156,0.22707014334902126,1.0,0.03054820296493571,0.6936045655179238,0.029524575766664757,0.28835142962775073,0.12319265733197789,0.17792583484241772,0.10757822245099033,0.06686492030948021
military_status,0.04610572659395459,0.05922721104141922,0.03054820296493571,1.0,0.02866788376883209,0.006238557962532878,0.03217923919581085,0.028803495464037217,1.0,0.038574117550204054,0.022918802671942164
family_type,0.3365460412094546,0.18143849229893275,0.6936045655179238,0.02866788376883209,1.0,0.029306780038591877,0.18300785963856733,0.059609906613080625,0.06619437874771632,0.06417271388051568,0.055306692123959326
housing_type,0.03216266552758357,0.004810424047415567,0.029524575766664757,0.006238557962532878,0.029306780038591877,1.0,0.041963486928375954,0.02750859655572144,0.06455665429221234,0.2655806508817555,0.17609290379956216
education_level,0.33257412229265826,0.16205547709915955,0.28835142962775073,0.03217923919581085,0.18300785963856733,0.041963486928375954,1.0,0.4082796712301332,0.33343275528407096,0.14043384855055938,0.07867613631496988
bachelors_field,0.13279638230638985,0.2641194169488383,0.12319265733197789,0.028803495464037217,0.059609906613080625,0.02750859655572144,0.4082796712301332,1.0,0.2609324879845115,0.0787917204525998,0.04901923587244536
occupation,0.21047646095978595,0.45443194505139134,0.17792583484241772,1.0,0.06619437874771632,0.06455665429221234,0.33343275528407096,0.2609324879845115,1.0,0.05092484937021404,0.08257280865014309
district,0.08030114004023652,0.0362113897256232,0.10757822245099033,0.038574117550204054,0.06417271388051568,0.2655806508817555,0.14043384855055938,0.0787917204525998,0.05092484937021404,1.0,1.0
province,0.0453512355956982,0.020140897595570292,0.06686492030948021,0.022918802671942164,0.055306692123959326,0.17609290379956216,0.07867613631496988,0.04901923587244536,0.08257280865014309,1.0,1.0
