,age_bin,sex,marital_status,military_status,family_type,housing_type,education_level,bachelors_field,occupation,district,province
age_bin,1.0,0.002483115854298858,0.2103254794243742,0.0015939574899280196,0.15300175435492658,0.0016191419799970832,0.15224670152218048,0.039713230450034456,0.052587317920840454,0.006068579268763838,0.0032399763606325654
sex,0.002483115854298858,1.0,0.03210455250977342,0.005547200019753219,0.011494118776205133,1.252883389979697e-05,0.011528629628709437,0.037113046515710506,0.046343199080749124,0.0002219955491115242,0.00013009232760830762
marital_status,0.2103254794243742,0.03210455250977342,1.0,0.001000246162502151,0.43983711810730475,0.0011635251539154098,0.07690226854461521,0.020834834786813496,0.0184675255247912,0.005042463062051301,0.003685856829091435
military_status,0.0015939574899280196,0.005547200019753219,0.001000246162502151,1.0,0.00039393861684607,3.2220346131403304e-05,0.0008045860050525751,0.0005022831775179233,0.015003857221765697,0.00021594393580435546,0.0001673749338344801
family_type,0.15300175435492658,0.011494118776205133,0.43983711810730475,0.00039393861684607,1.0,0.0012132473833392715,0.0445209329035624,0.010080962061604195,0.020696612284652065,0.012870811286587942,0.007540006294371288
housing_type,0.0016191419799970832,1.252883389979697e-05,0.0011635251539154098,3.2220346131403304e-05,0.0012132473833392715,1.0,0.002957622275378989,0.00156989352478514,0.0035062950241119867,0.04875812407432587,0.042046263122478944
education_level,0.15224670152218048,0.011528629628709437,0.07690226854461521,0.0008045860050525751,0.0445209329035624,0.002957622275378989,1.0,0.4207758431711345,0.10407804614642309,0.015195516283772385,0.008752269199401365
bachelors_field,0.039713230450034456,0.037113046515710506,0.020834834786813496,0.0005022831775179233,0.010080962061604195,0.00156989352478514,0.4207758431711345,1.0,0.08256002752853399,0.0094550643928829,0.0064035525507213495
occupation,0.052587317920840454,0.046343199080749124,0.0184675255247912,0.015003857221765697,0.020696612284652065,0.0035062950241119867,0.10407804614642309,0.08256002752853399,1.0,0.040046886562890745,0.014477918378249447
district,0.006068579268763838,0.0002219955491115242,0.005042463062051301,0.00021594393580435546,0.012870811286587942,0.04875812407432587,0.015195516283772385,0.0094550643928829,0.040046886562890745,1.0,0.634724859072859
province,0.0032399763606325654,0.00013009232760830762,0.003685856829091435,0.0001673749338344801,0.007540006294371288,0.042046263122478944,0.008752269199401365,0.0064035525507213495,0.014477918378249447,0.634724859072859,1.0
