,age_bin,sex,marital_status,military_status,family_type,housing_type,education_level,bachelors_field,occupation,district,province
age_bin,0.0,0.023739987616000005,0.2834280708,0.003012084064000011,0.30889832169199993,0.02375091440799999,0.28148920113,0.13766583347300002,0.22992277469,0.072600768303,0.04561823599600001
sex,0.023739987616000005,0.0,0.06330095800000002,0.00429292528799998,0.05145418286000001,0.0015395604280000032,0.05127408484399999,0.087283331864,0.186376995384,0.014594482951999997,0.008817940748000012
marital_status,0.2834280708,0.06330095800000002,0.0,0.0016694534320000273,0.4940630372939999,0.013321251096000034,0.14573811729,0.07098113800400002,0.09651508302600001,0.05540400535399999,0.038068874588000005
military_status,0.003012084064000011,0.00429292528799998,0.0016694534320000273,0.0,0.0016796970839999788,0.0003283765960000197,0.0019055009039999982,0.0015080708319999822,0.01050820095200012,0.0018319311840000003,0.0010135359720000023
family_type,0.30889832169199993,0.05145418286000001,0.4940630372939999,0.0016796970839999788,0.0,0.022422461770999994,0.143921104912,0.07199696853599999,0.130689011807,0.10150519489599999,0.06493837057099999
housing_type,0.02375091440799999,0.0015395604280000032,0.013321251096000034,0.0003283765960000197,0.022422461770999994,0.0,0.02587796212900001,0.02158813454400004,0.032796198273,0.194011299665,0.12962129764100003
education_level,0.28148920113,0.05127408484399999,0.14573811729,0.0019055009039999982,0.143921104912,0.02587796212900001,0.0,0.43915462951799994,0.28822531258899997,0.111864779235,0.06788728399400001
bachelors_field,0.13766583347300002,0.087283331864,0.07098113800400002,0.0015080708319999822,0.07199696853599999,0.02158813454400004,0.43915462951799994,0.0,0.22037124191700003,0.08940961315500001,0.05805586423199999
occupation,0.22992277469,0.186376995384,0.09651508302600001,0.01050820095200012,0.130689011807,0.032796198273,0.28822531258899997,0.22037124191700003,0.0,0.17133838675000007,0.08935028452900068
district,0.072600768303,0.014594482951999997,0.05540400535399999,0.0018319311840000003,0.10150519489599999,0.194011299665,0.111864779235,0.08940961315500001,0.17133838675000007,0.0,0.872388604942
province,0.04561823599600001,0.008817940748000012,0.038068874588000005,0.0010135359720000023,0.06493837057099999,0.12962129764100003,0.06788728399400001,0.05805586423199999,0.08935028452900068,0.872388604942,0.0
