cell,n,p_obs,p_indep,diff_pp,pmi
19-24 × 무직,37592,0.037592,0.031253685571,0.6338314429,0.18465395430027534
19-24 × 건물 청소원,274,0.000274,0.0015529469869999997,-0.12789469869999998,-1.7347815803119089
19-24 × 건물 경비원,641,0.000641,0.001486585367,-0.08455853669999999,-0.8412076120555637
19-24 × 경리 사무원,1718,0.001718,0.001373685534,0.0344314466,0.2236635249520446
19-24 × 사무 보조원,1723,0.001723,0.0011596267699999997,0.05633732300000002,0.39596875420015626
19-24 × 전화 상담원,1074,0.001074,0.0009538206689999999,0.012017933100000018,0.11866959927802126
19-24 × 시설 경비원,695,0.000695,0.0009271058629999999,-0.023210586299999995,-0.28815591304928917
19-24 × 일반 비서,1267,0.001267,0.0009269357049999997,0.03400642950000002,0.31252297530522377
19-24 × 하역 및 적재 관련,279,0.000279,0.0007793236399999999,-0.05003236399999998,-1.0272146334840053
19-24 × 한식 조리사,678,0.000678,0.000728786714,-0.0050786714,-0.072233827872116
19-24 × 그 외 일반 영업원,421,0.000421,0.0006975627209999999,-0.027656272099999994,-0.5049595985509915
19-24 × 주방 보조원,178,0.000178,0.0006416658179999999,-0.046366581799999994,-1.2822840851634125
19-24 × 지게차 운전원,388,0.000388,0.0006280531779999999,-0.024005317799999988,-0.4816195016038655
19-24 × 회계 사무원,598,0.000598,0.0006168227499999999,-0.0018822749999999866,-0.030990951535283758
19-24 × 마케팅 전문가,624,0.000624,0.0006147808539999999,0.0009219146000000048,0.014884499024646884
19-24 × 기타,36929,0.036929,0.04073761185899999,-0.3808611858999993,-0.09815463976664078
25-34 × 무직,38793,0.038793,0.056339948780999995,-1.7546948780999994,-0.3731640353605576
25-34 × 건물 청소원,733,0.000733,0.0027994443569999993,-0.2066444356999999,-1.3400305306554705
25-34 × 건물 경비원,1485,0.001485,0.002679816537,-0.11948165369999998,-0.5903335635815764
25-34 × 경리 사무원,3349,0.003349,0.002476295874,0.08727041260000001,0.30189794935990594
25-34 × 사무 보조원,2296,0.002296,0.0020904194699999995,0.02055805300000004,0.0938037292695409
25-34 × 전화 상담원,1892,0.001892,0.0017194198589999998,0.017258014100000017,0.09564752797889213
25-34 × 시설 경비원,1065,0.001065,0.0016712619929999998,-0.06062619929999998,-0.4506042263126986
25-34 × 일반 비서,3249,0.003249,0.0016709552549999994,0.15780447450000007,0.6649517848110424
25-34 × 하역 및 적재 관련,633,0.000633,0.0014048600399999998,-0.07718600399999997,-0.7972225390033376
25-34 × 한식 조리사,1066,0.001066,0.001313758854,-0.02477588539999999,-0.20897905692886434
25-34 × 그 외 일반 영업원,1346,0.001346,0.0012574724309999997,0.008852756900000026,0.06803353212915757
25-34 × 주방 보조원,509,0.000509,0.001156708998,-0.06477089979999999,-0.8208861647471175
25-34 × 지게차 운전원,1039,0.001039,0.0011321699579999998,-0.00931699579999998,-0.08587739597005431
25-34 × 회계 사무원,2042,0.002042,0.0011119252499999998,0.09300747500000002,0.6078367473965526
25-34 × 마케팅 전문가,1931,0.001931,0.0011082443939999997,0.08227556060000003,0.5552608672415912
25-34 × 기타,91941,0.091941,0.07343629794899997,1.8504702051000022,0.22472873112714972
35-44 × 무직,29933,0.029933,0.059832703073,-2.9899703073,-0.6925908348852804
35-44 × 건물 청소원,1334,0.001334,0.0029729938809999997,-0.1638993881,-0.8013875383300305
35-44 × 건물 경비원,1945,0.001945,0.002845949821,-0.09009498210000003,-0.3806348910293071
35-44 × 경리 사무원,3472,0.003472,0.002629812042,0.0842187958,0.2778184200824647
35-44 × 사무 보조원,2805,0.002805,0.00222001351,0.05849864900000002,0.23389025752340326
35-44 × 전화 상담원,2226,0.002226,0.001826014047,0.039998595300000016,0.1980707779390813
35-44 × 시설 경비원,1537,0.001537,0.001774870669,-0.023787066899999997,-0.14389509318110558
35-44 × 일반 비서,2741,0.002741,0.0017745449149999997,0.09664550850000003,0.4347788131812504
35-44 × 하역 및 적재 관련,970,0.00097,0.0014919533199999999,-0.05219533199999998,-0.4305454219135627
35-44 × 한식 조리사,1546,0.001546,0.0013952043820000001,0.015079561799999992,0.10263003522923571
35-44 × 그 외 일반 영업원,2186,0.002186,0.001335428523,0.08505714770000002,0.4928211583974909
35-44 × 주방 보조원,1050,0.00105,0.001228418334,-0.017841833400000003,-0.15693727040954875
35-44 × 지게차 운전원,1531,0.001531,0.0012023580139999999,0.03286419860000001,0.24163647632492463
35-44 × 회계 사무원,1982,0.001982,0.0011808582499999998,0.08011417500000001,0.5178649312983976
35-44 × 마케팅 전문가,2010,0.00201,0.001176949202,0.08330507980000001,0.5352090536027208
35-44 × 기타,105609,0.105609,0.07798892801699998,2.762007198300001,0.30317672679930086
45-54 × 무직,39308,0.039308,0.06990614735100002,-3.059814735100002,-0.5757255298082776
45-54 × 건물 청소원,3108,0.003108,0.003473527647,-0.036552764700000004,-0.11119125802065993
45-54 × 건물 경비원,3589,0.003589,0.0033250944270000007,0.02639055729999995,0.07637553936315504
45-54 × 경리 사무원,3834,0.003834,0.0030725676540000004,0.07614323459999997,0.2213950632052151
45-54 × 사무 보조원,3249,0.003249,0.0025937753700000002,0.06552246299999999,0.22523277053310822
45-54 × 전화 상담원,2767,0.002767,0.0021334420890000002,0.06335579109999998,0.26002702118791843
45-54 × 시설 경비원,2725,0.002725,0.0020736882030000002,0.06513117969999997,0.2731396656750445
45-54 × 일반 비서,2157,0.002157,0.002073307605,0.008369239499999995,0.03957315856502241
45-54 × 하역 및 적재 관련,1961,0.001961,0.00174313884,0.021786115999999998,0.1177671280827565
45-54 × 한식 조리사,2515,0.002515,0.0016301012340000003,0.08848987659999996,0.4336306839131094
45-54 × 그 외 일반 영업원,2409,0.002409,0.0015602615010000002,0.08487384989999999,0.4343582875732798
45-54 × 주방 보조원,1934,0.001934,0.0014352350580000002,0.049876494199999975,0.29826175774952324
45-54 × 지게차 운전원,2102,0.002102,0.0014047872180000002,0.06972127819999999,0.4030034274015388
45-54 × 회계 사무원,1559,0.001559,0.00137966775,0.017933225,0.12220188076364238
45-54 × 마케팅 전문가,1623,0.001623,0.001375100574,0.024789942600000003,0.165749415361592
45-54 × 기타,115459,0.115459,0.091119157479,2.4339842521000006,0.23674741577059122
55-64 × 무직,77691,0.077691,0.07007365849500001,0.7617341504999986,0.10319246752721868
55-64 × 건물 청소원,4946,0.004946,0.0034818510149999997,0.1464148985,0.3510151158598946
55-64 × 건물 경비원,4735,0.004735,0.0033330621150000008,0.1401937884999999,0.35109029112245715
55-64 × 경리 사무원,2607,0.002607,0.00307993023,-0.047293023000000024,-0.166706809180142
55-64 × 사무 보조원,2169,0.002169,0.00259999065,-0.043099065000000006,-0.18124161702238673
55-64 × 전화 상담원,2055,0.002055,0.002138554305,-0.008355430500000009,-0.03985419438194148
55-64 × 시설 경비원,2570,0.00257,0.002078657235,0.04913427649999996,0.21218377375369635
55-64 × 일반 비서,1138,0.001138,0.002078275725,-0.09402757249999999,-0.6022662358511268
55-64 × 하역 및 적재 관련,2552,0.002552,0.0017473158,0.08046842,0.37879658363782176
55-64 × 한식 조리사,2017,0.002017,0.0016340073300000002,0.03829926699999999,0.2105757766202127
55-64 × 그 외 일반 영업원,1332,0.001332,0.001564000245,-0.02320002449999999,-0.16056522665452594
55-64 × 주방 보조원,1936,0.001936,0.00143867421,0.04973257899999999,0.2969019868595371
55-64 × 지게차 운전원,1686,0.001686,0.00140815341,0.027784659000000003,0.18007965181317417
55-64 × 회계 사무원,819,0.000819,0.00138297375,-0.056397375000000007,-0.5239072671543339
55-64 × 마케팅 전문가,732,0.000732,0.00137839563,-0.064639563,-0.6328950009049568
55-64 × 기타,81770,0.08177,0.09133749985499999,-0.9567499854999995,-0.11065100735593149
65-74 × 무직,76105,0.076105,0.047497858351000004,2.8607141649,0.47142934305486806
65-74 × 건물 청소원,4860,0.00486,0.0023600946469999997,0.2499905353,0.7223367150180372
65-74 × 건물 경비원,3572,0.003572,0.0022592414270000004,0.13127585729999997,0.458096557843633
65-74 × 경리 사무원,930,0.00093,0.002087661654,-0.11576616540000001,-0.8086153066213774
65-74 × 사무 보조원,1039,0.001039,0.0017623453699999998,-0.07233453699999999,-0.5283868064050689
65-74 × 전화 상담원,923,0.000923,0.001449571089,-0.052657108900000006,-0.45139375646445956
65-74 × 시설 경비원,1645,0.001645,0.001408971203,0.023602879699999996,0.15488058940886795
65-74 × 일반 비서,284,0.000284,0.0014087126049999999,-0.11247126049999999,-1.601457282031232
65-74 × 하역 및 적재 관련,1898,0.001898,0.00118437884,0.071362116,0.47158224868797916
65-74 × 한식 조리사,573,0.000573,0.0011075752340000001,-0.053457523400000005,-0.6590427142742947
65-74 × 그 외 일반 영업원,348,0.000348,0.0010601225009999999,-0.07121225009999999,-1.1139372676354213
65-74 × 주방 보조원,1210,0.00121,0.000975173058,0.023482694199999998,0.21576068795876624
65-74 × 지게차 운전원,538,0.000538,0.0009544852179999999,-0.0416485218,-0.5733135962418776
65-74 × 회계 사무원,203,0.000203,0.0009374177499999999,-0.07344177499999999,-1.529923041620651
65-74 × 마케팅 전문가,217,0.000217,0.000934314574,-0.0717314574,-1.459915830980844
65-74 × 기타,34954,0.034954,0.06191107647899999,-2.695707647899999,-0.5716661938406832
75-84 × 무직,49118,0.049118,0.024915445925000005,2.4202554074999996,0.6787376369716628
75-84 × 건물 청소원,2671,0.002671,0.0012380097250000001,0.1432990275,0.7689479044843183
75-84 × 건물 경비원,1374,0.001374,0.0011851062250000004,0.01888937749999996,0.1478937818803975
75-84 × 경리 사무원,223,0.000223,0.0010951024500000003,-0.08721024500000003,-1.5914314280577007
75-84 × 사무 보조원,329,0.000329,0.0009244547500000002,-0.05954547500000002,-1.033146353488065
75-84 × 전화 상담원,255,0.000255,0.0007603860750000002,-0.05053860750000001,-1.092562752558026
75-84 × 시설 경비원,604,0.000604,0.0007390890250000002,-0.013508902500000013,-0.20184418260492967
75-84 × 일반 비서,55,5.5e-05,0.000738953375,-0.0683953375,-2.597901641709108
75-84 × 하역 및 적재 관련,799,0.000799,0.000621277,0.017772299999999998,0.2515839085352402
75-84 × 한식 조리사,158,0.000158,0.0005809889500000002,-0.04229889500000002,-1.302136704711208
75-84 × 그 외 일반 영업원,142,0.000142,0.000556097175,-0.041409717500000005,-1.3651159965577753
75-84 × 주방 보조원,645,0.000645,0.0005115361500000001,0.013346384999999987,0.2318320594146114
75-84 × 지게차 운전원,95,9.5e-05,0.0005006841500000001,-0.040568415000000004,-1.6620985715522616
