cell,n,p_obs,p_indep,diff_pp,pmi
경영·행정·법 × 무직,14338,0.014338,0.020172235636999998,-0.5834235636999998,-0.3413938301056169
경영·행정·법 × 건물 청소원,29,2.9e-05,0.001002326989,-0.0973326989,-3.5427837347495634
경영·행정·법 × 건물 경비원,94,9.4e-05,0.0009594948489999998,-0.08654948489999999,-2.323112164742288
경영·행정·법 × 경리 사무원,1212,0.001212,0.0008866252979999999,0.0325374702,0.31260471100104553
경영·행정·법 × 사무 보조원,523,0.000523,0.0007484641899999999,-0.022546418999999988,-0.3584418962989088
경영·행정·법 × 전화 상담원,279,0.000279,0.000615629643,-0.033662964299999994,-0.7914337720054814
경영·행정·법 × 시설 경비원,134,0.000134,0.000598386961,-0.046438696099999996,-1.4963978366992283
경영·행정·법 × 일반 비서,1216,0.001216,0.0005982771349999999,0.061772286500000016,0.7092679794741387
경영·행정·법 × 하역 및 적재 관련,25,2.5e-05,0.0005030030799999999,-0.04780030799999999,-3.001720468473229
경영·행정·법 × 한식 조리사,93,9.3e-05,0.000470384758,-0.037738475800000004,-1.6209515006953141
경영·행정·법 × 그 외 일반 영업원,516,0.000516,0.00045023168699999985,0.006576831300000012,0.13634445521213173
경영·행정·법 × 주방 보조원,6,6e-06,0.000414153846,-0.0408153846,-4.234478044263501
경영·행정·법 × 지게차 운전원,91,9.1e-05,0.00040536776599999993,-0.031436776599999994,-1.4939352127463472
경영·행정·법 × 회계 사무원,1862,0.001862,0.00039811925,0.14638807499999998,1.5426548743150383
경영·행정·법 × 마케팅 전문가,1215,0.001215,0.000396801338,0.0818198662,1.1190636083938097
경영·행정·법 × 기타,33280,0.03328,0.026293497572999997,0.6986502427,0.23563494790861964
공학·제조·건설 × 무직,15784,0.015784,0.024932343978999995,-0.9148343978999995,-0.45716914681810505
공학·제조·건설 × 건물 청소원,7,7e-06,0.0012388493629999998,-0.12318493629999998,-5.176028145682846
공학·제조·건설 × 건물 경비원,110,0.00011,0.0011859099829999997,-0.10759099829999996,-2.3777853112219973
공학·제조·건설 × 경리 사무원,600,0.0006,0.0010958451659999998,-0.04958451659999998,-0.6023515304141897
공학·제조·건설 × 사무 보조원,800,0.0008,0.0009250817299999998,-0.012508172999999977,-0.1452703626980261
공학·제조·건설 × 전화 상담원,517,0.000517,0.0007609017809999998,-0.024390178099999986,-0.38646140932053963
공학·제조·건설 × 시설 경비원,214,0.000214,0.0007395902869999999,-0.05255902869999999,-1.2401203516304098
공학·제조·건설 × 일반 비서,630,0.00063,0.0007394545449999998,-0.010945454499999981,-0.16019299366851694
공학·제조·건설 × 하역 및 적재 관련,63,6.3e-05,0.0006216983599999998,-0.05586983599999998,-2.2893202969520186
공학·제조·건설 × 한식 조리사,85,8.5e-05,0.0005813829859999999,-0.04963829859999999,-1.922758467360375
공학·제조·건설 × 그 외 일반 영업원,565,0.000565,0.0005564743289999997,0.000852567100000025,0.015204690874888353
공학·제조·건설 × 주방 보조원,4,4e-06,0.0005118830819999999,-0.050788308199999986,-4.851801882373787
공학·제조·건설 × 지게차 운전원,119,0.000119,0.0005010237219999999,-0.03820237219999999,-1.4375299561537895
공학·제조·건설 × 회계 사무원,631,0.000631,0.0004920647499999999,0.013893525000000016,0.24869554901711774
공학·제조·건설 × 마케팅 전문가,588,0.000588,0.000490435846,0.0097564154,0.18143247051566608
공학·제조·건설 × 기타,47154,0.047154,0.032498060090999994,1.4655939909000006,0.3722384430655832
교육 × 무직,10114,0.010114,0.011570758802000002,-0.1456758802000002,-0.13456051997550472
교육 × 건물 청소원,26,2.6e-05,0.0005749329940000002,-0.05489329940000002,-3.0961569638115543
교육 × 건물 경비원,37,3.7e-05,0.0005503645540000001,-0.05133645540000001,-2.699662971465066
교육 × 경리 사무원,344,0.000344,0.0005085667080000001,-0.01645667080000001,-0.3909547353518145
교육 × 사무 보조원,389,0.000389,0.00042931774000000005,-0.004031774000000003,-0.09861795384238395
교육 × 전화 상담원,284,0.000284,0.0003531240780000001,-0.006912407800000006,-0.2178452527626396
교육 × 시설 경비원,49,4.9e-05,0.0003432337060000001,-0.02942337060000001,-1.9465912756365116
교육 × 일반 비서,686,0.000686,0.00034317071000000005,0.03428292899999999,0.692649607576913
교육 × 하역 및 적재 관련,4,4e-06,0.00028852168,-0.028452168000000003,-4.278475869318537
교육 × 한식 조리사,57,5.7e-05,0.00026981186800000006,-0.021281186800000008,-1.5546736631110183
교육 × 그 외 일반 영업원,212,0.000212,0.00025825210199999997,-0.004625210199999996,-0.19734997269441698
교육 × 주방 보조원,14,1.4e-05,0.00023755791600000003,-0.022355791600000004,-2.831354120973296
교육 × 지게차 운전원,26,2.6e-05,0.00023251823600000003,-0.0206518236,-2.190872118338714
교육 × 회계 사무원,211,0.000211,0.00022836050000000005,-0.0017360500000000046,-0.07906738714290608
교육 × 마케팅 전문가,429,0.000429,0.00022760454800000004,0.020139545199999997,0.6338472344501794
교육 × 기타,18616,0.018616,0.015081903858000002,0.3534096141999999,0.21052582085860402
농림어업·수의학 × 무직,1415,0.001415,0.002183522456,-0.07685224560000001,-0.4338098472011641
농림어업·수의학 × 건물 청소원,4,4e-06,0.00010849583200000002,-0.010449583200000001,-3.300417396376215
농림어업·수의학 × 건물 경비원,30,3e-05,0.000103859512,-0.0073859512,-1.241841758110204
농림어업·수의학 × 경리 사무원,141,0.000141,9.597182400000001e-05,0.0045028176,0.3847052419898865
