cell,n,p_obs,p_indep,diff_pp,pmi
무학 × 무직,20040,0.02004,0.009666788934999998,1.0373211065,0.729034086530015
무학 × 건물 청소원,1363,0.001363,0.00048032769499999984,0.08826723050000002,1.0429748628101436
무학 × 건물 경비원,547,0.000547,0.0004598019949999999,0.008719800500000006,0.1736528512593378
무학 × 경리 사무원,0,0.0,0.00042488198999999984,-0.04248819899999998,
무학 × 사무 보조원,0,0.0,0.00035867344999999994,-0.035867344999999995,
무학 × 전화 상담원,0,0.0,0.0002950174649999999,-0.029501746499999988,
무학 × 시설 경비원,226,0.000226,0.00028675455499999996,-0.006075455499999998,-0.2380916415282054
무학 × 일반 비서,0,0.0,0.00028670192499999993,-0.028670192499999993,
무학 × 하역 및 적재 관련,384,0.000384,0.00024104539999999995,0.014295460000000006,0.4656572550959459
무학 × 한식 조리사,44,4.4e-05,0.00022541428999999993,-0.018141428999999994,-1.63375036408066
무학 × 그 외 일반 영업원,64,6.4e-05,0.000215756685,-0.0151756685,-1.2152682310601113
무학 × 주방 보조원,378,0.000378,0.00019846772999999995,0.01795322700000001,0.6442676779776804
무학 × 지게차 운전원,20,2e-05,0.00019425732999999996,-0.017425732999999995,-2.2734514498595577
무학 × 회계 사무원,0,0.0,0.00019078374999999996,-0.019078374999999995,
무학 × 마케팅 전문가,31,3.1e-05,0.00019015218999999996,-0.015915218999999998,-1.8138375470460444
무학 × 기타,3218,0.003218,0.012600174614999996,-0.9382174614999995,-1.364950623624548
초등학교 × 무직,53908,0.053908,0.029843065411,2.4064934589,0.5913263915968678
초등학교 × 건물 청소원,5415,0.005415,0.001482855467,0.39321445329999993,1.2952032819253059
초등학교 × 건물 경비원,2542,0.002542,0.001419489047,0.1122510953,0.5826541919633601
초등학교 × 경리 사무원,23,2.3e-05,0.001311684894,-0.12886848939999998,-4.043573552472812
초등학교 × 사무 보조원,45,4.5e-05,0.00110728757,-0.10622875700000002,-3.2030061833672594
초등학교 × 전화 상담원,41,4.1e-05,0.000910770429,-0.0869770429,-3.1007187998962866
초등학교 × 시설 경비원,959,0.000959,0.0008852613830000001,0.0073738616999999874,0.0800081254595511
초등학교 × 일반 비서,0,0.0,0.0008850989049999999,-0.0885098905,
초등학교 × 하역 및 적재 관련,1688,0.001688,0.0007441492400000001,0.094385076,0.8190580690407254
초등학교 × 한식 조리사,286,0.000286,0.0006958932739999999,-0.04098932739999999,-0.8892044958024645
초등학교 × 그 외 일반 영업원,195,0.000195,0.0006660785610000002,-0.047107856100000026,-1.2284080644794322
초등학교 × 주방 보조원,1130,0.00113,0.0006127045380000001,0.05172954619999998,0.6120900854410828
초등학교 × 지게차 운전원,117,0.000117,0.0005997062980000001,-0.048270629800000006,-1.6342660972391887
초등학교 × 회계 사무원,0,0.0,0.0005889827500000001,-0.05889827500000001,
초등학교 × 마케팅 전문가,104,0.000104,0.000587033014,-0.0483033014,-1.730690161013214
초등학교 × 기타,14786,0.014786,0.038898939219,-2.4112939219,-0.9672861936832272
중학교 × 무직,43549,0.043549,0.031318338995,1.2230661004999996,0.32968290457134214
중학교 × 건물 청소원,5234,0.005234,0.0015561595149999998,0.3677840485,1.2129548675393291
중학교 × 건물 경비원,4090,0.00409,0.0014896606149999998,0.2600339385,1.0099966512098313
