cell,n,p_obs,p_indep,diff_pp,pmi
강원 × 아파트,17531,0.017531,0.0187407912,-0.12097911999999975,-0.06673175339789308
강원 × 단독주택,10009,0.010009,0.0051084206,0.49005794,0.6725944120312427
강원 × 다세대주택,546,0.000546,0.0034539438,-0.29079438,-1.8446530118391886
강원 × 주택 이외의 거처,826,0.000826,0.0018199728000000003,-0.09939728000000003,-0.7899820613832396
강원 × 연립주택,821,0.000821,0.0007774688000000001,0.004353119999999993,0.054479594821576875
강원 × 비주거용 건물 내 ,467,0.000467,0.00029940280000000005,0.01675972,0.4445394336896912
경기 × 아파트,176410,0.17641,0.162681237624,1.3728762376000014,0.08101814257755065
경기 × 단독주택,24018,0.024018,0.04434413556200001,-2.0326135562000007,-0.6131769199282813
경기 × 다세대주택,34746,0.034746,0.029982290826000006,0.47637091739999926,0.1474575559086175
경기 × 주택 이외의 거처,18464,0.018464,0.015798448656000004,0.2665551343999997,0.15591114144247484
경기 × 연립주택,6792,0.006792,0.006748892576000002,0.0043107423999998,0.006367020399198056
경기 × 비주거용 건물 내 ,1724,0.001724,0.0025989947560000008,-0.08749947560000007,-0.4104775657167015
경상남 × 아파트,38930,0.03893,0.03873262329599999,0.019737670400001017,0.00508293746925747
경상남 × 단독주택,17422,0.017422,0.010557853647999998,0.6864146352000002,0.5008637708075846
경상남 × 다세대주택,1742,0.001742,0.007138455503999999,-0.5396455504,-1.410462558555122
경상남 × 주택 이외의 거처,2385,0.002385,0.003761437824,-0.1376437824,-0.4556021599652526
경상남 × 연립주택,1149,0.001149,0.001606837504,-0.045783750399999996,-0.3353759651655724
경상남 × 비주거용 건물 내 ,788,0.000788,0.000618792224,0.016920777599999992,0.24172853749519627
경상북 × 아파트,26081,0.026081,0.03121272568799999,-0.5131725687999991,-0.17961880639094235
경상북 × 단독주택,18371,0.018371,0.008508057594,0.9862942405999999,0.7697596676182096
경상북 × 다세대주택,2052,0.002052,0.005752531962,-0.37005319619999993,-1.0308251717963848
경상북 × 주택 이외의 거처,1571,0.001571,0.003031158672,-0.14601586719999998,-0.6572325871515478
경상북 × 연립주택,1405,0.001405,0.001294871712,0.011012828800000006,0.08162567663404349
경상북 × 비주거용 건물 내 ,818,0.000818,0.000498654372,0.0319345628,0.49494912212058967
광주 × 아파트,21640,0.02164,0.017123622263999994,0.45163777360000057,0.23408452480363304
광주 × 단독주택,3656,0.003656,0.004667607882,-0.10116078819999998,-0.24427705601875327
광주 × 다세대주택,423,0.000423,0.0031558981859999996,-0.27328981859999996,-2.0096562419428334
광주 × 주택 이외의 거처,1052,0.001052,0.0016629248159999999,-0.061092481599999984,-0.4578848750115801
광주 × 연립주택,540,0.00054,0.000710379936,-0.017037993599999995,-0.2742308084775491
광주 × 비주거용 건물 내 ,283,0.000283,0.000273566916,0.0009433083999999979,0.03390064025901371
대구 × 아파트,34703,0.034703,0.02912517530399999,0.5577824696000007,0.1752232076579694
대구 × 단독주택,7280,0.00728,0.007939026901999999,-0.0659026901999999,-0.08665984911662378
대구 × 다세대주택,2567,0.002567,0.0053677946459999995,-0.2800794646,-0.7376792418325324
대구 × 주택 이외의 거처,1425,0.001425,0.002828430576,-0.14034305760000002,-0.6855501773210458
대구 × 연립주택,435,0.000435,0.001208268896,-0.0773268896,-1.0215979186617468
대구 × 비주거용 건물 내 ,524,0.000524,0.00046530367600000004,0.0058696324000000015,0.11880142522225683
대전 × 아파트,21225,0.021225,0.017776447175999997,0.3448552824000004,0.17730534345093155
대전 × 단독주택,3940,0.00394,0.004845556837999999,-0.09055568379999993,-0.20688144587264598
대전 × 다세대주택,1782,0.001782,0.0032762143739999998,-0.14942143739999997,-0.6089522725301882
대전 × 주택 이외의 거처,828,0.000828,0.001726322544,-0.0898322544,-0.7347355734958072
대전 × 연립주택,585,0.000585,0.000737462624,-0.015246262400000002,-0.23160356037584437
대전 × 비주거용 건물 내 ,286,0.000286,0.000283996444,0.00020035559999999884,0.007030093863797021
부산 × 아파트,42295,0.042295,0.04051299846,0.17820015400000014,0.04304600350716962
부산 × 단독주택,8252,0.008252,0.011043153605000001,-0.2791153605000001,-0.29135505747581175
부산 × 다세대주택,7864,0.007864,0.007466580165000001,0.03974198349999984,0.051858297763730694
부산 × 주택 이외의 거처,4860,0.00486,0.0039343352400000005,0.09256647599999993,0.21129650551114382
부산 × 연립주택,1430,0.00143,0.0016806970400000004,-0.02506970400000003,-0.16153416785607647
부산 × 비주거용 건물 내 ,584,0.000584,0.0006472354900000001,-0.006323549000000013,-0.10280921763015721
서울 × 아파트,100697,0.100697,0.114944346768,-1.4247346768000004,-0.13233206225715277
서울 × 단독주택,15762,0.015762,0.031331871884,-1.5569871884000002,-0.6870338705826645
서울 × 다세대주택,44903,0.044903,0.021184341132000004,2.3718658867999993,0.7512423247505026
서울 × 주택 이외의 거처,16437,0.016437,0.011162580192000003,0.5274419807999997,0.38696776099382457
서울 × 연립주택,5953,0.005953,0.004768509632000002,0.11844903679999984,0.22186148421405527
