cell,n,p_obs,p_indep,diff_pp,pmi
남자 × 해당없음,311436,0.311436,0.33421472191799995,-2.277872191799996,-0.07058980675754532
남자 × 공학·제조·건설,58771,0.058771,0.033634017018,2.5136982981999996,0.5581105698873621
남자 × 경영·행정·법,35361,0.035361,0.027212576454,0.8148423545999997,0.2619302818381379
남자 × 예술·인문,18114,0.018114,0.024297704298000003,-0.6183704298000001,-0.2936967525975262
남자 × 보건·복지,9691,0.009691,0.017120042226000002,-0.7429042226000002,-0.569052217430104
남자 × 교육,9387,0.009387,0.015609085884,-0.6222085884,-0.5085274198165476
남자 × 정보통신기술,22259,0.022259,0.014454931302,0.7804068698000001,0.43171079829382986
남자 × 서비스,8373,0.008373,0.009137098404,-0.07640984039999996,-0.08733063057312118
남자 × 사회과학·언론,8269,0.008269,0.008533013201999999,-0.026401320199999877,-0.03142896398303248
남자 × 자연과학·수학,9517,0.009517,0.008399212542,0.11177874579999994,0.12494171663527552
남자 × 농림어업·수의학,4380,0.00438,0.0029455967520000004,0.14344032479999996,0.3967372955538831
여자 × 해당없음,362985,0.362985,0.340206278082,2.277872191800001,0.06480937721381329
여자 × 공학·제조·건설,9100,0.0091,0.034236982982,-2.5136982982,-1.3250320200250263
여자 × 경영·행정·법,19552,0.019552,0.027700423546,-0.8148423546000001,-0.348370120556524
여자 × 예술·인문,30917,0.030917,0.024733295702000006,0.6183704297999995,0.22315585441088404
여자 × 보건·복지,24856,0.024856,0.017426957774000003,0.7429042225999997,0.3550808674369243
여자 × 교육,22111,0.022111,0.015888914116000002,0.6222085883999997,0.33045358160731153
여자 × 정보통신기술,6910,0.00691,0.014714068698000002,-0.7804068698000002,-0.7558344526063695
여자 × 서비스,10065,0.010065,0.009300901596000001,0.07640984039999979,0.07895271782503371
여자 × 사회과학·언론,8950,0.00895,0.008685986798,0.026401320199999877,0.02994251809239689
여자 × 자연과학·수학,7432,0.007432,0.008549787458,-0.11177874580000002,-0.1401114224146982
여자 × 농림어업·수의학,1564,0.001564,0.0029984032480000005,-0.14344032480000005,-0.6508332541826571
