,아파트,단독주택,다세대주택,주택 이외의 거처,연립주택,비주거용 건물 내 주택
강원,17531,10009,546,826,821,467
경기,176410,24018,34746,18464,6792,1724
경상남,38930,17422,1742,2385,1149,788
경상북,26081,18371,2052,1571,1405,818
광주,21640,3656,423,1052,540,283
대구,34703,7280,2567,1425,435,524
대전,21225,3940,1782,828,585,286
부산,42295,8252,7864,4860,1430,584
서울,100697,15762,44903,16437,5953,1476
세종,5966,645,70,159,52,41
울산,15295,3225,1204,839,398,356
인천,36576,4037,10880,5651,1451,396
전라남,16220,15309,440,1188,731,503
전북,19961,11327,667,965,819,449
제주,3701,4461,1716,930,1549,316
충청남,24007,12309,1883,1758,1016,483
충청북,19318,9130,884,926,618,420
