cell,n,p_obs,p_indep,diff_pp,pmi
19-24 × 해당없음,55545,0.055545,0.05737906425899999,-0.18340642589999914,-0.03248599959638868
19-24 × 공학·제조·건설,5579,0.005579,0.005774396808999999,-0.01953968089999994,-0.03442425343131626
19-24 × 경영·행정·법,4865,0.004865,0.0046719431269999995,0.01930568730000009,0.04049164334538266
19-24 × 예술·인문,4652,0.004652,0.0041715084489999995,0.04804915510000004,0.10901952588795327
19-24 × 보건·복지,3432,0.003432,0.002939224213,0.04927757870000003,0.1549975082250172
19-24 × 교육,2988,0.002988,0.0026798183419999995,0.030818165800000068,0.108855257880987
19-24 × 정보통신기술,2563,0.002563,0.0024816693509999996,0.008133064900000056,0.03224698824910939
19-24 × 서비스,1843,0.001843,0.0015686866019999997,0.027431339800000034,0.16115596867408863
19-24 × 사회과학·언론,1592,0.001592,0.0014649753009999995,0.012702469900000056,0.08315270448094755
19-24 × 자연과학·수학,1469,0.001469,0.0014420039709999997,0.002699602900000037,0.01854810451862786
19-24 × 농림어업·수의학,551,0.000551,0.0005057095759999999,0.004529042400000006,0.08577226511812422
25-34 × 해당없음,63188,0.063188,0.10343527434899998,-4.024727434899998,-0.49283163876536634
25-34 × 공학·제조·건설,17798,0.017798,0.010409307399,0.7388692601000002,0.5363857432978203
25-34 × 경영·행정·법,15136,0.015136,0.008421951896999999,0.6714048103000001,0.5862343941747941
25-34 × 예술·인문,14134,0.014134,0.007519835438999999,0.6614164561000002,0.6310389876580552
25-34 × 보건·복지,9902,0.009902,0.005298438843,0.46035611569999996,0.6253245376963898
25-34 × 교육,8770,0.00877,0.004830816761999999,0.39391832380000014,0.5963212511523651
25-34 × 정보통신기술,8132,0.008132,0.004473620360999999,0.3658379639000001,0.5976088907911328
25-34 × 서비스,5109,0.005109,0.0028278176219999995,0.22811823780000004,0.5914984344929205
25-34 × 사회과학·언론,4854,0.004854,0.0026408608109999994,0.22131391890000005,0.608698178521023
25-34 × 자연과학·수학,4736,0.004736,0.0025994511809999993,0.21365488190000004,0.5998925590664494
25-34 × 농림어업·수의학,1610,0.00161,0.0009116253359999999,0.06983746640000002,0.5687603681015758
35-44 × 해당없음,85774,0.085774,0.10984766921700001,-2.407366921700001,-0.24737865046776816
35-44 × 공학·제조·건설,15819,0.015819,0.011054624867000002,0.4764375132999998,0.35836286881611457
35-44 × 경영·행정·법,12997,0.012997,0.008944064701000001,0.4052935298999999,0.3737284112012454
35-44 × 예술·인문,11850,0.01185,0.007986022187000001,0.3863977812999998,0.3946350807070551
35-44 × 보건·복지,7884,0.007884,0.005626911719000001,0.22570882809999993,0.33727463778415484
35-44 × 교육,7734,0.007734,0.005130299746,0.26037002540000004,0.41046210568990116
35-44 × 정보통신기술,6862,0.006862,0.004750959213,0.21110407869999998,0.36765240719781284
35-44 × 서비스,4299,0.004299,0.0030031261260000004,0.12958738739999995,0.35872864939492644
35-44 × 사회과학·언론,4225,0.004225,0.002804579063,0.14204209369999996,0.4097657997622729
35-44 × 자연과학·수학,4116,0.004116,0.0027606022730000002,0.13553977269999995,0.3994329471930704
35-44 × 농림어업·수의학,1317,0.001317,0.0009681408880000001,0.034885911199999994,0.3077340796028706
45-54 × 해당없음,125779,0.125779,0.12834164187899996,-0.25626418789999605,-0.02016938674410898
45-54 × 공학·제조·건설,13648,0.013648,0.012915783428999999,0.07322165710000016,0.05514290564639735
45-54 × 경영·행정·법,10948,0.010948,0.010449888986999998,0.04981110130000011,0.046565436077628315
45-54 × 예술·인문,9576,0.009576,0.009330550268999998,0.024544973100000186,0.02596597667898891
45-54 × 보건·복지,6648,0.006648,0.006574259552999999,0.007374044700000134,0.011154101344229932
45-54 × 교육,6513,0.006513,0.005994037901999999,0.05189620980000009,0.08303488736646192
45-54 × 정보통신기술,5793,0.005793,0.005550831530999999,0.024216846900000123,0.042702550173443904
45-54 × 서비스,3594,0.003594,0.0035087329619999993,0.00852670380000007,0.024010795539551155
45-54 × 사회과학·언론,3385,0.003385,0.0032767584809999992,0.010824151900000077,0.03249924061477608
45-54 × 자연과학·수학,3319,0.003319,0.0032253777509999994,0.009362224900000054,0.02861345725650667
45-54 × 농림어업·수의학,1096,0.001096,0.0011311372559999998,-0.0035137255999999817,-0.03155635933504787
55-64 × 해당없음,150205,0.150205,0.128649177855,2.1555822145000016,0.15491187957247687
55-64 × 공학·제조·건설,9434,0.009434,0.012946732605,-0.3512732605000001,-0.31652326295412525
55-64 × 경영·행정·법,6815,0.006815,0.010474929315000001,-0.3659929315000001,-0.4298586526655775
55-64 × 예술·인문,5637,0.005637,0.009352908405,-0.3715908405000001,-0.5063353451905145
55-64 × 보건·복지,4162,0.004162,0.006590012985,-0.2428012985,-0.4595595909507436
55-64 × 교육,3621,0.003621,0.00600840099,-0.23874009899999998,-0.5064084241275675
55-64 × 정보통신기술,3660,0.00366,0.005564132595,-0.1904132595,-0.41887795724103755
55-64 × 서비스,2272,0.002272,0.00351714069,-0.12451406899999999,-0.4369878546761804
55-64 × 사회과학·언론,1991,0.001991,0.003284610345,-0.12936103449999997,-0.5006110033806721
55-64 × 자연과학·수학,2122,0.002122,0.003233106495,-0.11111064949999999,-0.4210843980028087
55-64 × 농림어업·수의학,836,0.000836,0.00113384772,-0.029784772,-0.3047435764715763
65-74 × 해당없음,112917,0.112917,0.08720196087899999,2.571503912100001,0.25842621774436675
65-74 × 공학·제조·건설,3850,0.00385,0.008775652429,-0.49256524290000003,-0.8239079691715376
65-74 × 경영·행정·법,2800,0.0028,0.007100195987,-0.43001959870000006,-0.9305029702879505
65-74 × 예술·인문,2239,0.002239,0.0063396592689999995,-0.4100659268999999,-1.0407956863283696
65-74 × 보건·복지,1773,0.001773,0.004466892553,-0.26938925529999996,-0.9240199614851508
65-74 × 교육,1296,0.001296,0.004072659902,-0.2776659902,-1.1450137266360239
65-74 × 정보통신기술,1473,0.001473,0.003771522531,-0.2298522531,-0.9401776368288547
65-74 × 서비스,921,0.000921,0.002384014962,-0.1463014962,-0.9510812679169508
65-74 × 사회과학·언론,851,0.000851,0.002226399481,-0.13753994809999998,-0.9617288485265297
65-74 × 자연과학·수학,819,0.000819,0.0021914887509999997,-0.1372488751,-0.984252302978703
