cell,n,p_obs,p_indep,diff_pp,pmi
19-24 × 경기-화성시,1511,0.001511,0.001503516088,0.0007483912000000011,0.004965259535591115
19-24 × 경기-남양주시,1136,0.001136,0.0011784292289999999,-0.004242922899999981,-0.03666906953119702
19-24 × 서울-송파구,1001,0.001001,0.0010617008410000002,-0.006070084100000023,-0.05887268882982927
19-24 × 인천-서구,963,0.000963,0.0009985722229999998,-0.003557222299999986,-0.03627306993919348
19-24 × 경기-평택시,946,0.000946,0.0009423350040000001,0.00036649959999999343,0.003881727123830539
19-24 × 서울-강서구,950,0.00095,0.0009368899480000001,0.0013110051999999889,0.013896160694893116
19-24 × 대구-달서구,995,0.000995,0.000903283743,0.009171625699999998,0.09670601050782442
19-24 × 서울-강남구,827,0.000827,0.0008801422550000001,-0.005314225500000001,-0.062278852793147405
19-24 × 서울-관악구,1169,0.001169,0.0008647429559999999,0.0304257044,0.3014716593948185
19-24 × 경상남-김해시,857,0.000857,0.0008547036339999999,0.00022963660000001026,0.0026831366505945566
19-24 × 인천-부평구,813,0.000813,0.0008398148090000002,-0.0026814809000000133,-0.032450292507272785
19-24 × 경기-시흥시,866,0.000866,0.000836751965,0.0029248035000000025,0.03435722010208055
19-24 × 서울-노원구,1043,0.001043,0.000834284674,0.020871532600000006,0.22328177515239875
19-24 × 인천-남동구,756,0.000756,0.000818289822,-0.006228982199999995,-0.0791752032952702
19-24 × 경기-고양시 덕양구,690,0.00069,0.000814461267,-0.012446126699999999,-0.1658352749922434
19-24 × 경기-파주시,763,0.000763,0.000800082916,-0.003708291599999994,-0.04745733601269834
19-24 × 제주-제주시,776,0.000776,0.000791319779,-0.0015319778999999998,-0.019549637696443415
19-24 × 서울-은평구,732,0.000732,0.0007751547690000001,-0.004315476900000007,-0.05728219738974222
19-24 × 대전-서구,1020,0.00102,0.000771836688,0.024816331200000007,0.27878492267358823
19-24 × 경기-의정부시,804,0.000804,0.0007666468690000001,0.003735313099999997,0.047572979306733654
19-24 × 서울-강동구,635,0.000635,0.0007653706840000001,-0.013037068400000008,-0.18673527182370991
19-24 × 경기-김포시,648,0.000648,0.0007549059670000001,-0.010690596700000006,-0.15270249812025846
19-24 × 경기-성남시 분당구,724,0.000724,0.0007426545910000001,-0.0018654591000000025,-0.025439659986828626
19-24 × 광주-북구,837,0.000837,0.000722065473,0.011493452699999997,0.14770825288260317
19-24 × 서울-성북구,1002,0.001002,0.0007163651800000001,0.028563481999999998,0.33556321677124235
19-24 × 기타,62615,0.062615,0.063204678626,-0.05896786259999981,-0.009373461289217752
