cell,n,p_obs,p_indep,diff_pp,pmi
19-24 × 무학,172,0.000172,0.0022388538850000007,-0.20668538850000007,-2.5662248786116217
19-24 × 초등학교,193,0.000193,0.0069117328810000015,-0.6718732881000002,-3.578285475143585
19-24 × 중학교,2085,0.002085,0.0072534101450000025,-0.5168410145000002,-1.2467028678565457
19-24 × 고등학교,22107,0.022107,0.02819322378300001,-0.6086223783000007,-0.24318735723351748
19-24 × 2~3년제 전문대학,30988,0.030988,0.012781843565000001,1.8206156435000003,0.8855743403114994
19-24 × 4년제 대학교,28528,0.028528,0.023078189224000005,0.5449810775999996,0.21199807905789111
19-24 × 대학원,1006,0.001006,0.004621746517000001,-0.36157465170000014,-1.5247905959619414
25-34 × 무학,371,0.000371,0.004035905235000001,-0.36649052350000005,-2.3867838386597824
25-34 × 초등학교,333,0.000333,0.012459544191000002,-1.2126544191000002,-3.622099719910169
25-34 × 중학교,1429,0.001429,0.013075474095000003,-1.1646474095000003,-2.2137633700017227
25-34 × 고등학교,25249,0.025249,0.050822959113000006,-2.5573959113000004,-0.6995616525519167
25-34 × 2~3년제 전문대학,35806,0.035806,0.023041391714999998,1.2764608284999999,0.4408232388287819
25-34 × 4년제 대학교,79192,0.079192,0.041602261464,3.7589738535999997,0.6437207557124702
25-34 × 대학원,10989,0.010989,0.008331464187,0.2657535813,0.2768555589831557
35-44 × 무학,355,0.000355,0.0042861082550000006,-0.39311082550000004,-2.491016644055279
35-44 × 초등학교,387,0.000387,0.013231964603000003,-1.2844964603000002,-3.531966049124309
35-44 × 중학교,2219,0.002219,0.013886078635000004,-1.1667078635000003,-1.8338301572624736
35-44 × 고등학교,44379,0.044379,0.053973691629000016,-0.9594691629000014,-0.195730351213901
35-44 × 2~3년제 전문대학,38434,0.038434,0.024469826095,1.3964173905000001,0.4515017139464586
35-44 × 4년제 대학교,62496,0.062496,0.044181363512000006,1.8314636487999998,0.346799494525755
35-44 × 대학원,14607,0.014607,0.008847967271000002,0.5759032728999999,0.5013131201235648
45-54 × 무학,465,0.000465,0.005007718185,-0.4542718185,-2.376698232645937
45-54 × 초등학교,1442,0.001442,0.015459700461,-1.4017700461,-2.3722056290117943
45-54 × 중학교,8851,0.008851,0.016223941245,-0.7372941245000002,-0.605957558928789
45-54 × 고등학교,88459,0.088459,0.063060711723,2.5398288276999996,0.33844122733714926
45-54 × 2~3년제 전문대학,26562,0.026562,0.028589570264999996,-0.20275702649999972,-0.07356035228831612
45-54 × 4년제 대학교,50817,0.050817,0.051619745544,-0.08027455439999984,-0.015673320598757156
45-54 × 대학원,13703,0.013703,0.010337612577000001,0.33653874229999986,0.28182583651635684
55-64 × 무학,597,0.000597,0.0050197178250000005,-0.44227178250000004,-2.1292118875539603
55-64 × 초등학교,9830,0.00983,0.015496745445000001,-0.5666745445000001,-0.45519109642874556
55-64 × 중학교,31459,0.031459,0.016262817525000004,1.5196182474999997,0.6598037421007129
55-64 × 고등학교,95096,0.095096,0.06321181963500001,3.1884180364999986,0.40839560447034634
55-64 × 2~3년제 전문대학,13223,0.013223,0.028658077424999998,-1.5435077424999997,-0.7734776004049583
55-64 × 4년제 대학교,31530,0.03153,0.051743438280000005,-2.0213438280000005,-0.4953581540274114
55-64 × 대학원,9020,0.00902,0.010362383865000001,-0.13423838650000014,-0.13873797908644392
65-74 × 무학,4574,0.004574,0.003402503185,0.11714968149999999,0.29587670398112903
65-74 × 초등학교,33661,0.033661,0.010504121461,2.3156878539,1.1645721969317429
65-74 × 중학교,27674,0.027674,0.011023386245,1.6650613755,0.9204743059633597
65-74 × 고등학교,43014,0.043014,0.042846714723,0.01672852769999955,0.0038966712357781544
65-74 × 2~3년제 전문대학,3994,0.003994,0.019425235264999997,-1.5431235264999996,-1.5817797726410558
65-74 × 4년제 대학교,12675,0.012675,0.035073129544,-2.2398129544,-1.017803747762169
65-74 × 대학원,3707,0.003707,0.007023909577,-0.3316909577,-0.6390970586474162
75-84 × 무학,12125,0.012125,0.0017848148750000004,1.0340185125,1.915954738454946
75-84 × 초등학교,27401,0.027401,0.005510035175000001,2.1890964824999997,1.6040085020864172
75-84 × 중학교,9901,0.009901,0.0057824203750000015,0.41185796249999984,0.537813417107404
75-84 × 고등학교,11230,0.01123,0.022475645025000004,-1.1245645025000004,-0.6938435108618006
75-84 × 2~3년제 전문대학,1014,0.001014,0.010189688875,-0.9175688875000001,-2.3074734092148286
75-84 × 4년제 대학교,5094,0.005094,0.018397938200000002,-1.3303938200000003,-1.2841752274312914
75-84 × 대학원,1060,0.00106,0.0036844574750000006,-0.26244574750000005,-1.245854381441176
85+ × 무학,7656,0.007656,0.000539378555,0.7116621445,2.6528272803550568
85+ × 초등학교,7992,0.007992,0.0016651557830000003,0.6326844217,1.5685223589272603
85+ × 중학교,1637,0.001637,0.0017474717350000003,-0.011047173500000031,-0.06530472207097136
85+ × 고등학교,1843,0.001843,0.006792234369000001,-0.49492343690000007,-1.3043852763514618
85+ × 2~3년제 전문대학,214,0.000214,0.003079366795,-0.2865366795,-2.666503253771101
85+ × 4년제 대학교,924,0.000924,0.005559934232000001,-0.4635934232,-1.794629486756005
85+ × 대학원,231,0.000231,0.0011134585310000002,-0.08824585310000002,-1.572808533452491
