cell,n,p_obs,p_indep,diff_pp,pmi
19-24 × 배우자·자녀와 거주,1288,0.001288,0.023001533045000005,-2.1713533045,-2.882470240156135
19-24 × 배우자와 거주,1268,0.001268,0.017555285939000003,-1.6287285939,-2.627914241652716
19-24 × 혼자 거주,12926,0.012926,0.011931478960000002,0.0994521039999998,0.08006058859052914
19-24 × 부모와 동거,41025,0.041025,0.007831777187,3.3193222812999994,1.6559921812077856
19-24 × 기타2세대,1934,0.001934,0.0033791677220000008,-0.1445167722000001,-0.5580390460480658
19-24 × 어머니와 동거,10449,0.010449,0.0031859533130000005,0.7263046686999999,1.1877547224693505
19-24 × 자녀와 거주 (한부,58,5.8e-05,0.0027870178820000005,-0.27290178820000005,-3.872284433133101
19-24 × 기타3세대,2735,0.002735,0.002447297435,0.028770256499999983,0.11114710792149236
19-24 × 혼자 거주 (배우자,88,8.8e-05,0.0020119481920000005,-0.19239481920000004,-3.129521966906917
19-24 × 자녀와 거주 (배우,61,6.1e-05,0.0012795881600000001,-0.12185881600000001,-3.043419690967715
19-24 × 배우자·자녀·어머니,110,0.00011,0.0011939986860000002,-0.10839986860000002,-2.384582827657013
19-24 × 친인척과 거주,91,9.1e-05,0.0011335925960000001,-0.10425925960000001,-2.5222876504339156
19-24 × 비친족 동거,2097,0.002097,0.0010886708840000003,0.10083291159999996,0.6555501721953158
19-24 × 아버지와 동거,3433,0.003433,0.000794978176,0.26380218240000003,1.4628751307524885
19-24 × 형제자매와 동거 (,1842,0.001842,0.0007761757170000001,0.1065824283,0.8642282828325826
19-24 × 기타,5674,0.005674,0.004680536106000001,0.0993463893999999,0.19248168045364544
25-34 × 배우자·자녀와 거주,27159,0.027159,0.04146407599500001,-1.430507599500001,-0.42311893051902655
25-34 × 배우자와 거주,14513,0.014513,0.031646312829,-1.7133312829000005,-0.7795768440216674
25-34 × 혼자 거주,29461,0.029461,0.021508468560000004,0.7952531439999997,0.31462061069736785
25-34 × 부모와 동거,37419,0.037419,0.014118076557000002,2.3300923442999997,0.97472259520117
25-34 × 기타2세대,4521,0.004521,0.006091509942000002,-0.15705099420000018,-0.2981627806088431
25-34 × 어머니와 동거,13105,0.013105,0.0057432089430000015,0.7361791056999999,0.8249757333506036
25-34 × 자녀와 거주 (한부,800,0.0008,0.005024061702000001,-0.4224061702000001,-1.8373822618537357
25-34 × 기타3세대,3574,0.003574,0.004411659285000001,-0.08376592850000011,-0.2105654570573587
25-34 × 혼자 거주 (배우자,1290,0.00129,0.0036268701120000008,-0.23368701120000007,-1.0337278298715489
25-34 × 자녀와 거주 (배우,868,0.000868,0.0023066697600000003,-0.14386697600000004,-0.9773683863228187
25-34 × 배우자·자녀·어머니,1150,0.00115,0.0021523805460000006,-0.10023805460000006,-0.6268125179342766
25-34 × 친인척과 거주,173,0.000173,0.0020434885560000004,-0.18704885560000004,-2.4691221082951293
25-34 × 비친족 동거,4189,0.004189,0.0019625097240000004,0.22264902759999997,0.7582379163982881
25-34 × 아버지와 동거,3706,0.003706,0.001433079936,0.2272920064,0.9501271982979588
25-34 × 형제자매와 동거 (,3755,0.003755,0.0013991853870000002,0.23558146130000002,0.9871980843734227
25-34 × 기타,7686,0.007686,0.008437442166000002,-0.07514421660000017,-0.09327870963250466
35-44 × 배우자·자녀와 거주,79707,0.079707,0.04403461133500002,3.5672388664999977,0.5933814653555801
35-44 × 배우자와 거주,11770,0.01177,0.03360820305700001,-2.183820305700001,-1.0492162545011854
35-44 × 혼자 거주,17252,0.017252,0.022841870480000012,-0.5589870480000012,-0.2806671975701982
35-44 × 부모와 동거,10531,0.010531,0.014993316481000007,-0.44623164810000066,-0.3532812454755293
35-44 × 기타2세대,5669,0.005669,0.006469148686000003,-0.0800148686000003,-0.13203178584262204
35-44 × 어머니와 동거,7599,0.007599,0.0060992550190000034,0.14997449809999963,0.219850023999404
35-44 × 자녀와 거주 (한부,3871,0.003871,0.005335524766000003,-0.14645247660000035,-0.32087437120749274
35-44 × 기타3세대,4424,0.004424,0.004685156905000002,-0.026115690500000226,-0.05735514183803887
35-44 × 혼자 거주 (배우자,2994,0.002994,0.0038517152960000018,-0.08577152960000016,-0.25190829451117036
35-44 × 자녀와 거주 (배우,3375,0.003375,0.0024496700800000007,0.09253299199999993,0.3204419700599838
35-44 × 배우자·자녀·어머니,3727,0.003727,0.002285815818000001,0.14411841819999988,0.4888806279242085
35-44 × 친인척과 거주,97,9.7e-05,0.0021701731480000008,-0.2073173148000001,-3.107851256553003
35-44 × 비친족 동거,1956,0.001956,0.002084174092000001,-0.012817409200000136,-0.06347108621746193
35-44 × 아버지와 동거,1482,0.001482,0.0015219226880000005,-0.0039922688000000464,-0.026581934954791702
35-44 × 형제자매와 동거 (,1539,0.001539,0.0014859268710000005,0.005307312899999954,0.035094121750589354
35-44 × 기타,6884,0.006884,0.008960515278000004,-0.20765152780000035,-0.2636278556893415
45-54 × 배우자·자녀와 거주,88188,0.088188,0.051448286145,3.6739713855000002,0.5388937486882195
45-54 × 배우자와 거주,25611,0.025611,0.039266485959,-1.3655485959000002,-0.42734943377968987
45-54 × 혼자 거주,17861,0.017861,0.02668753176,-0.8826531760000003,-0.40157691613604646
45-54 × 부모와 동거,2854,0.002854,0.017517593847,-1.4663593846999998,-1.8144842195219426
