cell,n,p_obs,p_indep,diff_pp,pmi
19-24 × 아파트,54121,0.054121,0.05279628392400001,0.13247160759999946,0.024781472581244204
19-24 × 단독주택,12835,0.012835,0.014391368087,-0.15563680870000016,-0.11445277412104392
19-24 × 다세대주택,10066,0.010066,0.009730400151,0.033559984899999944,0.033908387513703404
19-24 × 주택 이외의 거처,5113,0.005113,0.005127200856,-0.0014200855999999852,-0.0027735520627266354
19-24 × 연립주택,2118,0.002118,0.0021902737760000003,-0.007227377600000024,-0.03355430070800803
19-24 × 비주거용 건물 내 ,826,0.000826,0.0008434732059999999,-0.0017473205999999882,-0.02093336269673626
25-34 × 아파트,97057,0.097057,0.09517405316400002,0.1882946835999988,0.0195910809328465
25-34 × 단독주택,21721,0.021721,0.025942826457,-0.42218264569999986,-0.17761559976473365
25-34 × 다세대주택,19223,0.019223,0.017540659161,0.1682340838999999,0.09158591208811565
25-34 × 주택 이외의 거처,10118,0.010118,0.009242629416,0.08753705839999998,0.0904896018670127
25-34 × 연립주택,3863,0.003863,0.003948331536000001,-0.008533153600000058,-0.02184901004522123
25-34 × 비주거용 건물 내 ,1387,0.001387,0.001520500266,-0.013350026599999995,-0.09189626174502558
35-44 × 아파트,104458,0.104458,0.101074299612,0.33837003879999966,0.03292919062647956
35-44 × 단독주택,24000,0.024,0.027551133180999995,-0.3551133180999994,-0.1379898362018217
35-44 × 다세대주택,18562,0.018562,0.018628079612999997,-0.006607961299999812,-0.003553618772883809
35-44 × 주택 이외의 거처,10181,0.010181,0.009815619527999997,0.036538047200000354,0.036548291858850196
35-44 × 연립주택,4105,0.004105,0.004193105488,-0.008810548799999957,-0.021235883088451094
35-44 × 비주거용 건물 내 ,1571,0.001571,0.0016147625779999995,-0.004376257799999957,-0.02747557606771309
45-54 × 아파트,120435,0.120435,0.118091186244,0.23438137559999989,0.01965309748839977
45-54 × 단독주택,30453,0.030453,0.03218964674699999,-0.1736646746999991,-0.055460359781961996
45-54 × 다세대주택,21306,0.021306,0.021764306330999995,-0.045830633099999685,-0.021282580459677417
45-54 × 주택 이외의 거처,11312,0.011312,0.011468178935999997,-0.015617893599999787,-0.0137120418145902
45-54 × 연립주택,4957,0.004957,0.004899057456,0.005794254399999962,0.011757888342995683
45-54 × 비주거용 건물 내 ,1836,0.001836,0.0018866242859999994,-0.005062428599999949,-0.027199847845496842
55-64 × 아파트,117169,0.117169,0.11837415978000003,-0.12051597800000341,-0.010233116493817043
55-64 × 단독주택,34385,0.034385,0.032266780515,0.2118219484999996,0.0635821888061644
55-64 × 다세대주택,21293,0.021293,0.021816458595,-0.05234585950000016,-0.024286286157690937
55-64 × 주택 이외의 거처,10975,0.010975,0.01149565932,-0.052065932000000016,-0.04634955472084133
55-64 × 연립주택,5012,0.005012,0.004910796720000001,0.010120327999999911,0.020398843625111497
55-64 × 비주거용 건물 내 ,1921,0.001921,0.0018911450699999998,0.0029854930000000135,0.01566338102935474
65-74 × 아파트,76702,0.076702,0.08023727024400001,-0.3535270244000008,-0.045060339532118146
65-74 × 단독주택,25797,0.025797,0.021871313747,0.39256862530000003,0.16508230247619896
65-74 × 다세대주택,14498,0.014498,0.014787797331,-0.02897973309999996,-0.019791627138301696
65-74 × 주택 이외의 거처,7513,0.007513,0.007792074935999999,-0.027907493599999954,-0.03647232995008805
65-74 × 연립주택,3359,0.003359,0.0033286734560000002,0.0030326543999999785,0.009069447566410045
65-74 × 비주거용 건물 내 ,1430,0.00143,0.0012818702859999998,0.014812971400000027,0.10935427185971597
75-84 × 아파트,39070,0.03907,0.042089210700000004,-0.30192107000000035,-0.07443652086682268
75-84 × 단독주택,14949,0.014949,0.011472802224999998,0.34761977750000017,0.26466519759756674
75-84 × 다세대주택,7384,0.007384,0.007757077425,-0.03730774249999999,-0.04929014556557697
75-84 × 주택 이외의 거처,3923,0.003923,0.0040874058,-0.01644057999999997,-0.041053822858836395
75-84 × 연립주택,1775,0.001775,0.0017460868,0.0028913200000000054,0.01642325311449344
75-84 × 비주거용 건물 내 ,724,0.000724,0.0006724170499999999,0.005158295000000011,0.07391263424233897
85+ × 아파트,11544,0.011544,0.012719536332000006,-0.11755363320000052,-0.09697328388922813
85+ × 단독주택,5013,0.005013,0.003467129041000001,0.15458709589999992,0.36870765248455983
85+ × 다세대주택,2037,0.002037,0.0023442213930000007,-0.030722139300000048,-0.1404751809484551
85+ × 주택 이외의 거처,1129,0.001129,0.0012352312080000003,-0.010623120800000028,-0.08992588034572295
85+ × 연립주택,555,0.000555,0.0005276747680000002,0.002732523199999986,0.0504879895244158
85+ × 비주거용 건물 내 ,219,0.000219,0.00020320725800000003,0.0015792741999999978,0.07484529624612746
