cell,n,p_obs,p_indep,diff_pp,pmi
19-24 × 미혼,81147,0.081147,0.021862069998000003,5.9284930002,1.3115091530226555
19-24 × 배우자있음,3552,0.003552,0.050412540502,-4.6860540502,-2.6527291384810923
19-24 × 사별,44,4.4e-05,0.007477423152,-0.7433423152,-5.135453879301336
19-24 × 이혼,336,0.000336,0.005326966348,-0.4990966348,-2.7634260296821047
25-34 × 미혼,100158,0.100158,0.039410004978,6.074799502199999,0.9327292215812831
25-34 × 배우자있음,50447,0.050447,0.09087696052199999,-4.0429960521999995,-0.5885832292382932
25-34 × 사별,598,0.000598,0.013479294671999997,-1.2881294671999997,-3.1153193051111074
25-34 × 이혼,2166,0.002166,0.009602739828,-0.7436739828,-1.4891663079265156
35-44 × 미혼,41175,0.041175,0.04185319967400001,-0.0678199674000006,-0.01633697371979634
35-44 × 배우자있음,111709,0.111709,0.09651081182600002,1.5198188173999982,0.14624223407598647
35-44 × 사별,1233,0.001233,0.014314933776,-1.3081933776,-2.4518530881608727
35-44 × 이혼,8760,0.00876,0.010198054724000002,-0.14380547240000016,-0.15200108382049193
45-54 × 미혼,22689,0.022689,0.048899611638,-2.6210611638000003,-0.7678892289440964
45-54 × 배우자있음,142874,0.142874,0.112759388862,3.0114611138,0.23670687654613695
45-54 × 사별,4622,0.004622,0.016724998512,-1.2102998511999998,-1.2860770051934893
45-54 × 이혼,20114,0.020114,0.011915000988,0.8198999012,0.5236178965508984
55-64 × 미혼,8613,0.008613,0.04901678631000001,-4.040378631000001,-1.7388901273923312
55-64 × 배우자있음,148177,0.148177,0.11302958619000002,3.5147413809999986,0.2707578960038754
55-64 × 사별,13694,0.013694,0.016765075440000003,-0.3071075440000003,-0.2023400990600764
55-64 × 이혼,20271,0.020271,0.011943552060000003,0.8327447939999998,0.5289997370534878
65-74 × 미혼,2416,0.002416,0.033224929638,-3.0808929637999998,-2.6211872067818343
65-74 × 배우자있음,93469,0.093469,0.076614570862,1.685442913799999,0.1988425517298444
65-74 × 사별,24335,0.024335,0.011363830512,1.2971169487999998,0.7614800938714349
65-74 × 이혼,9079,0.009079,0.008095668988,0.09833310120000005,0.11463482854992563
75-84 × 미혼,611,0.000611,0.01742844765,-1.6817447650000001,-3.350762113414085
75-84 × 배우자있음,36688,0.036688,0.04018888985,-0.3500889850000001,-0.09114085942113051
75-84 × 사별,28867,0.028867,0.0059610036,2.29059964,1.5774602180145976
75-84 × 이혼,1659,0.001659,0.0042466589,-0.25876589000000005,-0.9399175213805275
85+ × 미혼,153,0.000153,0.005266950114000001,-0.5113950114,-3.538768826620241
85+ × 배우자있음,5622,0.005622,0.012145251386,-0.6523251386,-0.7702507884793346
85+ × 사별,14495,0.014495,0.001801440336,1.2693559663999998,2.0852172307835
85+ × 이혼,227,0.000227,0.001283358164,-0.10563581640000001,-1.732285469516565
