cell,n,p_obs,p_indep,diff_pp,pmi
19-24 × 비현역,84529,0.084529,0.084629612722,-0.01006127219999875,-0.0011895667887727526
19-24 × 현역,550,0.00055,0.00044938727799999996,0.010061272200000007,0.20203322773224394
25-34 × 비현역,151997,0.151997,0.152558904942,-0.05619049420000077,-0.003689999572894302
25-34 × 현역,1372,0.001372,0.0008100950579999999,0.0561904942,0.526873211949415
35-44 × 비현역,161483,0.161483,0.162016683686,-0.05336836860000138,-0.0032994416815072306
35-44 × 현역,1394,0.001394,0.0008603163139999999,0.053368368600000014,0.48263246272057647
45-54 × 비현역,188984,0.188984,0.18929384068200003,-0.03098406820000177,-0.001638164956909411
45-54 × 현역,1315,0.001315,0.001005159318,0.030984068199999992,0.26869061130937366
55-64 × 비현역,190104,0.190104,0.18974743209,0.03565679099999941,0.0018774077684521346
55-64 × 현역,651,0.000651,0.0010075679099999998,-0.035656790999999986,-0.43678505380719085
65-74 × 비현역,129299,0.129299,0.128616042682,0.06829573179999993,0.0052959990791836735
65-74 × 현역,0,0.0,0.0006829573179999999,-0.0682957318,
75-84 × 비현역,67825,0.067825,0.06746674835,0.035825165000000214,0.0052959990791836735
75-84 × 현역,0,0.0,0.0003582516499999999,-0.03582516499999999,
85+ × 비현역,20497,0.020497,0.020388734846,0.0108265154,0.0052959990791836735
85+ × 현역,0,0.0,0.00010826515399999999,-0.010826515399999998,
