cell,n,p_obs,p_indep,diff_pp,pmi
19-24 × 무직,37592,0.037592,0.031253685571,0.6338314429,0.18465395430027534
19-24 × 건물 청소원,274,0.000274,0.0015529469869999997,-0.12789469869999998,-1.7347815803119089
19-24 × 건물 경비원,641,0.000641,0.001486585367,-0.08455853669999999,-0.8412076120555637
19-24 × 경리 사무원,1718,0.001718,0.001373685534,0.0344314466,0.2236635249520446
19-24 × 사무 보조원,1723,0.001723,0.0011596267699999997,0.05633732300000002,0.39596875420015626
19-24 × 전화 상담원,1074,0.001074,0.0009538206689999999,0.012017933100000018,0.11866959927802126
19-24 × 시설 경비원,695,0.000695,0.0009271058629999999,-0.023210586299999995,-0.28815591304928917
19-24 × 일반 비서,1267,0.001267,0.0009269357049999997,0.03400642950000002,0.31252297530522377
19-24 × 하역 및 적재 관련,279,0.000279,0.0007793236399999999,-0.05003236399999998,-1.0272146334840053
19-24 × 한식 조리사,678,0.000678,0.000728786714,-0.0050786714,-0.072233827872116
19-24 × 그 외 일반 영업원,421,0.000421,0.0006975627209999999,-0.027656272099999994,-0.5049595985509915
19-24 × 주방 보조원,178,0.000178,0.0006416658179999999,-0.046366581799999994,-1.2822840851634125
19-24 × 지게차 운전원,388,0.000388,0.0006280531779999999,-0.024005317799999988,-0.4816195016038655
19-24 × 회계 사무원,598,0.000598,0.0006168227499999999,-0.0018822749999999866,-0.030990951535283758
19-24 × 마케팅 전문가,624,0.000624,0.0006147808539999999,0.0009219146000000048,0.014884499024646884
19-24 × 산업 안전원,705,0.000705,0.000562116953,0.014288304700000004,0.22648787314518776
19-24 × 교육 및 훈련 사무,132,0.000132,0.000522214902,-0.039021490199999995,-1.3752772702305058
19-24 × 그 외 서비스 관련,82,8.2e-05,0.0005059648129999999,-0.04239648129999999,-1.8197478800795357
19-24 × 경영 기획 사무원,425,0.000425,0.0005053692599999999,-0.008036925999999995,-0.17320020106946893
19-24 × 그 외 상점 판매원,581,0.000581,0.000485120458,0.009587954200000005,0.18035352974209878
19-24 × 기타,35004,0.035004,0.038156825473,-0.3152825472999998,-0.08624231253512708
25-34 × 무직,38793,0.038793,0.056339948780999995,-1.7546948780999994,-0.3731640353605576
25-34 × 건물 청소원,733,0.000733,0.0027994443569999993,-0.2066444356999999,-1.3400305306554705
25-34 × 건물 경비원,1485,0.001485,0.002679816537,-0.11948165369999998,-0.5903335635815764
25-34 × 경리 사무원,3349,0.003349,0.002476295874,0.08727041260000001,0.30189794935990594
25-34 × 사무 보조원,2296,0.002296,0.0020904194699999995,0.02055805300000004,0.0938037292695409
25-34 × 전화 상담원,1892,0.001892,0.0017194198589999998,0.017258014100000017,0.09564752797889213
25-34 × 시설 경비원,1065,0.001065,0.0016712619929999998,-0.06062619929999998,-0.4506042263126986
25-34 × 일반 비서,3249,0.003249,0.0016709552549999994,0.15780447450000007,0.6649517848110424
25-34 × 하역 및 적재 관련,633,0.000633,0.0014048600399999998,-0.07718600399999997,-0.7972225390033376
25-34 × 한식 조리사,1066,0.001066,0.001313758854,-0.02477588539999999,-0.20897905692886434
25-34 × 그 외 일반 영업원,1346,0.001346,0.0012574724309999997,0.008852756900000026,0.06803353212915757
25-34 × 주방 보조원,509,0.000509,0.001156708998,-0.06477089979999999,-0.8208861647471175
25-34 × 지게차 운전원,1039,0.001039,0.0011321699579999998,-0.00931699579999998,-0.08587739597005431
25-34 × 회계 사무원,2042,0.002042,0.0011119252499999998,0.09300747500000002,0.6078367473965526
25-34 × 마케팅 전문가,1931,0.001931,0.0011082443939999997,0.08227556060000003,0.5552608672415912
25-34 × 산업 안전원,1885,0.001885,0.0010133089829999998,0.08716910170000002,0.6207066243728876
25-34 × 교육 및 훈련 사무,1151,0.001151,0.000941378922,0.02096210779999999,0.20104067006286308
25-34 × 그 외 서비스 관련,214,0.000214,0.0009120854429999998,-0.06980854429999998,-1.44975765816408
25-34 × 경영 기획 사무원,1648,0.001648,0.0009110118599999999,0.073698814,0.5927617946333885
25-34 × 그 외 상점 판매원,710,0.00071,0.000874510038,-0.016451003799999996,-0.2083988029165941
25-34 × 기타,86333,0.086333,0.06878400270299999,1.7548997297000004,0.22724071296925902
35-44 × 무직,29933,0.029933,0.059832703073,-2.9899703073,-0.6925908348852804
35-44 × 건물 청소원,1334,0.001334,0.0029729938809999997,-0.1638993881,-0.8013875383300305
35-44 × 건물 경비원,1945,0.001945,0.002845949821,-0.09009498210000003,-0.3806348910293071
35-44 × 경리 사무원,3472,0.003472,0.002629812042,0.0842187958,0.2778184200824647
35-44 × 사무 보조원,2805,0.002805,0.00222001351,0.05849864900000002,0.23389025752340326
35-44 × 전화 상담원,2226,0.002226,0.001826014047,0.039998595300000016,0.1980707779390813
35-44 × 시설 경비원,1537,0.001537,0.001774870669,-0.023787066899999997,-0.14389509318110558
35-44 × 일반 비서,2741,0.002741,0.0017745449149999997,0.09664550850000003,0.4347788131812504
35-44 × 하역 및 적재 관련,970,0.00097,0.0014919533199999999,-0.05219533199999998,-0.4305454219135627
35-44 × 한식 조리사,1546,0.001546,0.0013952043820000001,0.015079561799999992,0.10263003522923571
35-44 × 그 외 일반 영업원,2186,0.002186,0.001335428523,0.08505714770000002,0.4928211583974909
35-44 × 주방 보조원,1050,0.00105,0.001228418334,-0.017841833400000003,-0.15693727040954875
35-44 × 지게차 운전원,1531,0.001531,0.0012023580139999999,0.03286419860000001,0.24163647632492463
35-44 × 회계 사무원,1982,0.001982,0.0011808582499999998,0.08011417500000001,0.5178649312983976
35-44 × 마케팅 전문가,2010,0.00201,0.001176949202,0.08330507980000001,0.5352090536027208
35-44 × 산업 안전원,1719,0.001719,0.001076128339,0.06428716610000001,0.46837299761014833
35-44 × 교육 및 훈련 사무,2194,0.002194,0.000999739026,0.11942609740000001,0.7859873699126788
35-44 × 그 외 서비스 관련,404,0.000404,0.0009686295189999999,-0.056462951899999995,-0.8744673274882588
35-44 × 경영 기획 사무원,1665,0.001665,0.00096748938,0.069751062,0.5428759543150383
35-44 × 그 외 상점 판매원,956,0.000956,0.000928724654,0.0027275346000000026,0.028945607835968678
35-44 × 기타,98671,0.098671,0.073048217099,2.562278290099999,0.3006713522961302
45-54 × 무직,39308,0.039308,0.06990614735100001,-3.0598147351000007,-0.5757255298082774
45-54 × 건물 청소원,3108,0.003108,0.0034735276469999997,-0.03655276469999996,-0.11119125802065981
45-54 × 건물 경비원,3589,0.003589,0.0033250944270000003,0.026390557299999992,0.07637553936315504
45-54 × 경리 사무원,3834,0.003834,0.003072567654,0.07614323460000001,0.22139506320521526
45-54 × 사무 보조원,3249,0.003249,0.00259377537,0.06552246300000003,0.2252327705331084
45-54 × 전화 상담원,2767,0.002767,0.0021334420890000002,0.06335579109999998,0.26002702118791843
45-54 × 시설 경비원,2725,0.002725,0.0020736882030000002,0.06513117969999997,0.2731396656750445
45-54 × 일반 비서,2157,0.002157,0.0020733076049999997,0.008369239500000038,0.039573158565022616
45-54 × 하역 및 적재 관련,1961,0.001961,0.0017431388399999999,0.02178611600000002,0.1177671280827567
45-54 × 한식 조리사,2515,0.002515,0.001630101234,0.08848987659999999,0.43363068391310955
45-54 × 그 외 일반 영업원,2409,0.002409,0.0015602615009999998,0.08487384990000003,0.4343582875732801
45-54 × 주방 보조원,1934,0.001934,0.001435235058,0.049876494199999996,0.2982617577495234
45-54 × 지게차 운전원,2102,0.002102,0.001404787218,0.06972127820000001,0.40300342740153894
45-54 × 회계 사무원,1559,0.001559,0.0013796677499999998,0.017933225000000025,0.12220188076364258
45-54 × 마케팅 전문가,1623,0.001623,0.0013751005739999999,0.024789942600000024,0.16574941536159216
45-54 × 산업 안전원,1327,0.001327,0.001257305493,0.006969450700000006,0.053949821856908164
45-54 × 교육 및 훈련 사무,1847,0.001847,0.0011680552620000001,0.06789447379999998,0.4582225045741446
45-54 × 그 외 서비스 관련,860,0.00086,0.001131708153,-0.027170815299999998,-0.274551020904454
45-54 × 경영 기획 사무원,1298,0.001298,0.00113037606,0.016762393999999993,0.13827424446193087
45-54 × 그 외 상점 판매원,1510,0.00151,0.0010850848980000001,0.04249151019999999,0.3304514198909388
45-54 × 기타,108617,0.108617,0.085346627613,2.3270372387,0.24110699698537194
55-64 × 무직,77691,0.077691,0.07007365849500001,0.7617341504999986,0.10319246752721868
55-64 × 건물 청소원,4946,0.004946,0.0034818510149999997,0.1464148985,0.3510151158598946
55-64 × 건물 경비원,4735,0.004735,0.0033330621150000008,0.1401937884999999,0.35109029112245715
55-64 × 경리 사무원,2607,0.002607,0.00307993023,-0.047293023000000024,-0.166706809180142
55-64 × 사무 보조원,2169,0.002169,0.00259999065,-0.043099065000000006,-0.18124161702238673
55-64 × 전화 상담원,2055,0.002055,0.002138554305,-0.008355430500000009,-0.03985419438194148
55-64 × 시설 경비원,2570,0.00257,0.002078657235,0.04913427649999996,0.21218377375369635
55-64 × 일반 비서,1138,0.001138,0.002078275725,-0.09402757249999999,-0.6022662358511268
55-64 × 하역 및 적재 관련,2552,0.002552,0.0017473158,0.08046842,0.37879658363782176
55-64 × 한식 조리사,2017,0.002017,0.0016340073300000002,0.03829926699999999,0.2105757766202127
55-64 × 그 외 일반 영업원,1332,0.001332,0.001564000245,-0.02320002449999999,-0.16056522665452594
55-64 × 주방 보조원,1936,0.001936,0.00143867421,0.04973257899999999,0.2969019868595371
55-64 × 지게차 운전원,1686,0.001686,0.00140815341,0.027784659000000003,0.18007965181317417
55-64 × 회계 사무원,819,0.000819,0.00138297375,-0.056397375000000007,-0.5239072671543339
55-64 × 마케팅 전문가,732,0.000732,0.00137839563,-0.064639563,-0.6328950009049568
55-64 × 산업 안전원,756,0.000756,0.001260318285,-0.0504318285,-0.5110781990090355
55-64 × 교육 및 훈련 사무,724,0.000724,0.0011708541900000004,-0.04468541900000003,-0.48069744595264824
55-64 × 그 외 서비스 관련,1229,0.001229,0.001134419985,0.009458001500000007,0.08007933670075842
55-64 × 경영 기획 사무원,685,0.000685,0.0011330847,-0.044808469999999996,-0.5032801772531481
55-64 × 그 외 상점 판매원,1244,0.001244,0.00108768501,0.015631499,0.13428040066782462
55-64 × 기타,77132,0.077132,0.08555113768500001,-0.8419137685000009,-0.10359605887284071
65-74 × 무직,76105,0.076105,0.047497858351000004,2.8607141649,0.47142934305486806
65-74 × 건물 청소원,4860,0.00486,0.0023600946469999997,0.2499905353,0.7223367150180372
65-74 × 건물 경비원,3572,0.003572,0.0022592414270000004,0.13127585729999997,0.458096557843633
