cell,n,p_obs,p_indep,diff_pp,pmi
19-24 × 경기,22416,0.022416,0.022303800166,0.011219983399999786,0.005017914615498233
19-24 × 서울,17205,0.017205,0.015759013012,0.1445986988000001,0.08778758292294137
19-24 × 부산,5246,0.005246,0.005554382515,-0.03083825150000004,-0.05712137705251532
19-24 × 경상남,4601,0.004601,0.005310290864,-0.07092908639999995,-0.14337293922816435
19-24 × 인천,4850,0.00485,0.005018895289,-0.016889528899999978,-0.034231142584870394
19-24 × 경상북,3768,0.003768,0.004279303542,-0.051130354200000026,-0.12724591580685396
19-24 × 대구,4057,0.004057,0.0039930977860000005,0.0063902213999999374,0.01587646708671142
19-24 × 충청남,3617,0.003617,0.003527035024,0.00899649760000001,0.025187371513011446
19-24 × 전라남,2251,0.002251,0.0029259518890000003,-0.06749518890000003,-0.2622452979544247
19-24 × 전북,2892,0.002892,0.0029086808520000004,-0.0016680852000000319,-0.005751358644448673
19-24 × 충청북,2595,0.002595,0.002662632384,-0.006763238399999996,-0.025728734871750085
19-24 × 강원,2524,0.002524,0.0025693858000000003,-0.004538580000000006,-0.01782193733905253
19-24 × 대전,3122,0.003122,0.002437173034,0.06848269660000005,0.24763504709837184
19-24 × 광주,2712,0.002712,0.002347669926,0.03643300740000001,0.1442630546551121
19-24 × 울산,1589,0.001589,0.0018136290429999996,-0.022462904299999968,-0.13222494653367364
19-24 × 제주,984,0.000984,0.001078206167,-0.009420616699999988,-0.09142808566700583
19-24 × 세종,650,0.00065,0.000589852707,0.0060147293000000004,0.09709950630999706
25-34 × 경기,42791,0.042791,0.04020629682599999,0.2584703174000009,0.06230417928060647
25-34 × 서울,35250,0.03525,0.028408233131999996,0.6841766868000001,0.21578652708963256
25-34 × 부산,8901,0.008901,0.010012695164999998,-0.11116951649999991,-0.11769017436254538
25-34 × 경상남,7612,0.007612,0.009572679503999999,-0.19606795039999989,-0.22918720680973542
25-34 × 인천,9569,0.009569,0.009047390679,0.052160932100000015,0.05605231342072086
25-34 × 경상북,5669,0.005669,0.007714153961999999,-0.2045153961999999,-0.3080440830209465
25-34 × 대구,6655,0.006655,0.007198220645999999,-0.05432206459999988,-0.07846541113266607
25-34 × 충청남,5526,0.005526,0.006358065263999999,-0.08320652639999997,-0.14025990079786732
25-34 × 전라남,3974,0.003974,0.005274513279,-0.13005132789999999,-0.2831132615915374
25-34 × 전북,4190,0.00419,0.005243379372,-0.10533793719999995,-0.224265474849063
25-34 × 충청북,4457,0.004457,0.004799836223999999,-0.03428362239999991,-0.0741059033673259
25-34 × 강원,3695,0.003695,0.004631743799999999,-0.09367437999999993,-0.22595287345999665
25-34 × 대전,4813,0.004813,0.004393408373999999,0.04195916260000005,0.09121526948396119
25-34 × 광주,4263,0.004263,0.004232064185999999,0.003093581400000125,0.00728327651789375
25-34 × 울산,3088,0.003088,0.003269366972999999,-0.01813669729999988,-0.057072747767865285
25-34 × 제주,1767,0.001767,0.0019436453369999997,-0.017664533699999974,-0.09528205624170569
