cell,n,p_obs,p_indep,diff_pp,pmi
19-24 × 남자,44556,0.044556,0.04216157908200001,0.23944209179999898,0.055237466944597316
19-24 × 여자,40523,0.040523,0.04291742091800001,-0.23944209180000037,-0.05740811135746972
25-34 × 남자,80638,0.080638,0.076003234902,0.4634765097999996,0.059194098547703904
25-34 × 여자,72731,0.072731,0.07736576509800001,-0.463476509800001,-0.06177666779547309
35-44 × 남자,83931,0.083931,0.080715000366,0.32159996340000024,0.0390705965706048
35-44 × 여자,78946,0.078946,0.082161999634,-0.32159996340000024,-0.039928829174966984
45-54 × 남자,95929,0.095929,0.094304191842,0.16248081579999935,0.01708269366126357
45-54 × 여자,94370,0.09437,0.095994808158,-0.16248081580000073,-0.01707088228462746
55-64 × 남자,94340,0.09434,0.09453016629000001,-0.01901662900000156,-0.002013725703717854
55-64 × 여자,96415,0.096415,0.09622483371000001,0.019016628999998786,0.0019743201404300416
65-74 × 남자,61941,0.061941,0.06407515384200001,-0.21341538420000042,-0.033874354144016613
65-74 × 여자,67358,0.067358,0.065223846158,0.21341538419999972,0.0321965375957036
75-84 × 남자,28297,0.028297,0.033611221350000005,-0.5314221350000006,-0.17210418800110122
75-84 × 여자,39528,0.039528,0.034213778650000005,0.5314221349999995,0.14438083410813501
85+ × 남자,5926,0.005926,0.010157452326000002,-0.42314523260000025,-0.5388582062396312
85+ × 여자,14571,0.014571,0.010339547674000003,0.4231452325999998,0.3430571291694079
