cell,n,p_obs,p_indep,diff_pp,pmi
해당없음 × 경기-화성시,11114,0.011114,0.011918367912,-0.08043679120000001,-0.06987515727082876
해당없음 × 경기-남양주시,9658,0.009658,0.009341405270999999,0.03165947290000009,0.03332988924764656
해당없음 × 서울-송파구,5636,0.005636,0.008416099659,-0.2780099659,-0.4009719035000256
해당없음 × 인천-서구,8544,0.008544,0.007915679277,0.06283207230000001,0.07638377108911003
해당없음 × 경기-평택시,8048,0.008048,0.007469886996,0.05781130039999999,0.07454374203792588
해당없음 × 서울-강서구,6634,0.006634,0.007426724052,-0.07927240519999997,-0.11287691276624229
해당없음 × 대구-달서구,7495,0.007495,0.007160327757,0.03346722429999997,0.04568037551238277
해당없음 × 서울-강남구,3329,0.003329,0.006976885245000001,-0.3647885245000001,-0.7399306186153607
해당없음 × 서울-관악구,5846,0.005846,0.006854815044,-0.10088150440000004,-0.15919366477960567
해당없음 × 경상남-김해시,7271,0.007271,0.0067752333660000014,0.049576663399999825,0.07062002232932442
해당없음 × 인천-부평구,7406,0.007406,0.006657209691000001,0.07487903089999992,0.10659005104492776
해당없음 × 경기-시흥시,7414,0.007414,0.0066329305350000005,0.07810694649999991,0.11132338687677583
해당없음 × 서울-노원구,5987,0.005987,0.006613372326000001,-0.06263723260000005,-0.09950325729656881
해당없음 × 인천-남동구,7239,0.007239,0.006486581178,0.07524188219999997,0.10974746644479129
해당없음 × 경기-고양시 덕양구,6042,0.006042,0.0064562322330000005,-0.04142322330000009,-0.06631081901047818
해당없음 × 경기-파주시,6691,0.006691,0.006342255084000001,0.03487449159999988,0.05352894311211443
해당없음 × 제주-제주시,6226,0.006226,0.006272789720999999,-0.004678972099999949,-0.00748711525165562
해당없음 × 서울-은평구,5724,0.005724,0.006144649731000001,-0.04206497310000014,-0.07091387904825935
해당없음 × 대전-서구,5538,0.005538,0.006118347311999999,-0.05803473119999989,-0.0996585882473681
해당없음 × 경기-의정부시,6731,0.006731,0.006077207631000001,0.06537923689999992,0.10217840176493345
해당없음 × 서울-강동구,5165,0.005165,0.006067091316,-0.09020913159999994,-0.1609741975362094
해당없음 × 경기-김포시,5691,0.005691,0.005984137533,-0.029313753299999978,-0.05022624424295605
해당없음 × 경기-성남시 분당구,3085,0.003085,0.005887020909,-0.2802020909,-0.6461984244066038
해당없음 × 광주-북구,5584,0.005584,0.005723811027,-0.013981102699999956,-0.02472948153821062
해당없음 × 서울-성북구,5102,0.005102,0.0056786248199999995,-0.05766248199999997,-0.1070764745453578
해당없음 × 기타,511221,0.511221,0.501023314374,1.0197685625999986,0.0201493463530188
공학·제조·건설 × 경기-화성시,1584,0.001584,0.001199416312,0.03845836879999998,0.27811826159904257
공학·제조·건설 × 경기-남양주시,888,0.000888,0.0009400812209999998,-0.005208122099999981,-0.056994533858303636
공학·제조·건설 × 서울-송파구,1361,0.001361,0.0008469622090000001,0.05140377909999999,0.4743189264682363
공학·제조·건설 × 인천-서구,702,0.000702,0.0007966019269999998,-0.00946019269999998,-0.1264216857496879
공학·제조·건설 × 경기-평택시,706,0.000706,0.0007517391959999999,-0.004573919599999992,-0.06277421247298563
공학·제조·건설 × 서울-강서구,811,0.000811,0.0007473954519999999,0.006360454800000007,0.08167362217753985
공학·제조·건설 × 대구-달서구,649,0.000649,0.000720586407,-0.0071586407,-0.10463261798485848
공학·제조·건설 × 서울-강남구,1308,0.001308,0.000702125495,0.06058745049999999,0.6221423761621251
공학·제조·건설 × 서울-관악구,840,0.00084,0.0006898408439999999,0.015015915600000011,0.19694098172192948
공학·제조·건설 × 경상남-김해시,639,0.000639,0.0006818320660000001,-0.004283206600000009,-0.06487893560783072
공학·제조·건설 × 인천-부평구,495,0.000495,0.0006699546410000001,-0.01749546410000001,-0.30265224752457315
공학·제조·건설 × 경기-시흥시,585,0.000585,0.000667511285,-0.008251128500000001,-0.13194444926667834
공학·제조·건설 × 서울-노원구,744,0.000744,0.000665543026,0.007845697399999997,0.11143774694653787
공학·제조·건설 × 인천-남동구,556,0.000556,0.000652783278,-0.0096783278,-0.16047689326240092
공학·제조·건설 × 경기-고양시 덕양구,723,0.000723,0.000649729083,0.007327091699999998,0.10685374153703606
공학·제조·건설 × 경기-파주시,596,0.000596,0.0006382588840000001,-0.004225888400000015,-0.0685033082699859
공학·제조·건설 × 제주-제주시,593,0.000593,0.0006312681709999999,-0.0038268170999999906,-0.06253636692011665
공학·제조·건설 × 서울-은평구,616,0.000616,0.000618372681,-0.00023726810000000405,-0.0038443558557140316
공학·제조·건설 × 대전-서구,699,0.000699,0.0006157257119999999,0.008327428800000009,0.12684915059090185
공학·제조·건설 × 경기-의정부시,494,0.000494,0.000611585581,-0.011758558099999997,-0.21351938072249016
공학·제조·건설 × 서울-강동구,791,0.000791,0.0006105675159999999,0.018043248400000014,0.2589090890130724
공학·제조·건설 × 경기-김포시,683,0.000683,0.000602219383,0.008078061700000005,0.1258730570600771
공학·제조·건설 × 경기-성남시 분당구,1045,0.001045,0.0005924459589999999,0.0452554041,0.5675125039881864
공학·제조·건설 × 광주-북구,596,0.000596,0.000576021177,0.0019978822999999995,0.03409624142029754
공학·제조·건설 × 서울-성북구,628,0.000628,0.0005714738199999999,0.005652618000000003,0.09432149355645103
공학·제조·건설 × 기타,48539,0.048539,0.050420958674000003,-0.18819586740000047,-0.03803933682287255
경영·행정·법 × 경기-화성시,1060,0.00106,0.0009704225360000001,0.008957746399999985,0.08829260633290595
경영·행정·법 × 경기-남양주시,704,0.000704,0.0007605999629999999,-0.00565999629999999,-0.07732919069030966
경영·행정·법 × 서울-송파구,1146,0.001146,0.0006852593270000001,0.0460740673,0.5142355510935769
경영·행정·법 × 인천-서구,511,0.000511,0.0006445138809999999,-0.013351388099999998,-0.232126769569673
경영·행정·법 × 경기-평택시,482,0.000482,0.0006082163879999999,-0.012621638799999993,-0.23258660591350555
경영·행정·법 × 서울-강서구,769,0.000769,0.000604701956,0.016429804400000005,0.24035526756989248
경영·행정·법 × 대구-달서구,529,0.000529,0.000583011321,-0.0054011321000000095,-0.09721817282852743
경영·행정·법 × 서울-강남구,1209,0.001209,0.0005680749850000001,0.0640925015,0.7552954247618956
경영·행정·법 × 서울-관악구,758,0.000758,0.000558135732,0.019986426800000002,0.3060812055290635
경영·행정·법 × 경상남-김해시,461,0.000461,0.0005516559980000001,-0.009065599800000011,-0.17952661698659522
경영·행정·법 × 인천-부평구,391,0.000391,0.0005420462230000001,-0.015104622300000009,-0.3266437201057759
경영·행정·법 × 경기-시흥시,391,0.000391,0.000540069355,-0.014906935499999998,-0.32299000651104726
경영·행정·법 × 서울-노원구,634,0.000634,0.000538476878,0.009552312199999998,0.16330439655279383
경영·행정·법 × 인천-남동구,367,0.000367,0.000528153234,-0.016115323400000003,-0.36402460945629134
경영·행정·법 × 경기-고양시 덕양구,597,0.000597,0.000525682149,0.007131785099999996,0.12722036277299534
경영·행정·법 × 경기-파주시,490,0.00049,0.0005164018520000001,-0.002640185200000007,-0.05247985422854158
경영·행정·법 × 제주-제주시,517,0.000517,0.000510745813,0.0006254187000000037,0.012170838592708714
경영·행정·법 × 서울-은평구,595,0.000595,0.0005003123430000001,0.009468765699999996,0.17332881615851758
경영·행정·법 × 대전-서구,609,0.000609,0.0004981707359999999,0.011082926400000003,0.2008754060691102
경영·행정·법 × 경기-의정부시,381,0.000381,0.000494821043,-0.011382104300000005,-0.26139679278159
경영·행정·법 × 서울-강동구,636,0.000636,0.0004939973479999999,0.014200265200000001,0.2526684145876623
경영·행정·법 × 경기-김포시,548,0.000548,0.00048724304899999996,0.006075695100000002,0.11751221443942435
경영·행정·법 × 경기-성남시 분당구,958,0.000958,0.000479335577,0.0478664423,0.6924468475622573
경영·행정·법 × 광주-북구,505,0.000505,0.000466046631,0.0038953369000000035,0.08027273363242937
경영·행정·법 × 서울-성북구,597,0.000597,0.00046236745999999994,0.013463254000000004,0.25555717048297627
경영·행정·법 × 기타,39068,0.039068,0.04079453822200001,-0.17265382220000083,-0.043244487756041505
예술·인문 × 경기-화성시,957,0.000957,0.000866475832,0.00905241679999999,0.09936917420386857
예술·인문 × 경기-남양주시,619,0.000619,0.000679128381,-0.0060128381,-0.09270491063963503
예술·인문 × 서울-송파구,1057,0.001057,0.0006118578490000001,0.04451421509999999,0.5466900032132506
예술·인문 × 인천-서구,463,0.000463,0.000575476847,-0.0112476847,-0.21747194216302235
예술·인문 × 경기-평택시,445,0.000445,0.000543067356,-0.009806735600000007,-0.19915907427374488
예술·인문 × 서울-강서구,679,0.000679,0.000539929372,0.013907062800000002,0.22918278914706572
예술·인문 × 대구-달서구,466,0.000466,0.0005205621270000001,-0.005456212700000006,-0.11072360703705988
예술·인문 × 서울-강남구,1125,0.001125,0.0005072256950000001,0.06177743049999998,0.7965822523097442
예술·인문 × 서울-관악구,711,0.000711,0.0004983510840000001,0.0212648916,0.3553676132140537
예술·인문 × 경상남-김해시,373,0.000373,0.0004925654260000001,-0.011956542600000005,-0.27804887681530716
