cell,n,p_obs,p_indep,diff_pp,pmi
해당없음 × 무직,277746,0.277746,0.24774787992900005,2.9998120070999947,0.11429541110210716
해당없음 × 건물 청소원,18071,0.018071,0.012310206513000002,0.5760793486999998,0.3838797273246374
해당없음 × 건물 경비원,16987,0.016987,0.011784158133,0.5202841866999999,0.3656922472695305
해당없음 × 경리 사무원,11597,0.011597,0.010889201466,0.07077985339999995,0.06297483699100025
해당없음 × 사무 보조원,9027,0.009027,0.009192358230000003,-0.016535823000000255,-0.018152425403165834
해당없음 × 전화 상담원,7768,0.007768,0.007560933830999999,0.02070661690000003,0.02701802580682513
해당없음 × 시설 경비원,10085,0.010085,0.007349165637000001,0.2735834362999999,0.3164623834006837
해당없음 × 일반 비서,4126,0.004126,0.007347816795000002,-0.32218167950000015,-0.5770948197582654
해당없음 × 하역 및 적재 관련,8983,0.008983,0.006177696360000001,0.28053036399999987,0.37438845755028827
해당없음 × 한식 조리사,7740,0.00774,0.005777090286000003,0.19629097139999976,0.2925015423977139
해당없음 × 그 외 일반 영업원,5434,0.005434,0.005529577779000001,-0.009557777900000113,-0.017435950620627
해당없음 × 주방 보조원,7452,0.007452,0.005086483182,0.2365516818,0.38189578789243445
해당없음 × 지게차 운전원,6991,0.006991,0.004978575822000001,0.2012424177999999,0.33947973691129885
해당없음 × 회계 사무원,2724,0.002724,0.004889552250000001,-0.2165552250000001,-0.5849993465900599
해당없음 × 마케팅 전문가,1674,0.001674,0.004873366146000001,-0.31993661460000006,-1.0685689266689073
해당없음 × 산업 안전원,1033,0.001033,0.004455899547,-0.3422899547,-1.4617617689209894
해당없음 × 교육 및 훈련 사무,2557,0.002557,0.004139596098000001,-0.15825960980000012,-0.4817635258992374
해당없음 × 그 외 서비스 관련,5532,0.005532,0.004010781687000001,0.15212183129999987,0.32156325706731276
해당없음 × 경영 기획 사무원,562,0.000562,0.00400606074,-0.344406074,-1.9640618284737417
해당없음 × 그 외 상점 판매원,4948,0.004948,0.003845548542000001,0.1102451457999999,0.25206719802901884
해당없음 × 기타,263384,0.263384,0.30246905102700006,-3.908505102700005,-0.13836591823349043
공학·제조·건설 × 무직,15784,0.015784,0.024932343978999995,-0.9148343978999995,-0.45716914681810505
공학·제조·건설 × 건물 청소원,7,7e-06,0.0012388493629999996,-0.12318493629999995,-5.176028145682846
