cell,n,p_obs,p_indep,diff_pp,pmi
해당없음 × 경기,172824,0.172824,0.17680216283400005,-0.3978162834000043,-0.022757647738024557
해당없음 × 서울,103512,0.103512,0.12492165298800004,-2.140965298800003,-0.1879992166863978
해당없음 × 부산,44891,0.044891,0.044029574985000014,0.08614250149999864,0.019375762351294838
해당없음 × 경상남,46602,0.046602,0.04209466113600001,0.4507338863999989,0.10172253989052223
해당없음 × 인천,43341,0.043341,0.039784769211000014,0.3556230788999984,0.08561491330754431
해당없음 × 경상북,39476,0.039476,0.033922027458,0.5553972541999997,0.15162831141524324
해당없음 × 대구,32501,0.032501,0.03165327521400001,0.08477247859999953,0.026429232581952317
해당없음 × 충청남,31375,0.031375,0.02795879697600001,0.3416203023999989,0.11527950762145117
해당없음 × 전라남,27162,0.027162,0.023194012611000004,0.39679873889999945,0.1579247694293096
해당없음 × 전북,24645,0.024645,0.023057105148000006,0.15878948519999941,0.06660006884282713
해당없음 × 충청북,22393,0.022393,0.021106679616000004,0.12863203839999954,0.059158850159545015
해당없음 × 강원,21946,0.021946,0.020367514200000002,0.1578485799999998,0.07464370017704108
해당없음 × 대전,17923,0.017923,0.019319463966000008,-0.1396463966000006,-0.07502827911895557
해당없음 × 광주,17754,0.017754,0.018609973074000002,-0.08559730740000035,-0.04708678115045656
해당없음 × 울산,15845,0.015845,0.014376632457000006,0.14683675429999957,0.09724985068108408
해당없음 × 제주,8748,0.008748,0.008546937333000004,0.0201062666999997,0.02325209070385177
해당없음 × 세종,3483,0.003483,0.004675760793000002,-0.11927607930000017,-0.29449789458723175
공학·제조·건설 × 경기,19094,0.019094,0.017792654133999997,0.13013458660000032,0.07058846655850871
공학·제조·건설 × 서울,15430,0.01543,0.012571609587999999,0.2858390412000001,0.20487260201038707
공학·제조·건설 × 부산,4140,0.00414,0.004430958235,-0.029095823500000038,-0.06792007869815438
공학·제조·건설 × 경상남,3588,0.003588,0.0042362363359999995,-0.06482363359999994,-0.16608027424312627
공학·제조·건설 × 인천,3489,0.003489,0.004003778160999999,-0.051477816099999935,-0.13762329336780518
공학·제조·건설 × 경상북,2434,0.002434,0.0034137755579999986,-0.09797755579999987,-0.33828288599381484
공학·제조·건설 × 대구,2953,0.002953,0.0031854575139999993,-0.023245751399999938,-0.07577432241399279
공학·제조·건설 × 충청남,2403,0.002403,0.002813660176,-0.04106601759999999,-0.15776823274079765
공학·제조·건설 × 전라남,1510,0.00151,0.0023341515609999995,-0.08241515609999994,-0.43553881709036657
공학·제조·건설 × 전북,1993,0.001993,0.0023203737479999998,-0.032737374799999976,-0.15208722974848907
공학·제조·건설 × 충청북,2021,0.002021,0.0021240908159999993,-0.010309081599999947,-0.049751421106297974
공학·제조·건설 × 강원,1719,0.001719,0.0020497041999999995,-0.03307041999999995,-0.17595276365548676
공학·제조·건설 × 대전,2280,0.00228,0.0019442326659999999,0.0335767334,0.15930805993330077
공학·제조·건설 × 광주,2063,0.002063,0.0018728323739999994,0.019016762600000073,0.0967093106278981
공학·제조·건설 × 울산,1284,0.001284,0.001446806107,-0.016280610699999993,-0.11937823685866335
공학·제조·건설 × 제주,746,0.000746,0.000860129183,-0.011412918299999995,-0.14235699055367862
공학·제조·건설 × 세종,724,0.000724,0.000470549643,0.025345035700000004,0.4308899277678506
경영·행정·법 × 경기,15021,0.015021,0.014395662601999997,0.0625337398000003,0.04252226900070647
경영·행정·법 × 서울,14124,0.014124,0.010171425163999999,0.39525748360000007,0.32829314370357937
경영·행정·법 × 부산,3390,0.00339,0.0035849952049999997,-0.019499520499999992,-0.05592721514089649
경영·행정·법 × 경상남,2657,0.002657,0.0034274498079999993,-0.07704498079999993,-0.2546188216598776
경영·행정·법 × 인천,2494,0.002494,0.0032393727829999994,-0.07453727829999993,-0.2614918783124756
경영·행정·법 × 경상북,1822,0.001822,0.002762014073999999,-0.09400140739999989,-0.4160253517192618
