cell,n,p_obs,p_indep,diff_pp,pmi
경기-화성시 × 경기,17672,0.017672,0.004632785488,1.3039214512,1.3388231616401796
경기-화성시 × 서울,0,0.0,0.003273349216,-0.3273349216,
경기-화성시 × 부산,0,0.0,0.00115371652,-0.115371652,
경기-화성시 × 경상남,0,0.0,0.001103015552,-0.11030155519999998,
경기-화성시 × 인천,0,0.0,0.0010424889520000002,-0.10424889520000001,
경기-화성시 × 경상북,0,0.0,0.000888866256,-0.0888866256,
경기-화성시 × 대구,0,0.0,0.0008294176480000001,-0.08294176480000001,
경기-화성시 × 충청남,0,0.0,0.000732610432,-0.0732610432,
경기-화성시 × 전라남,0,0.0,0.0006077577519999999,-0.06077577519999999,
경기-화성시 × 전북,0,0.0,0.0006041703360000001,-0.06041703360000001,
경기-화성시 × 충청북,0,0.0,0.0005530629119999999,-0.055306291199999996,
경기-화성시 × 강원,0,0.0,0.0005336944000000001,-0.053369440000000004,
경기-화성시 × 대전,0,0.0,0.000506232112,-0.0506232112,
경기-화성시 × 광주,0,0.0,0.000487641168,-0.0487641168,
경기-화성시 × 울산,0,0.0,0.000376714024,-0.0376714024,
경기-화성시 × 제주,0,0.0,0.000223957256,-0.0223957256,
경기-화성시 × 세종,0,0.0,0.000122519976,-0.0122519976,
경기-남양주시 × 경기,13851,0.013851,0.003631095054,1.0219904946,1.3388231616401796
경기-남양주시 × 서울,0,0.0,0.002565593028,-0.2565593028,
경기-남양주시 × 부산,0,0.0,0.000904262535,-0.0904262535,
경기-남양주시 × 경상남,0,0.0,0.000864524016,-0.0864524016,
경기-남양주시 × 인천,0,0.0,0.0008170843410000001,-0.0817084341,
경기-남양주시 × 경상북,0,0.0,0.000696677598,-0.0696677598,
경기-남양주시 × 대구,0,0.0,0.0006500828340000001,-0.0650082834,
경기-남양주시 × 충청남,0,0.0,0.000574207056,-0.0574207056,
경기-남양주시 × 전라남,0,0.0,0.000476349741,-0.0476349741,
경기-남양주시 × 전북,0,0.0,0.00047353798800000007,-0.047353798800000006,
