cell,n,p_obs,p_indep,diff_pp,pmi
무학 × 해당없음,26315,0.026315,0.017747388615,0.8567611385,0.3939007339892578
무학 × 공학·제조·건설,0,0.0,0.0017860253650000002,-0.17860253650000002,
무학 × 경영·행정·법,0,0.0,0.0014450355950000001,-0.14450355950000002,
무학 × 예술·인문,0,0.0,0.0012902507650000001,-0.1290250765,
무학 × 보건·복지,0,0.0,0.0009091043050000001,-0.0909104305,
무학 × 교육,0,0.0,0.00082886987,-0.082886987,
무학 × 정보통신기술,0,0.0,0.0007675822350000001,-0.07675822350000001,
무학 × 서비스,0,0.0,0.00048519597000000003,-0.048519597000000005,
무학 × 사회과학·언론,0,0.0,0.00045311798499999997,-0.0453117985,
무학 × 자연과학·수학,0,0.0,0.000446012935,-0.0446012935,
무학 × 농림어업·수의학,0,0.0,0.00015641636,-0.015641636,
초등학교 × 해당없음,81239,0.081239,0.05478928761900001,2.6449712380999997,0.3939007339892576
초등학교 × 공학·제조·건설,0,0.0,0.005513772169000001,-0.5513772169000001,
초등학교 × 경영·행정·법,0,0.0,0.004461077207,-0.44610772070000004,
초등학교 × 예술·인문,0,0.0,0.003983229409000001,-0.3983229409000001,
초등학교 × 보건·복지,0,0.0,0.0028065637330000003,-0.28065637330000004,
초등학교 × 교육,0,0.0,0.002558866022,-0.2558866022,
초등학교 × 정보통신기술,0,0.0,0.002369660391,-0.23696603910000003,
초등학교 × 서비스,0,0.0,0.001497884682,-0.1497884682,
초등학교 × 사회과학·언론,0,0.0,0.0013988543409999999,-0.13988543409999998,
초등학교 × 자연과학·수학,0,0.0,0.001376919811,-0.1376919811,
초등학교 × 농림어업·수의학,0,0.0,0.000482884616,-0.048288461600000006,
중학교 × 해당없음,85255,0.085255,0.057497762355,2.7757237644999995,0.3939007339892578
중학교 × 공학·제조·건설,0,0.0,0.005786342105,-0.5786342105,
중학교 × 경영·행정·법,0,0.0,0.004681607815,-0.46816078149999996,
중학교 × 예술·인문,0,0.0,0.004180137905000001,-0.4180137905000001,
