cell,n,p_obs,p_indep,diff_pp,pmi
무학 × 경기-화성시,196,0.000196,0.00046503867999999997,-0.026903867999999997,-0.864005925693041
무학 × 경기-남양주시,261,0.000261,0.00036448906499999997,-0.010348906499999998,-0.3339761436760104
무학 × 서울-송파구,104,0.000104,0.00032838488499999997,-0.0224384885,-1.149795451190087
무학 × 인천-서구,179,0.000179,0.000308859155,-0.012985915500000002,-0.5454995580829742
무학 × 경기-평택시,176,0.000176,0.00029146494,-0.011546494000000001,-0.5044357290763058
무학 × 서울-강서구,144,0.000144,0.00028978078,-0.014578077999999998,-0.6993114065101025
무학 × 대구-달서구,188,0.000188,0.00027938635499999995,-0.009138635499999995,-0.396153646007229
무학 × 서울-강남구,48,4.8e-05,0.00027222867499999997,-0.022422867499999995,-1.7354414190953575
무학 × 서울-관악구,126,0.000126,0.00026746565999999995,-0.014146565999999996,-0.7527092773121818
무학 × 경상남-김해시,207,0.000207,0.00026436049,-0.005736049,-0.2445948708682262
무학 × 인천-부평구,208,0.000208,0.000259755365,-0.0051755364999999985,-0.2222022045401752
무학 × 경기-시흥시,120,0.00012,0.0002588080249999999,-0.013880802499999994,-0.7685948278647183
무학 × 서울-노원구,139,0.000139,0.00025804489000000005,-0.011904489000000006,-0.6186596289040923
무학 × 인천-남동구,206,0.000206,0.00025309766999999996,-0.004709766999999997,-0.20589929287163203
무학 × 경기-고양시 덕양구,147,0.000147,0.00025191349499999996,-0.010491349499999997,-0.538653167991222
무학 × 경기-파주시,178,0.000178,0.00024746625999999994,-0.006946625999999996,-0.32949069919148005
무학 × 제주-제주시,233,0.000233,0.000244755815,-0.0011755814999999982,-0.04922258650037155
무학 × 서울-은평구,132,0.000132,0.00023975596500000002,-0.010775596500000002,-0.5968196709510929
무학 × 대전-서구,129,0.000129,0.00023872968,-0.010972968,-0.6155194614294663
무학 × 경기-의정부시,180,0.00018,0.00023712446499999997,-0.005712446499999996,-0.27562832116843206
무학 × 서울-강동구,85,8.5e-05,0.00023672974,-0.015172973999999999,-1.0242678964124952
무학 × 경기-김포시,105,0.000105,0.000233492995,-0.0128492995,-0.7991917265014196
무학 × 경기-성남시 분당구,74,7.4e-05,0.000229703635,-0.0155703635,-1.1327248413547852
무학 × 광주-북구,178,0.000178,0.00022333540499999997,-0.004533540499999998,-0.22689114950119685
무학 × 서울-성북구,135,0.000135,0.0002215723,-0.00865723,-0.4954741686215482
무학 × 기타,22437,0.022437,0.019549255609999996,0.2887744390000002,0.13777417238601683
초등학교 × 경기-화성시,796,0.000796,0.001435655608,-0.0639655608,-0.589777707702571
초등학교 × 경기-남양주시,889,0.000889,0.001125241389,-0.023624138900000008,-0.23565562410819502
초등학교 × 서울-송파구,459,0.000459,0.001013781481,-0.05547814810000001,-0.7923924488943103
초등학교 × 인천-서구,648,0.000648,0.0009535021430000001,-0.03055021430000001,-0.3862509761948502
초등학교 × 경기-평택시,647,0.000647,0.0008998031640000001,-0.025280316400000013,-0.3298297382369529
초등학교 × 서울-강서구,601,0.000601,0.0008946038680000001,-0.029360386800000013,-0.3977860801742915
초등학교 × 대구-달서구,870,0.00087,0.000862514463,0.0007485537000000023,0.008641294188055398
초등학교 × 서울-강남구,285,0.000285,0.000840417455,-0.0555417455,-1.0814095583579937
초등학교 × 서울-관악구,674,0.000674,0.000825713196,-0.015171319600000002,-0.2030173819747486
초등학교 × 경상남-김해시,640,0.00064,0.000816126994,-0.01761269939999999,-0.24310179640327334
초등학교 × 인천-부평구,753,0.000753,0.0008019101690000001,-0.0048910169000000074,-0.06293136506499547
초등학교 × 경기-시흥시,527,0.000527,0.0007989855649999999,-0.027198556499999988,-0.41614233072879786
초등학교 × 서울-노원구,703,0.000703,0.0007966296340000003,-0.009362963400000032,-0.12503297884751496
초등학교 × 인천-남동구,641,0.000641,0.000781356702,-0.014035670200000003,-0.1980023133639389
초등학교 × 경기-고양시 덕양구,543,0.000543,0.000777700947,-0.023470094700000003,-0.35923274345941875
초등학교 × 경기-파주시,598,0.000598,0.000763971556,-0.016597155599999996,-0.24493980415632927
초등학교 × 제주-제주시,610,0.00061,0.000755603939,-0.014560393900000005,-0.21405839152211104
초등학교 × 서울-은평구,670,0.00067,0.0007401685290000001,-0.0070168529000000065,-0.09960018977584768
초등학교 × 대전-서구,607,0.000607,0.0007370002080000001,-0.013000020800000005,-0.194059383355036
초등학교 × 경기-의정부시,659,0.000659,0.000732044629,-0.007304462900000006,-0.10511794617953113
초등학교 × 서울-강동구,523,0.000523,0.0007308260440000001,-0.02078260440000001,-0.33459399746128443
초등학교 × 경기-김포시,437,0.000437,0.0007208336470000001,-0.028383364700000007,-0.5004751901867487
초등학교 × 경기-성남시 분당구,261,0.000261,0.0007091352310000001,-0.04481352310000001,-0.9995258358596574
초등학교 × 광주-북구,644,0.000644,0.000689475393,-0.004547539299999995,-0.06823228231232407
초등학교 × 서울-성북구,593,0.000593,0.0006840323800000001,-0.009103238000000012,-0.142810856685648
초등학교 × 기타,65961,0.065961,0.060351965666,0.5609034334000007,0.08887014016491333
중학교 × 경기-화성시,1026,0.001026,0.00150662636,-0.04806263599999999,-0.38420520585721607
중학교 × 경기-남양주시,1146,0.001146,0.001180867005,-0.003486700499999982,-0.0299713003883915
중학교 × 서울-송파구,469,0.000469,0.001063897145,-0.05948971449999999,-0.8190912285495527
중학교 × 인천-서구,894,0.000894,0.0010006379350000001,-0.010663793500000008,-0.11268723541458776
중학교 × 경기-평택시,783,0.000783,0.00094428438,-0.016128438000000002,-0.18729467478802725
중학교 × 서울-강서구,734,0.000734,0.00093882806,-0.02048280600000001,-0.24612332413596033
중학교 × 대구-달서구,1055,0.001055,0.000905152335,0.0149847665,0.15319279040861586
