cell,n,p_obs,p_indep,diff_pp,pmi
배우자·자녀와 거주 × 해당없음,169731,0.169731,0.182333089455,-1.260208945500002,-0.07162034534539621
배우자·자녀와 거주 × 공학·제조·건설,20374,0.020374,0.018349264204999997,0.2024735795000003,0.10467010229139811
배우자·자녀와 거주 × 경영·행정·법,16785,0.016785,0.014846004115000002,0.19389958849999994,0.12275488455764326
배우자·자녀와 거주 × 예술·인문,15454,0.015454,0.013255776005,0.2198223995,0.15343448716115818
배우자·자녀와 거주 × 보건·복지,10673,0.010673,0.009339954185,0.13330458149999996,0.13341584094936004
배우자·자녀와 거주 × 교육,10129,0.010129,0.00851564179,0.16133582100000005,0.17349791373330697
배우자·자녀와 거주 × 정보통신기술,8982,0.008982,0.007885984995000001,0.10960150049999992,0.13013544195095217
배우자·자녀와 거주 × 서비스,5733,0.005733,0.004984805490000001,0.07481945099999995,0.1398445703308786
배우자·자녀와 거주 × 사회과학·언론,5396,0.005396,0.004655242745,0.07407572550000002,0.14766388182249637
배우자·자녀와 거주 × 자연과학·수학,5325,0.005325,0.004582246895,0.07427531049999997,0.15022324534060708
배우자·자녀와 거주 × 농림어업·수의학,1773,0.001773,0.0016069901200000002,0.01660098799999999,0.09831008845764845
배우자와 거주 × 해당없음,160885,0.160885,0.13916070356100002,2.172429643899998,0.14506041800529676
배우자와 거주 × 공학·제조·건설,9743,0.009743,0.014004570010999999,-0.4261570010999999,-0.36283462726272603
배우자와 거주 × 경영·행정·법,7679,0.007679,0.011330803333000001,-0.3651803333000001,-0.38903564535540225
배우자와 거주 × 예술·인문,6629,0.006629,0.010117105571,-0.3488105571,-0.42277364892043306
배우자와 거주 × 보건·복지,4890,0.00489,0.007128462527000001,-0.2238462527000001,-0.376903273325141
배우자와 거주 × 교육,4229,0.004229,0.006499328818000001,-0.22703288180000006,-0.42973335431045545
배우자와 거주 × 정보통신기술,4102,0.004102,0.006018760629000001,-0.19167606290000014,-0.38340670289385903
배우자와 거주 × 서비스,2537,0.002537,0.0038045153580000012,-0.1267515358000001,-0.405206332807676
배우자와 거주 × 사회과학·언론,2399,0.002399,0.003552985679,-0.1153985679,-0.39273630249490926
배우자와 거주 × 자연과학·수학,2356,0.002356,0.003497273609,-0.11412736090000002,-0.39501843029499517
배우자와 거주 × 농림어업·수의학,892,0.000892,0.0012264909040000003,-0.03344909040000003,-0.318446314866004
혼자 거주 × 해당없음,94601,0.094601,0.09458080104000001,0.0020198959999995214,0.0002135402027648473
혼자 거주 × 공학·제조·건설,10098,0.010098,0.009518229039999998,0.057977096000000165,0.05912857814836982
혼자 거주 × 경영·행정·법,7870,0.00787,0.00770099912,0.016900087999999983,0.02170798614307931
혼자 거주 × 예술·인문,6644,0.006644,0.00687610744,-0.023210744000000047,-0.03433852101106326
혼자 거주 × 보건·복지,4612,0.004612,0.00484487128,-0.023287128000000056,-0.04925907498753305
혼자 거주 × 교육,4212,0.004212,0.00441727952,-0.020527952000000058,-0.04758641911150202
혼자 거주 × 정보통신기술,4154,0.004154,0.00409066056,0.006333943999999991,0.01536526232744875
혼자 거주 × 서비스,2532,0.002532,0.0025857451200000004,-0.00537451200000004,-0.021004209725315026
혼자 거주 × 사회과학·언론,2390,0.00239,0.0024147925599999997,-0.002479255999999954,-0.010320020991471343
혼자 거주 × 자연과학·수학,2291,0.002291,0.00237692776,-0.008592775999999996,-0.03682039319540089
혼자 거주 × 농림어업·수의학,836,0.000836,0.0008335865600000001,0.00024134399999999143,0.0028910650562644687
부모와 동거 × 해당없음,50197,0.050197,0.06208247631299999,-1.1885476312999992,-0.21250850018616463
부모와 동거 × 공학·제조·건설,8766,0.008766,0.006247729162999998,0.2518270837000002,0.33866253819006886
부모와 동거 × 경영·행정·법,7097,0.007097,0.005054906388999999,0.20420936110000007,0.3393128257384188
부모와 동거 × 예술·인문,6322,0.006322,0.004513450642999999,0.1808549357000001,0.3369736435131201
부모와 동거 × 보건·복지,4326,0.004326,0.0031801549909999997,0.11458450090000004,0.307713392618327
부모와 동거 × 교육,3921,0.003921,0.002899485393999999,0.10215146060000009,0.3018134524087693
부모와 동거 × 정보통신기술,3924,0.003924,0.0026850939569999996,0.12389060430000008,0.3793958210584506
부모와 동거 × 서비스,2375,0.002375,0.001697273214,0.0677726786,0.33597446596116526
부모와 동거 × 사회과학·언론,2193,0.002193,0.0015850606069999994,0.060793939300000065,0.3246478249826662
부모와 동거 × 자연과학·수학,2174,0.002174,0.0015602062969999996,0.06137937030000005,0.3317507345140641
부모와 동거 × 농림어업·수의학,758,0.000758,0.0005471630319999999,0.02108369680000001,0.32593658009574017
기타2세대 × 해당없음,28383,0.028383,0.026786653278,0.1596346722,0.057886622937701825
기타2세대 × 공학·제조·건설,2479,0.002479,0.002695700377999999,-0.021670037799999917,-0.08380279806429446
기타2세대 × 경영·행정·법,2005,0.002005,0.002181034534,-0.01760345340000003,-0.08415526035669404
기타2세대 × 예술·인문,1586,0.001586,0.0019474132579999997,-0.03614132579999997,-0.2052868343784491
기타2세대 × 보건·복지,1172,0.001172,0.0013721377459999999,-0.020013774599999982,-0.1576582310685183
기타2세대 × 교육,1022,0.001022,0.001251037564,-0.0229037564,-0.20221176643071206
기타2세대 × 정보통신기술,1019,0.001019,0.0011585343419999998,-0.01395343419999999,-0.12833395371487777
기타2세대 × 서비스,634,0.000634,0.0007323204840000001,-0.009832048400000007,-0.1441692833811497
기타2세대 × 사회과학·언론,596,0.000596,0.0006839042419999998,-0.008790424199999987,-0.1375772436806718
기타2세대 × 자연과학·수학,619,0.000619,0.0006731803819999999,-0.0054180381999999905,-0.083908047793294
기타2세대 × 농림어업·수의학,203,0.000203,0.000236083792,-0.0033083792000000002,-0.15098081381564366
어머니와 동거 × 해당없음,20140,0.02014,0.025255043187000007,-0.5115043187000006,-0.226317978665754
어머니와 동거 × 공학·제조·건설,3779,0.003779,0.002541565337,0.1237434663,0.39667925874654864
어머니와 동거 × 경영·행정·법,2998,0.002998,0.0020563271110000006,0.09416728889999992,0.3770239640617242
어머니와 동거 × 예술·인문,2594,0.002594,0.0018360638570000002,0.07579361429999998,0.3455770137996916
어머니와 동거 × 보건·복지,1765,0.001765,0.0012936815090000004,0.04713184909999996,0.3106586536584655
어머니와 동거 × 교육,1574,0.001574,0.0011795056060000001,0.039449439399999994,0.28852477727953163
어머니와 동거 × 정보통신기술,1605,0.001605,0.0010922915430000002,0.051270845699999984,0.38484593412305845
어머니와 동거 × 서비스,931,0.000931,0.0006904477860000003,0.02405522139999997,0.2989189249552361
어머니와 동거 × 사회과학·언론,839,0.000839,0.0006447998930000001,0.019420010699999997,0.2632706812177294
어머니와 동거 × 자연과학·수학,900,0.0009,0.0006346892030000001,0.02653107969999999,0.3492593283429653
어머니와 동거 × 농림어업·수의학,322,0.000322,0.00022258496800000007,0.009941503199999995,0.3692426381835221
자녀와 거주 (한부 × 해당없음,24999,0.024999,0.022092683117999994,0.2906316882000007,0.12358935099724973
자녀와 거주 (한부 × 공학·제조·건설,1128,0.001128,0.002223318217999999,-0.10953182179999987,-0.6785546196596953
자녀와 거주 (한부 × 경영·행정·법,1236,0.001236,0.0017988400539999995,-0.056284005399999955,-0.3752616836979421
자녀와 거주 (한부 × 예술·인문,1381,0.001381,0.0016061574979999993,-0.022515749799999922,-0.15103680478216477
자녀와 거주 (한부 × 보건·복지,1084,0.001084,0.0011316906259999998,-0.004769062599999986,-0.04305474082409969
자녀와 거주 (한부 × 교육,963,0.000963,0.0010318114839999997,-0.006881148399999969,-0.06901784701445092
자녀와 거주 (한부 × 정보통신기술,519,0.000519,0.0009555181019999996,-0.04365181019999996,-0.6103498253899283
자녀와 거주 (한부 × 서비스,485,0.000485,0.0006039920039999999,-0.011899200399999988,-0.2194120684991069
자녀와 거주 (한부 × 사회과학·언론,462,0.000462,0.0005640600019999998,-0.010206000199999978,-0.19959574128249732
자녀와 거주 (한부 × 자연과학·수학,386,0.000386,0.0005552153419999998,-0.016921534199999977,-0.36351867263127396
자녀와 거주 (한부 × 농림어업·수의학,115,0.000115,0.00019471355199999994,-0.007971355199999993,-0.5265973861123954
기타3세대 × 해당없음,20589,0.020589,0.019399720065000004,0.11892799349999955,0.05949831626860822
기타3세대 × 공학·제조·건설,1639,0.001639,0.0019523093149999998,-0.03133093149999997,-0.17492663622893936
기타3세대 × 경영·행정·법,1332,0.001332,0.0015795724450000002,-0.02475724450000001,-0.17047263387031303
기타3세대 × 예술·인문,1277,0.001277,0.001410376715,-0.013337671500000012,-0.09934326541398714
기타3세대 × 보건·복지,918,0.000918,0.000993744455,-0.007574445500000012,-0.07928269545826996
기타3세대 × 교육,848,0.000848,0.00090603997,-0.005803996999999999,-0.06620278627574261
기타3세대 × 정보통신기술,739,0.000739,0.000839046285,-0.010004628500000006,-0.1269679508626848
기타3세대 × 서비스,466,0.000466,0.0005303690700000001,-0.006436907000000009,-0.12938748856601368
기타3세대 × 사회과학·언론,441,0.000441,0.0004953045349999999,-0.0054304534999999945,-0.11612792017245949
기타3세대 × 자연과학·수학,377,0.000377,0.000487537985,-0.011053798499999998,-0.2571230179031633
기타3세대 × 농림어업·수의학,139,0.000139,0.00017097916000000002,-0.0031979160000000025,-0.20706774460002322
혼자 거주 (배우자 × 해당없음,17280,0.01728,0.015948707808,0.13312921920000004,0.08017195259937618
혼자 거주 (배우자 × 공학·제조·건설,1605,0.001605,0.0016050134079999996,-1.3407999999550183e-06,-8.353859187145353e-06
혼자 거주 (배우자 × 경영·행정·법,1082,0.001082,0.001298582624,-0.0216582624,-0.182462200014755
혼자 거주 (배우자 × 예술·인문,815,0.000815,0.001159485088,-0.03444850879999999,-0.3525431826561981
혼자 거주 (배우자 × 보건·복지,564,0.000564,0.000816967456,-0.02529674559999999,-0.3705450090312357
혼자 거주 (배우자 × 교육,534,0.000534,0.0007448647039999999,-0.021086470399999994,-0.33280675755798533
혼자 거주 (배우자 × 정보통신기술,598,0.000598,0.000689788512,-0.0091788512,-0.1427942923107892
혼자 거주 (배우자 × 서비스,346,0.000346,0.00043602182400000005,-0.009002182400000005,-0.23125352208446964
혼자 거주 (배우자 × 사회과학·언론,320,0.00032,0.0004071949119999999,-0.00871949119999999,-0.24097097427606762
혼자 거주 (배우자 × 자연과학·수학,355,0.000355,0.00040080995199999995,-0.004580995199999995,-0.12136959032629265
혼자 거주 (배우자 × 농림어업·수의학,149,0.000149,0.00014056371200000002,0.0008436287999999973,0.05828545376420957
자녀와 거주 (배우 × 해당없음,10499,0.010499,0.01014329184,0.03557081599999991,0.03446743000036811
자녀와 거주 (배우 × 공학·제조·건설,591,0.000591,0.0010207798399999998,-0.04297798399999997,-0.5465061457731076
자녀와 거주 (배우 × 경영·행정·법,691,0.000691,0.00082589152,-0.013489152000000003,-0.17832360940941452
자녀와 거주 (배우 × 예술·인문,874,0.000874,0.0007374262399999999,0.013657376000000008,0.16991430600257218
자녀와 거주 (배우 × 보건·복지,672,0.000672,0.00051958688,0.015241311999999996,0.25722430623795217
자녀와 거주 (배우 × 교육,571,0.000571,0.00047372991999999995,0.009727008000000006,0.1867518393819277
자녀와 거주 (배우 × 정보통신기술,274,0.000274,0.00043870176,-0.016470176,-0.47069171362925327
자녀와 거주 (배우 × 서비스,301,0.000301,0.00027730752000000006,0.002369247999999994,0.08198319385077914
자녀와 거주 (배우 × 사회과학·언론,253,0.000253,0.00025897375999999996,-0.0005973759999999937,-0.023337255098222105
자녀와 거주 (배우 × 자연과학·수학,250,0.00025,0.00025491296,-0.0004912959999999996,-0.01946123569536468
자녀와 거주 (배우 × 농림어업·수의학,64,6.4e-05,8.939776000000001e-05,-0.0025397760000000014,-0.3342125425774802
배우자·자녀·어머니 × 해당없음,9034,0.009034,0.009464824314000003,-0.04308243140000029,-0.04658698560842704
배우자·자녀·어머니 × 공학·제조·건설,947,0.000947,0.0009525016140000001,-0.0005501614000000027,-0.005792708301531141
배우자·자녀·어머니 × 경영·행정·법,874,0.000874,0.0007706490420000003,0.010335095799999975,0.12584730417004758
배우자·자녀·어머니 × 예술·인문,774,0.000774,0.0006881010540000001,0.008589894599999984,0.11763616562836028
배우자·자녀·어머니 × 보건·복지,535,0.000535,0.00048483259800000014,0.005016740199999986,0.09846307430240572
배우자·자녀·어머니 × 교육,514,0.000514,0.0004420429320000001,0.007195706799999993,0.15081625687267913
배우자·자녀·어머니 × 정보통신기술,417,0.000417,0.0004093577460000001,0.0007642253999999885,0.018496763473074454
배우자·자녀·어머니 × 서비스,310,0.00031,0.0002587588920000001,0.005124110799999988,0.18067558827269192
배우자·자녀·어머니 × 사회과학·언론,273,0.000273,0.00024165144600000001,0.0031348554000000008,0.12197541305081394
배우자·자녀·어머니 × 자연과학·수학,276,0.000276,0.00023786226600000003,0.0038137733999999957,0.14870907385113558
배우자·자녀·어머니 × 농림어업·수의학,80,8e-05,8.341809600000003e-05,-0.0003418096000000023,-0.04183862957167366
친인척과 거주 × 해당없음,12326,0.012326,0.008985985404000002,0.33400145959999983,0.3160446661978758
친인척과 거주 × 공학·제조·건설,190,0.00019,0.0009043132039999998,-0.07143132039999998,-1.5601516928284591
친인척과 거주 × 경영·행정·법,162,0.000162,0.0007316608120000001,-0.056966081200000004,-1.50772069975444
친인척과 거주 × 예술·인문,142,0.000142,0.000653289044,-0.0511289044,-1.526192613861442
친인척과 거주 × 보건·복지,148,0.000148,0.00046030422800000004,-0.031230422800000008,-1.1346753623308217
친인척과 거주 × 교육,88,8.8e-05,0.000419679352,-0.0331679352,-1.5621541576056157
친인척과 거주 × 정보통신기술,84,8.4e-05,0.000388647756,-0.030464775600000004,-1.5318566229837494
친인척과 거주 × 서비스,61,6.1e-05,0.0002456679120000001,-0.01846679120000001,-1.3931068085345248
친인척과 거주 × 사회과학·언론,49,4.9e-05,0.00022942595599999998,-0.0180425956,-1.5437600475248554
친인척과 거주 × 자연과학·수학,47,4.7e-05,0.000225828476,-0.017882847599999998,-1.569628153657292
친인척과 거주 × 농림어업·수의학,27,2.7e-05,7.919785600000002e-05,-0.005219785600000001,-1.0761123617425625
비친족 동거 × 해당없음,7447,0.007447,0.008629891116,-0.11828911160000005,-0.1474206213695053
비친족 동거 × 공학·제조·건설,1264,0.001264,0.0008684773159999997,0.03955226840000002,0.375295107962019
