cell,n,p_obs,p_indep,diff_pp,pmi
배우자·자녀와 거주 × 경기-화성시,5204,0.005204,0.004777713560000001,0.042628643999999966,0.0854654633134783
배우자·자녀와 거주 × 경기-남양주시,4627,0.004627,0.003744687105,0.0882312895,0.21157064651293667
배우자·자녀와 거주 × 서울-송파구,3671,0.003671,0.0033737600449999998,0.029723995500000003,0.0844362417700156
배우자·자녀와 거주 × 인천-서구,2154,0.002154,0.0031731566350000004,-0.10191566350000003,-0.38740029760275446
배우자·자녀와 거주 × 경기-평택시,3654,0.003654,0.0029944519800000004,0.06595480199999998,0.19906122142813518
배우자·자녀와 거주 × 서울-강서구,2916,0.002916,0.00297714926,-0.006114925999999975,-0.020753404352913396
배우자·자녀와 거주 × 대구-달서구,2905,0.002905,0.002870359035,0.003464096499999989,0.011996269053474243
배우자·자녀와 거주 × 서울-강남구,2912,0.002912,0.0027968224750000003,0.01151775249999998,0.04035618791796869
배우자·자녀와 거주 × 서울-관악구,2476,0.002476,0.00274788822,-0.02718882200000001,-0.10418834185453238
배우자·자녀와 거주 × 경상남-김해시,2412,0.002412,0.00271598633,-0.030398633,-0.11869889768187822
배우자·자녀와 거주 × 인천-부평구,3396,0.003396,0.0026686742050000003,0.07273257949999999,0.2410164717943856
배우자·자녀와 거주 × 경기-시흥시,3171,0.003171,0.002658941425,0.0512058575,0.1761189124962236
배우자·자녀와 거주 × 서울-노원구,2813,0.002813,0.00265110113,0.016189887000000014,0.059276455059713976
배우자·자녀와 거주 × 인천-남동구,2666,0.002666,0.0026002743900000003,0.006572560999999972,0.024962247682081676
배우자·자녀와 거주 × 경기-고양시 덕양구,3177,0.003177,0.0025881084150000005,0.05888915849999996,0.20501008810419838
배우자·자녀와 거주 × 경기-파주시,2470,0.00247,0.00254241842,-0.007241841999999993,-0.028897611256901507
배우자·자녀와 거주 × 제주-제주시,2235,0.002235,0.0025145718550000002,-0.027957185500000023,-0.11786132441376218
배우자·자녀와 거주 × 서울-은평구,2196,0.002196,0.002463204405,-0.02672044050000002,-0.11482558230340162
배우자·자녀와 거주 × 대전-서구,2359,0.002359,0.00245266056,-0.009366056000000011,-0.038935577778822686
배우자·자녀와 거주 × 경기-의정부시,2811,0.002811,0.002436168905,0.0374831095,0.14311360745253016
배우자·자녀와 거주 × 서울-강동구,2760,0.00276,0.0024321135800000004,0.03278864199999995,0.12647001441302494
배우자·자녀와 거주 × 경기-김포시,3225,0.003225,0.0023988599150000004,0.08261400849999996,0.29593936117557057
