cell,n,p_obs,p_indep,diff_pp,pmi
배우자·자녀와 거주 × 무학,1436,0.001436,0.007114391825000002,-0.5678391825000002,-1.6002582793986744
배우자·자녀와 거주 × 초등학교,7780,0.00778,0.021963369845,-1.4183369845000002,-1.0378197204578021
배우자·자녀와 거주 × 중학교,16963,0.016963,0.023049115525,-0.6086115525000001,-0.30659289517549354
배우자·자녀와 거주 × 고등학교,100377,0.100377,0.08958942883500001,1.078757116499998,0.11369576608036082
배우자·자녀와 거주 × 2~3년제 전문대학,43175,0.043175,0.040616783425000004,0.2558216574999994,0.06108025799281638
배우자·자녀와 거주 × 4년제 대학교,80962,0.080962,0.07333541588,0.7626584120000002,0.09893625314667752
배우자·자녀와 거주 × 대학원,19662,0.019662,0.014686494664999999,0.4975505335,0.291759497723475
배우자와 거주 × 무학,6118,0.006118,0.005429863415000001,0.06881365849999987,0.1193212658745513
배우자와 거주 × 초등학교,30338,0.030338,0.016762936499,1.3575063501,0.5932307636919246
배우자와 거주 × 중학교,31148,0.031148,0.017591601955,1.3556398044999998,0.5713284111962066
배우자와 거주 × 고등학교,76949,0.076949,0.06837666155700002,0.8572338442999983,0.11811130365114245
배우자와 거주 × 2~3년제 전문대학,16332,0.016332,0.030999640135000006,-1.4667640135000006,-0.6408492224120503
배우자와 거주 × 4년제 대학교,36623,0.036623,0.055971234296000004,-1.9348234296000002,-0.4241614271364612
배우자와 거주 × 대학원,8833,0.008833,0.011209062143000001,-0.23760621430000006,-0.23822786328771617
혼자 거주 × 무학,7391,0.007391,0.003690415600000001,0.37005843999999993,0.6945239633661652
혼자 거주 × 초등학교,16526,0.016526,0.011392957359999999,0.513304264,0.3719395092190126
혼자 거주 × 중학교,11570,0.01157,0.0119561612,-0.03861612000000004,-0.03283118589537171
혼자 거주 × 고등학교,38851,0.038851,0.04647231048000001,-0.7621310480000011,-0.1791228451720085
혼자 거주 × 2~3년제 전문대학,20263,0.020263,0.0210689564,-0.08059564000000019,-0.03900413356861144
혼자 거주 × 4년제 대학교,38696,0.038696,0.03804094144,0.06550585599999978,0.017073249464141942
혼자 거주 × 대학원,6943,0.006943,0.0076182575199999995,-0.06752575199999991,-0.09281371386199887
부모와 동거 × 무학,223,0.000223,0.0024223746950000004,-0.21993746950000004,-2.3853318454767973
부모와 동거 × 초등학교,251,0.000251,0.007478293666999999,-0.7227293666999999,-3.3943069864285276
부모와 동거 × 중학교,1858,0.001858,0.007847978515,-0.5989978515,-1.4407553442275047
부모와 동거 × 고등학교,21765,0.021765,0.030504246981000002,-0.8739246981000003,-0.3375627441940697
부모와 동거 × 2~3년제 전문대학,26100,0.0261,0.013829582455,1.2270417545000003,0.6351253603586499
부모와 동거 × 4년제 대학교,37637,0.037637,0.024969928568,1.2667071431999997,0.4103153655218273
부모와 동거 × 대학원,4219,0.004219,0.005000595118999999,-0.07815951189999995,-0.16995879600912822
기타2세대 × 무학,2478,0.002478,0.0010451791700000002,0.143282083,0.8632634579413724
기타2세대 × 초등학교,4841,0.004841,0.003226650602,0.16143493979999998,0.4056766770685834
기타2세대 × 중학교,3491,0.003491,0.0033861580900000003,0.010484190999999988,0.030492256192948073
기타2세대 × 고등학교,12597,0.012597,0.013161631686000002,-0.056463168600000106,-0.043847216138963994
기타2세대 × 2~3년제 전문대학,4976,0.004976,0.005967033730000001,-0.09910337300000002,-0.18162358584391902
기타2세대 × 4년제 대학교,9352,0.009352,0.010773745808000001,-0.14217458080000023,-0.14152200671576684
기타2세대 × 대학원,1983,0.001983,0.0021576009140000002,-0.017460091400000027,-0.08438606692447038
어머니와 동거 × 무학,101,0.000101,0.000985417805,-0.0884417805,-2.277945201909911
어머니와 동거 × 초등학교,167,0.000167,0.003042156832999999,-0.2875156832999999,-2.9023282149578105
어머니와 동거 × 중학교,792,0.000792,0.0031925439849999995,-0.2400543985,-1.394011973601117
어머니와 동거 × 고등학교,9654,0.009654,0.012409074519,-0.2755074519000001,-0.25105568377428367
