cell,n,p_obs,p_indep,diff_pp,pmi
배우자·자녀와 거주 × 아파트,171757,0.171757,0.16777041738,0.39865826199999843,0.023484205596129737
배우자·자녀와 거주 × 단독주택,39849,0.039849,0.04573135931500001,-0.5882359315000009,-0.13768695120744084
배우자·자녀와 거주 × 다세대주택,32576,0.032576,0.030920230995000002,0.16557690049999985,0.05216512650582352
배우자·자녀와 거주 × 주택 이외의 거처,16753,0.016753,0.01629267372,0.04603262799999994,0.0278618049690374
배우자·자녀와 거주 × 연립주택,6879,0.006879,0.00696001912,-0.008101912000000027,-0.011708928925114716
배우자·자녀와 거주 × 비주거용 건물 내 ,2541,0.002541,0.00268029947,-0.013929947000000014,-0.05337082647931954
배우자와 거주 × 아파트,123917,0.123917,0.128046145596,-0.4129145596,-0.032778724770999426
배우자와 거주 × 단독주택,41534,0.041534,0.034903199173000006,0.6630800826999995,0.17393387706541702
배우자와 거주 × 다세대주택,21449,0.021449,0.023599013829,-0.21500138289999998,-0.0955269000110298
배우자와 거주 × 주택 이외의 거처,11794,0.011794,0.012434934024000002,-0.06409340240000008,-0.05291884399349921
배우자와 거주 × 연립주택,5401,0.005401,0.005312042704,0.00889572960000003,0.016607670312308677
배우자와 거주 × 비주거용 건물 내 ,2246,0.002246,0.002045664674,0.02003353260000003,0.09342809566945147
혼자 거주 × 아파트,85798,0.085798,0.08702677343999998,-0.12287734399999833,-0.014220115802861491
혼자 거주 × 단독주택,24324,0.024324,0.02372201672,0.060198327999999926,0.025059924820069083
혼자 거주 × 다세대주택,16424,0.016424,0.016039108559999998,0.03848914400000035,0.023713654882521015
혼자 거주 × 주택 이외의 거처,8627,0.008627,0.00845142336,0.017557663999999938,0.020561947940206108
혼자 거주 × 연립주택,3636,0.003636,0.0036103385599999993,0.0025661440000000584,0.00708262443436323
혼자 거주 × 비주거용 건물 내 ,1431,0.001431,0.0013903393599999996,0.004066064000000035,0.028825639345089974
부모와 동거 × 아파트,58757,0.058757,0.05712404146800001,0.16329585319999895,0.028185225342787706
부모와 동거 × 단독주택,13332,0.013332,0.015571041109000004,-0.2239041109000004,-0.15524568951049586
부모와 동거 × 다세대주택,11106,0.011106,0.010528009557000001,0.057799044299999824,0.053446220467108986
부모와 동거 × 주택 이외의 거처,5705,0.005705,0.005547481992000001,0.015751800799999882,0.027998853641608572
부모와 동거 × 연립주택,2260,0.00226,0.0023698124320000002,-0.010981243200000037,-0.04744599611486966
부모와 동거 × 비주거용 건물 내 ,893,0.000893,0.000912613442,-0.0019613442,-0.021725816853056718
기타2세대 × 아파트,24198,0.024198,0.024647243208000002,-0.04492432080000011,-0.01839507171149319
기타2세대 × 단독주택,7290,0.00729,0.006718418854000001,0.05715811459999984,0.08165070875377836
기타2세대 × 다세대주택,4447,0.004447,0.004542507942,-0.009550794199999959,-0.021249558134546008
기타2세대 × 주택 이외의 거처,2355,0.002355,0.0023935655520000002,-0.003856555200000035,-0.01624338951484855
