cell,n,p_obs,p_indep,diff_pp,pmi
배우자·자녀와 거주 × 무직,70636,0.070636,0.09931463889500002,-2.867863889500001,-0.34075305153113056
배우자·자녀와 거주 × 건물 청소원,4037,0.004037,0.004934789815,-0.08977898150000002,-0.20080823942880774
배우자·자녀와 거주 × 건물 경비원,4609,0.004609,0.0047239129150000005,-0.011491291500000025,-0.02462654983749448
배우자·자녀와 거주 × 경리 사무원,5144,0.005144,0.00436515183,0.07788481699999997,0.1641780147435301
배우자·자녀와 거주 × 사무 보조원,4217,0.004217,0.00368493865,0.05320613500000002,0.1348700978370174
배우자·자녀와 거주 × 전화 상담원,3619,0.003619,0.0030309499049999996,0.05880500950000002,0.17732167419118458
배우자·자녀와 거주 × 시설 경비원,3236,0.003236,0.002946058435,0.028994156500000007,0.09386984598253188
배우자·자녀와 거주 × 일반 비서,3425,0.003425,0.002945517725,0.0479482275,0.15081687209864103
배우자·자녀와 거주 × 하역 및 적재 관련,2547,0.002547,0.0024764517999999996,0.007054820000000021,0.02808938609231676
배우자·자녀와 거주 × 한식 조리사,2825,0.002825,0.0023158609299999996,0.05091390700000002,0.19872685418626082
배우자·자녀와 거주 × 그 외 일반 영업원,2978,0.002978,0.002216640645,0.0761359355,0.2952591074288122
배우자·자녀와 거주 × 주방 보조원,2101,0.002101,0.0020390174100000003,0.006198258999999973,0.029945391807733625
배우자·자녀와 거주 × 지게차 운전원,2465,0.002465,0.00199576061,0.04692393900000004,0.21116657166788247
배우자·자녀와 거주 × 회계 사무원,2352,0.002352,0.00196007375,0.03919262499999998,0.18228392995083262
배우자·자녀와 거주 × 마케팅 전문가,2441,0.002441,0.00195358523,0.04874147700000002,0.22274152746641024
배우자·자녀와 거주 × 산업 안전원,2070,0.00207,0.0017862354850000002,0.028376451499999962,0.1474382830105645
배우자·자녀와 거주 × 교육 및 훈련 사무,2392,0.002392,0.0016594389900000004,0.07325610099999996,0.36565024867187623
배우자·자녀와 거주 × 그 외 서비스 관련,1243,0.001243,0.001607801185,-0.0364801185,-0.2573397094148469
배우자·자녀와 거주 × 경영 기획 사무원,1995,0.001995,0.0016059087,0.03890912999999997,0.21695428574830875
배우자·자녀와 거주 × 그 외 상점 판매원,1831,0.001831,0.0015415642099999999,0.02894357900000001,0.17206464398292923
배우자·자녀와 거주 × 기타,144192,0.144192,0.121250702885,2.2941297114999983,0.17328541801929834
배우자와 거주 × 무직,95473,0.095473,0.07579916000900003,1.9673839990999975,0.23075627408858895
배우자와 거주 × 건물 청소원,5268,0.005268,0.0037663422730000004,0.15016577269999998,0.33554647275196936
배우자와 거주 × 건물 경비원,5114,0.005114,0.0036053962930000013,0.15086037069999983,0.3495501834636751
