cell,n,p_obs,p_indep,diff_pp,pmi
배우자·자녀와 거주 × 경기,81449,0.081449,0.07087464467,1.0574355329999994,0.13906430894092253
배우자·자녀와 거주 × 서울,52583,0.052583,0.050077315940000006,0.2505684059999992,0.04882474368063333
배우자·자녀와 거주 × 부산,17412,0.017412,0.017650126175,-0.023812617499999883,-0.01358330838891504
배우자·자녀와 거주 × 경상남,15568,0.015568,0.01687447768,-0.13064776799999994,-0.0805847585396157
배우자·자녀와 거주 × 인천,16070,0.01607,0.015948511805000003,0.012148819499999824,0.007588658633389785
배우자·자녀와 거주 × 경상북,11213,0.011213,0.013598315790000001,-0.23853157900000002,-0.192872126623996
배우자·자녀와 거주 × 대구,13389,0.013389,0.012688841570000001,0.07001584299999986,0.05371048359587474
배우자·자녀와 거주 × 충청남,8721,0.008721,0.011207836880000002,-0.24868368800000026,-0.2508793447938701
배우자·자녀와 거주 × 전라남,6972,0.006972,0.009297778805,-0.23257788050000003,-0.2878734058030144
배우자·자녀와 거주 × 전북,6531,0.006531,0.00924289674,-0.2711896739999999,-0.3472952656022156
배우자·자녀와 거주 × 충청북,5542,0.005542,0.00846103008,-0.2919030079999999,-0.42311547863058435
배우자·자녀와 거주 × 강원,6794,0.006794,0.008164721,-0.1370721,-0.18378268586139612
배우자·자녀와 거주 × 대전,8174,0.008174,0.007744589330000001,0.04294106699999998,0.053963936565447845
배우자·자녀와 거주 × 광주,7619,0.007619,0.007460175870000001,0.015882412999999873,0.021066138486066307
배우자·자녀와 거주 × 울산,6472,0.006472,0.005763157535,0.07088424650000007,0.11599967208616893
배우자·자녀와 거주 × 제주,3266,0.003266,0.0034262089150000003,-0.016020891500000047,-0.04788838277061819
배우자·자녀와 거주 × 세종,2580,0.00258,0.0018743712150000001,0.07056287849999997,0.3195161477542083
배우자와 거주 × 경기,48413,0.048413,0.054093118514000005,-0.5680118514000008,-0.1109386056916576
배우자와 거주 × 서울,30928,0.030928,0.03822013074800001,-0.7292130748000006,-0.21170043727175022
배우자와 거주 × 부산,13562,0.013562,0.013470972185000001,0.009102781499999851,0.0067346023532302785
배우자와 거주 × 경상남,15414,0.015414,0.012878979856,0.25350201440000003,0.17967967354308287
배우자와 거주 × 인천,11489,0.011489,0.012172261931000001,-0.06832619310000021,-0.057769695074257395
배우자와 거주 × 경상북,13858,0.013858,0.010378539618000001,0.3479460382,0.2891225072729962
배우자와 거주 × 대구,9454,0.009454,0.009684408494000003,-0.023040849400000202,-0.024079288177776832
배우자와 거주 × 충청남,10684,0.010684,0.008554072496000003,0.21299275039999982,0.22233981037954212
배우자와 거주 × 전라남,9718,0.009718,0.007096273331,0.2621726668999999,0.3144100726934687
배우자와 거주 × 전북,9383,0.009383,0.007054386108,0.2328613892000001,0.28524997495572313
배우자와 거주 × 충청북,5677,0.005677,0.006457647936,-0.07806479360000004,-0.12884223071223572
배우자와 거주 × 강원,7987,0.007987,0.0062314982,0.1755501799999999,0.24819843450600984
배우자와 거주 × 대전,5684,0.005684,0.005910844286000001,-0.022684428600000094,-0.03913346817123727
배우자와 거주 × 광주,5092,0.005092,0.005693773554000001,-0.06017735540000012,-0.11170253813909993
배우자와 거주 × 울산,4732,0.004732,0.0043985710970000005,0.03334289029999996,0.07306820861666484
배우자와 거주 × 제주,3032,0.003032,0.0026149594930000002,0.041704050699999974,0.14797386063177992
배우자와 거주 × 세종,1234,0.001234,0.001430562153,-0.019656215299999998,-0.1478065555255753
혼자 거주 × 경기,31614,0.031614,0.03676447696,-0.5150476959999997,-0.15093201851759566
혼자 거주 × 서울,29935,0.029935,0.02597637472,0.39586252799999994,0.14184090405716626
혼자 거주 × 부산,10122,0.010122,0.0091555684,0.09664316000000013,0.10034901030104247
혼자 거주 × 경상남,8561,0.008561,0.00875321984,-0.019221984000000053,-0.022204608634794173
혼자 거주 × 인천,8045,0.008045,0.00827289784,-0.02278978399999996,-0.02793407108356241
혼자 거주 × 경상북,7252,0.007252,0.007053791520000001,0.0198208479999999,0.027712016377987127
혼자 거주 × 대구,6801,0.006801,0.006582024160000001,0.021897583999999897,0.0327273390622562
혼자 거주 × 충청남,5831,0.005831,0.0058137894400000015,0.0017210559999998772,0.0029559267894226178
혼자 거주 × 전라남,5288,0.005288,0.0048229938399999995,0.046500616000000064,0.09204523867671881
혼자 거주 × 전북,4552,0.004552,0.0047945251199999995,-0.02425251199999999,-0.05190797011058378
혼자 거주 × 충청북,3846,0.003846,0.00438895104,-0.05429510400000001,-0.13205660831666086
혼자 거주 × 강원,4730,0.00473,0.004235248,0.049475200000000025,0.11048331649217578
혼자 거주 × 대전,4360,0.00436,0.00401731504,0.03426849599999998,0.08185827837242754
혼자 거주 × 광주,4542,0.004542,0.003869782560000001,0.06722174399999992,0.1601691242666827
혼자 거주 × 울산,2305,0.002305,0.00298949608,-0.06844960799999998,-0.2600241616332875
혼자 거주 × 제주,1659,0.001659,0.0017772615200000001,-0.011826152000000003,-0.06885869652246171
혼자 거주 × 세종,797,0.000797,0.00097228392,-0.017528392000000004,-0.1987931817831174
부모와 동거 × 경기,25942,0.025942,0.024132062162,0.18099378380000003,0.0723219404274872
부모와 동거 × 서울,19270,0.01927,0.017050793084,0.22192069159999994,0.12235276458793122
부모와 동거 × 부산,6064,0.006064,0.006009680104999999,0.005431989500000092,0.008998128331032104
부모와 동거 × 경상남,5343,0.005343,0.005745580048,-0.040258004800000025,-0.07264357893770304
부모와 동거 × 인천,5294,0.005294,0.005430298523,-0.013629852300000005,-0.02542000524119403
부모와 동거 × 경상북,3888,0.003888,0.004630081794,-0.07420817939999998,-0.17467964743461925
부모와 동거 × 대구,4606,0.004606,0.004320415502,0.028558449799999993,0.0640082227490535
부모와 동거 × 충청남,3323,0.003323,0.0038161491680000006,-0.049314916800000066,-0.1383738535963337
부모와 동거 × 전라남,2287,0.002287,0.0031657947229999997,-0.08787947229999997,-0.32516320635021684
부모와 동거 × 전북,2941,0.002941,0.0031471079639999993,-0.020610796399999926,-0.06773426488094994
부모와 동거 × 충청북,1768,0.001768,0.0028808906879999995,-0.11128906879999995,-0.4882505487859915
부모와 동거 × 강원,2102,0.002102,0.0027800005999999997,-0.06780005999999995,-0.279561871075101
부모와 동거 × 대전,2727,0.002727,0.002636950238,0.009004976200000002,0.033579067356741446
부모와 동거 × 광주,2608,0.002608,0.002540110482,0.0067889517999999895,0.02637606712952811
