cell,n,p_obs,p_indep,diff_pp,pmi
아파트 × 해당없음,411276,0.411276,0.41851599807599993,-0.7239998075999954,-0.017450594416024444
아파트 × 공학·제조·건설,43647,0.043647,0.042117756275999986,0.15292437240000123,0.0356651353550429
아파트 × 경영·행정·법,35187,0.035187,0.034076591627999996,0.11104083720000074,0.03206601016328101
아파트 × 예술·인문,31487,0.031487,0.030426481236,0.1060518764000002,0.03426143971538558
아파트 × 보건·복지,22326,0.022326,0.021438348131999994,0.08876518680000049,0.04057063144023074
아파트 × 교육,20347,0.020347,0.019546272887999996,0.08007271120000041,0.04014885773257072
아파트 × 정보통신기술,18913,0.018913,0.018100997964,0.08120020360000008,0.04388244342188125
아파트 × 서비스,11854,0.011854,0.011441811527999998,0.04121884720000024,0.035391039600437595
아파트 × 사회과학·언론,11026,0.011026,0.010685353763999999,0.03406462360000008,0.03138212347463683
아파트 × 자연과학·수학,10836,0.010836,0.010517803643999997,0.031819635600000354,0.02980451779812537
아파트 × 농림어업·수의학,3657,0.003657,0.0036885848639999995,-0.003158486399999945,-0.008599739637020086
단독주택 × 해당없음,124406,0.124406,0.114080335413,1.0325664587000003,0.08664751383553666
단독주택 × 공학·제조·건설,9582,0.009582,0.011480583262999998,-0.18985832629999974,-0.180770858021397
단독주택 × 경영·행정·법,7499,0.007499,0.009288698689000001,-0.17896986890000013,-0.21402878816095358
단독주택 × 예술·인문,6560,0.00656,0.008293740743000001,-0.1733740743000001,-0.23451050000008714
단독주택 × 보건·복지,4711,0.004711,0.005843728690999999,-0.1132728690999999,-0.2154688678704145
단독주택 × 교육,4288,0.004288,0.005327981194,-0.10399811939999998,-0.21715197980870318
단독주택 × 정보통신기술,3845,0.003845,0.004934023857,-0.10890238569999998,-0.24938125036283762
단독주택 × 서비스,2559,0.002559,0.003118843014,-0.05598430139999999,-0.19784554702356605
단독주택 × 사회과학·언론,2328,0.002328,0.0029126455070000003,-0.058464550700000006,-0.22405224725967254
단독주택 × 자연과학·수학,2319,0.002319,0.0028669741969999996,-0.054797419699999975,-0.2121211285873379
단독주택 × 농림어업·수의학,1056,0.001056,0.001005445432,0.005055456800000008,0.04905752604379659
다세대주택 × 해당없음,75268,0.075268,0.07713285534900001,-0.1864855349000008,-0.024474251531613807
다세대주택 × 공학·제조·건설,8022,0.008022,0.0077623383989999985,0.025966160100000107,0.03290413846921631
다세대주택 × 경영·행정·법,6765,0.006765,0.0062803448970000005,0.048465510299999966,0.07433736274622815
다세대주택 × 예술·인문,5982,0.005982,0.0056076264390000005,0.037437356099999985,0.06462742485535417
다세대주택 × 보건·복지,4128,0.004128,0.0039511058429999996,0.017689415700000016,0.04379752819462554
다세대주택 × 교육,3736,0.003736,0.0036023947619999996,0.013360523800000053,0.036416684393074925
다세대주택 × 정보통신기술,3533,0.003533,0.003336029361,0.019697063899999992,0.05736608266024596
다세대주택 × 서비스,2203,0.002203,0.0021087356219999997,0.009426437800000038,0.04373153122267114
다세대주택 × 사회과학·언론,2045,0.002045,0.001969319811,0.007568018899999996,0.03770957996958377
다세대주택 × 자연과학·수학,2052,0.002052,0.0019384401809999998,0.011355981900000025,0.056931308051473235
다세대주택 × 농림어업·수의학,635,0.000635,0.000679809336,-0.0044809336,-0.06818737172603605
주택 이외의 거처 × 해당없음,39065,0.039065,0.040643307144,-0.15783071440000004,-0.03960725108542807
