cell,n,p_obs,p_indep,diff_pp,pmi
아파트 × 무학,13833,0.013833,0.01632993114,-0.24969311400000002,-0.1659426483018705
아파트 × 초등학교,45854,0.045854,0.050413348883999995,-0.4559348883999996,-0.0947935629174738
아파트 × 중학교,50686,0.050686,0.052905501779999996,-0.2219501779999994,-0.042857598516118256
아파트 × 고등학교,205531,0.205531,0.20563798561199997,-0.010698561199998236,-0.0005203972972580826
아파트 × 2~3년제 전문대학,95372,0.095372,0.09322923065999998,0.2142769340000017,0.022723728116392942
아파트 × 4년제 대학교,174284,0.174284,0.168329538336,0.5954461663999988,0.03476255674353631
아파트 × 대학원,34996,0.034996,0.03371046358799999,0.12855364120000073,0.037425487852918646
단독주택 × 무학,7396,0.007396,0.004451261195,0.29447388049999995,0.507751842894321
단독주택 × 초등학교,19434,0.019434,0.013741820566999999,0.5692179433000001,0.3465803301632942
단독주택 × 중학교,17211,0.017211,0.014421139014999999,0.27898609850000017,0.17685359699291375
단독주택 × 고등학교,57075,0.057075,0.056053413680999996,0.10215863190000049,0.018061140541750238
단독주택 × 2~3년제 전문대학,23290,0.02329,0.025412700954999996,-0.2122700954999994,-0.08722500274952678
단독주택 × 4년제 대학교,37921,0.037921,0.045883766168,-0.7962766168,-0.190606327903392
단독주택 × 대학원,6826,0.006826,0.009188898418999999,-0.2362898418999999,-0.29725721134259314
다세대주택 × 무학,2637,0.002637,0.0030096202350000005,-0.037262023500000054,-0.13217199565572532
다세대주택 × 초등학교,8488,0.008488,0.009291223191,-0.08032231909999993,-0.09041681033858848
다세대주택 × 중학교,9489,0.009489,0.009750529095,-0.026152909500000085,-0.027188316699626056
다세대주택 × 고등학교,37639,0.037639,0.037899256113000004,-0.026025611300000556,-0.006890737387572351
다세대주택 × 2~3년제 전문대학,17015,0.017015,0.017182226715,-0.016722671499999966,-0.009780211089224883
다세대주택 × 4년제 대학교,32200,0.0322,0.031023277464000003,0.1176722535999996,0.037228643903531984
다세대주택 × 대학원,6901,0.006901,0.006212867186999999,0.06881328130000008,0.10504383441503906
주택 이외의 거처 × 무학,1424,0.001424,0.0015858471600000003,-0.016184716000000036,-0.10764893735721505
주택 이외의 거처 × 초등학교,4399,0.004399,0.004895787096,-0.04967870959999999,-0.10699781660381182
주택 이외의 거처 × 중학교,4843,0.004843,0.00513780732,-0.02948073199999998,-0.05909203359027939
주택 이외의 거처 × 고등학교,19234,0.019234,0.019970103528,-0.07361035279999997,-0.03755678530026034
주택 이외의 거처 × 2~3년제 전문대학,9165,0.009165,0.00905376204,0.011123795999999977,0.012211514929450327
주택 이외의 거처 × 4년제 대학교,17517,0.017517,0.016346971584,0.11700284160000018,0.06912918200255583
주택 이외의 거처 × 대학원,3682,0.003682,0.0032737212719999996,0.04082787280000003,0.11752874126733635
연립주택 × 무학,705,0.000705,0.00067745336,0.0027546639999999974,0.03985709375649886
연립주택 × 초등학교,2138,0.002138,0.002091416816,0.004658318400000035,0.022029073905825237
연립주택 × 중학교,2164,0.002164,0.00219480472,-0.0030804719999999886,-0.014134715753770151
연립주택 × 고등학교,8506,0.008506,0.008530969488,-0.002496948799999947,-0.002931214485742448
연립주택 × 2~3년제 전문대학,3851,0.003851,0.0038676498399999996,-0.001664983999999977,-0.004314191256079885
연립주택 × 4년제 대학교,6919,0.006919,0.006983214464,-0.006421446399999982,-0.00923808517691433
연립주택 × 대학원,1461,0.001461,0.0013984913119999998,0.006250868800000025,0.043727111498379045
비주거용 건물 내  × 무학,320,0.00032,0.00026088691000000005,0.005911308999999998,0.20423397738964771
비주거용 건물 내  × 초등학교,926,0.000926,0.000805403446,0.0120596554,0.13953090761865924
비주거용 건물 내  × 중학교,862,0.000862,0.0008452180700000001,0.001678192999999997,0.01966060559519591
비주거용 건물 내  × 고등학교,3392,0.003392,0.003285271578,0.0106728422,0.03197039726411764
비주거용 건물 내  × 2~3년제 전문대학,1542,0.001542,0.00148942979,0.0052570210000000075,0.03468691970393122
비주거용 건물 내  × 4년제 대학교,2415,0.002415,0.0026892319840000002,-0.02742319840000002,-0.1075563579374072
비주거용 건물 내  × 대학원,457,0.000457,0.0005385582219999999,-0.008155822199999994,-0.16421221870647074
