cell,n,p_obs,p_indep,diff_pp,pmi
아파트 × 무직,224795,0.224795,0.227960626044,-0.3165626044000003,-0.013984045472553778
아파트 × 건물 청소원,10941,0.010941,0.011327008667999999,-0.038600866799999925,-0.034672820974800525
아파트 × 건물 경비원,9550,0.00955,0.010842974988,-0.12929749880000002,-0.12697624925306883
아파트 × 경리 사무원,9968,0.009968,0.010019497176,-0.005149717600000034,-0.005152950316532805
아파트 × 사무 보조원,8709,0.008709,0.008458178279999999,0.025082172000000062,0.0292231566133551
아파트 × 전화 상담원,7045,0.007045,0.006957053315999999,0.008794668400000094,0.01256213479038087
아파트 × 시설 경비원,6629,0.006629,0.006762198732,-0.013319873199999985,-0.019894130124300923
아파트 × 일반 비서,6990,0.00699,0.006760957620000001,0.022904237999999896,0.03331601646032918
아파트 × 하역 및 적재 관련,5346,0.005346,0.00568429296,-0.03382929600000001,-0.06135813235811795
아파트 × 한식 조리사,5332,0.005332,0.005315682695999999,0.0016317304000000588,0.0030649517344768177
아파트 × 그 외 일반 영업원,5143,0.005143,0.005087938644,0.005506135599999979,0.01076379978993211
아파트 × 주방 보조원,4343,0.004343,0.004680233352,-0.03372333520000005,-0.07478261667228704
아파트 × 지게차 운전원,4648,0.004648,0.004580944392,0.0067055608000000065,0.014531843552996854
아파트 × 회계 사무원,4671,0.004671,0.0044990310000000006,0.017196899999999925,0.03751114126458108
아파트 × 마케팅 전문가,4600,0.0046,0.004484137656,0.011586234399999992,0.02551009938079449
아파트 × 산업 안전원,4296,0.004296,0.004100013492,0.019598650800000013,0.04669409277000853
아파트 × 교육 및 훈련 사무,3865,0.003865,0.0038089727279999996,0.005602727200000037,0.01460215445303468
아파트 × 그 외 서비스 관련,3694,0.003694,0.003690446532,0.0003553467999999754,0.0009624196637851814
아파트 × 경영 기획 사무원,3778,0.003778,0.00368610264,0.009189735999999993,0.024625064315957897
아파트 × 그 외 상점 판매원,3590,0.00359,0.0035384103119999997,0.0051589688000000175,0.01447464062090092
아파트 × 기타,282623,0.282623,0.278311298772,0.4311701228000009,0.015373587097956103
단독주택 × 무직,65822,0.065822,0.062138185396999994,0.3683814603000012,0.05759342726663478
단독주택 × 건물 청소원,3484,0.003484,0.0030875497089999995,0.03964502910000006,0.12080325708479428
단독주택 × 건물 경비원,4569,0.004569,0.002955610369,0.16133896310000004,0.4355891783994181
단독주택 × 경리 사무원,2875,0.002875,0.002731144338,0.014385566199999998,0.05133198145167486
단독주택 × 사무 보조원,2009,0.002009,0.00230555539,-0.029655539000000015,-0.13768451170045912
단독주택 × 전화 상담원,1531,0.001531,0.0018963742829999997,-0.036537428299999966,-0.21402267432072486
단독주택 × 시설 경비원,2012,0.002012,0.0018432602410000001,0.016873975899999977,0.08759337841792847
단독주택 × 일반 비서,1596,0.001596,0.0018429219350000004,-0.024692193500000036,-0.14385182119378162
단독주택 × 하역 및 적재 관련,1948,0.001948,0.00154944148,0.03985585200000001,0.22890867470948928
단독주택 × 한식 조리사,1450,0.00145,0.0014489645979999998,0.00010354020000000533,0.0007143254144885456
단독주택 × 그 외 일반 영업원,1145,0.001145,0.001386885447,-0.0241885447,-0.19165591043265287
단독주택 × 주방 보조원,1801,0.001801,0.001275751926,0.0525248074,0.3448063155328384
단독주택 × 지게차 운전원,1192,0.001192,0.001248687446,-0.00566874460000001,-0.046460387789464104
단독주택 × 회계 사무원,1046,0.001046,0.00122635925,-0.018035925,-0.1590764550486674
단독주택 × 마케팅 전문가,922,0.000922,0.001222299578,-0.030029957799999993,-0.28194403997580686
단독주택 × 산업 안전원,959,0.000959,0.001117593871,-0.015859387100000004,-0.1530422489712627
단독주택 × 교육 및 훈련 사무,1053,0.001053,0.001038261114,0.0014738885999999963,0.014095925129478791
단독주택 × 그 외 서비스 관련,945,0.000945,0.001005952891,-0.006095289099999998,-0.06250559403766612
단독주택 × 경영 기획 사무원,860,0.00086,0.00100476882,-0.014476882000000007,-0.15558037493395238
단독주택 × 그 외 상점 판매원,786,0.000786,0.0009645104059999999,-0.01785104059999999,-0.20466382886822584
단독주택 × 기타,71148,0.071148,0.075862921511,-0.4714921511000003,-0.06416583288310075
다세대주택 × 무직,41748,0.041748,0.042013337781000006,-0.026533778100000516,-0.006335588126371425
다세대주택 × 건물 청소원,2133,0.002133,0.002087577357,0.004542264299999986,0.02152520518743364
다세대주택 × 건물 경비원,1775,0.001775,0.0019983695370000003,-0.02233695370000002,-0.11853119365065493
다세대주택 × 경리 사무원,1799,0.001799,0.0018466018740000002,-0.004760187400000017,-0.02611617022556036
다세대주택 × 사무 보조원,1634,0.001634,0.0015588494700000002,0.007515052999999979,0.047082966508237255
다세대주택 × 전화 상담원,1505,0.001505,0.001282190859,0.02228091410000001,0.16022267480825
다세대주택 × 시설 경비원,1229,0.001229,0.0012462789930000001,-0.0017278993000000064,-0.013961475631983938
다세대주택 × 일반 비서,1256,0.001256,0.0012460502550000003,0.0009949744999999607,0.007953315428290888
다세대주택 × 하역 및 적재 관련,1014,0.001014,0.00104762004,-0.0033620040000000104,-0.0326180577381802
다세대주택 × 한식 조리사,1006,0.001006,0.000979684854,0.0026315145999999913,0.026506408263235484
다세대주택 × 그 외 일반 영업원,1050,0.00105,0.000937711431,0.011228856899999988,0.11310318433425859
다세대주택 × 주방 보조원,714,0.000714,0.0008625709980000001,-0.014857099800000013,-0.18903449969985078
다세대주택 × 지게차 운전원,829,0.000829,0.000844271958,-0.0015271958000000045,-0.01825451267578149
다세대주택 × 회계 사무원,826,0.000826,0.0008291752500000001,-0.00031752500000000947,-0.0038367585488750236
다세대주택 × 마케팅 전문가,933,0.000933,0.000826430394,0.010656960600000001,0.12128950491862579
다세대주택 × 산업 안전원,719,0.000719,0.0007556359830000001,-0.0036635983000000115,-0.04969839852997178
다세대주택 × 교육 및 훈련 사무,623,0.000623,0.000701996922,-0.007899692200000002,-0.11938250061336089
다세대주택 × 그 외 서비스 관련,721,0.000721,0.0006801524430000001,0.004084755699999983,0.05832218335722267
다세대주택 × 경영 기획 사무원,698,0.000698,0.0006793518600000001,0.0018648139999999998,0.027079906184549262
다세대주택 × 그 외 상점 판매원,743,0.000743,0.000652132038,0.009086796199999997,0.13044899102400923
다세대주택 × 기타,51414,0.051414,0.051293009703000006,0.012099029699999542,0.0023560291223876546
주택 이외의 거처 × 무직,21904,0.021904,0.022137920135999998,-0.023392013599999803,-0.010622712858207428
주택 이외의 거처 × 건물 청소원,1035,0.001035,0.001099998792,-0.006499879200000001,-0.06090765490457129
주택 이외의 거처 × 건물 경비원,903,0.000903,0.001052992872,-0.014999287199999992,-0.15366918946330937
주택 이외의 거처 × 경리 사무원,919,0.000919,0.000973022544,-0.005402254400000002,-0.05712112914053028
주택 이외의 거처 × 사무 보조원,834,0.000834,0.00082139832,0.001260167999999999,0.015225246126911911
주택 이외의 거처 × 전화 상담원,732,0.000732,0.0006756197039999999,0.005638029600000009,0.08015016426646165
주택 이외의 거처 × 시설 경비원,626,0.000626,0.000656696808,-0.0030696808000000003,-0.04787206141804411
주택 이외의 거처 × 일반 비서,698,0.000698,0.00065657628,0.004142372000000001,0.061180223842395666
주택 이외의 거처 × 하역 및 적재 관련,502,0.000502,0.00055201824,-0.005001824,-0.09498096951770331
주택 이외의 거처 × 한식 조리사,461,0.000461,0.0005162214239999999,-0.005522142399999992,-0.11313774671992416
주택 이외의 거처 × 그 외 일반 영업원,553,0.000553,0.000494104536,0.005889546399999999,0.11261089538490061
주택 이외의 거처 × 주방 보조원,405,0.000405,0.00045451108799999997,-0.0049511087999999995,-0.1153352422530198
주택 이외의 거처 × 지게차 운전원,444,0.000444,0.000444868848,-8.688479999999785e-05,-0.0019549526989755634
주택 이외의 거처 × 회계 사무원,482,0.000482,0.000436914,0.004508600000000001,0.09820773466062342
주택 이외의 거처 × 마케팅 전문가,523,0.000523,0.000435467664,0.008753233600000004,0.18316092081608093
주택 이외의 거처 × 산업 안전원,404,0.000404,0.000398164248,0.0005835752000000018,0.014550274390007861
주택 이외의 거처 × 교육 및 훈련 사무,372,0.000372,0.00036990043199999995,0.00020995680000000425,0.005659987552208679
주택 이외의 거처 × 그 외 서비스 관련,388,0.000388,0.000358390008,0.002960999199999999,0.07938353837542315
주택 이외의 거처 × 경영 기획 사무원,388,0.000388,0.00035796815999999997,0.003003184000000003,0.08056129572532642
주택 이외의 거처 × 그 외 상점 판매원,367,0.000367,0.00034362532799999995,0.002337467200000002,0.06580994704069643
주택 이외의 거처 × 기타,27324,0.027324,0.027027620568,0.029637943200000114,0.010906109756829842
연립주택 × 무직,9393,0.009393,0.009457032656,-0.006403265599999944,-0.00679393011855602
연립주택 × 건물 청소원,467,0.000467,0.000469905232,-0.0002905231999999981,-0.006201782661777148
연립주택 × 건물 경비원,460,0.00046,0.000449824912,0.001017508799999999,0.022368066876211817
연립주택 × 경리 사무원,435,0.000435,0.0004156626240000001,0.0019337375999999929,0.045472099865832866
연립주택 × 사무 보조원,322,0.000322,0.00035089072,-0.002889072,-0.08592329041406031
연립주택 × 전화 상담원,298,0.000298,0.000288615984,0.0009384015999999967,0.031996457083920314
연립주택 × 시설 경비원,291,0.000291,0.00028053236800000005,0.0010467631999999975,0.03663415492671603
연립주택 × 일반 비서,266,0.000266,0.00028048088000000006,-0.0014480880000000045,-0.053009249864911664
연립주택 × 하역 및 적재 관련,250,0.00025,0.00023581504,0.0014184959999999998,0.058413148926180054
연립주택 × 한식 조리사,212,0.000212,0.000220523104,-0.0008523103999999991,-0.03941619477119409
연립주택 × 그 외 일반 영업원,229,0.000229,0.00021107505600000001,0.0017924943999999996,0.08150821769017157
연립주택 × 주방 보조원,193,0.000193,0.00019416124800000003,-0.00011612480000000233,-0.005998800181307353
연립주택 × 지게차 운전원,192,0.000192,0.000190042208,0.00019577920000000016,0.010249177169947374
연립주택 × 회계 사무원,158,0.000158,0.00018664400000000002,-0.002864400000000003,-0.16660802608964423
연립주택 × 마케팅 전문가,189,0.000189,0.00018602614400000002,0.0002973855999999995,0.01585979208416651
연립주택 × 산업 안전원,163,0.000163,0.00017009060800000003,-0.0007090608000000025,-0.04258108249101385
연립주택 × 교육 및 훈련 사무,168,0.000168,0.000158016672,0.0009983327999999992,0.06126343295568708
연립주택 × 그 외 서비스 관련,141,0.000141,0.00015309956800000003,-0.0012099568000000015,-0.08232859059631588
