cell,n,p_obs,p_indep,diff_pp,pmi
아파트 × 경기,176410,0.17641,0.162681237624,1.3728762376000014,0.08101814257755065
아파트 × 서울,100697,0.100697,0.114944346768,-1.4247346768000004,-0.13233206225715277
아파트 × 부산,42295,0.042295,0.04051299846,0.17820015400000014,0.04304600350716962
아파트 × 경상남,38930,0.03893,0.03873262329599999,0.019737670400001017,0.00508293746925747
아파트 × 인천,36576,0.036576,0.036607218995999995,-0.003121899599999728,-0.0008531736734731584
아파트 × 경상북,26081,0.026081,0.03121272568799999,-0.5131725687999991,-0.17961880639094235
아파트 × 대구,34703,0.034703,0.02912517530399999,0.5577824696000007,0.1752232076579694
아파트 × 충청남,24007,0.024007,0.025725769536,-0.1718769536,-0.06914774072040161
아파트 × 전라남,16220,0.01622,0.021341541396,-0.5121541396,-0.274410424943364
아파트 × 전북,19961,0.019961,0.021215568527999995,-0.12545685279999955,-0.0609549068638321
아파트 × 충청북,19318,0.019318,0.019420920575999995,-0.01029205759999971,-0.005313561484108924
아파트 × 강원,17531,0.017531,0.0187407912,-0.12097911999999975,-0.06673175339789308
아파트 × 대전,21225,0.021225,0.017776447175999997,0.3448552824000004,0.17730534345093155
아파트 × 광주,21640,0.02164,0.017123622263999994,0.45163777360000057,0.23408452480363304
아파트 × 울산,15295,0.015295,0.013228392251999994,0.20666077480000056,0.14516052976300337
아파트 × 제주,3701,0.003701,0.007864306187999999,-0.41633061879999994,-0.7537312640847144
아파트 × 세종,5966,0.005966,0.004302314747999999,0.16636852520000006,0.3269234947433972
단독주택 × 경기,24018,0.024018,0.04434413556200001,-2.0326135562000007,-0.6131769199282813
단독주택 × 서울,15762,0.015762,0.031331871884,-1.5569871884000002,-0.6870338705826645
단독주택 × 부산,8252,0.008252,0.011043153605000001,-0.2791153605000001,-0.29135505747581175
단독주택 × 경상남,17422,0.017422,0.010557853647999998,0.6864146352000002,0.5008637708075846
단독주택 × 인천,4037,0.004037,0.009978504623,-0.5941504623,-0.9049313998510784
단독주택 × 경상북,18371,0.018371,0.008508057594,0.9862942405999999,0.7697596676182096
단독주택 × 대구,7280,0.00728,0.007939026901999999,-0.0659026901999999,-0.08665984911662378
단독주택 × 충청남,12309,0.012309,0.007012406768000001,0.5296593232,0.5626497264835892
단독주택 × 전라남,15309,0.015309,0.0058173408230000005,0.9491659176999999,0.9675976366833043
단독주택 × 전북,11327,0.011327,0.005783002763999999,0.5543997236000001,0.67226619908999
단독주택 × 충청북,9130,0.00913,0.005293812288,0.38361877119999993,0.5450270489296549
단독주택 × 강원,10009,0.010009,0.0051084206,0.49005794,0.6725944120312427
단독주택 × 대전,3940,0.00394,0.004845556837999999,-0.09055568379999993,-0.20688144587264598
단독주택 × 광주,3656,0.003656,0.004667607882,-0.10116078819999998,-0.24427705601875327
단독주택 × 울산,3225,0.003225,0.0036058345009999993,-0.03808345009999993,-0.11162027802813662
단독주택 × 제주,4461,0.004461,0.002143675969,0.23173240309999998,0.7328508582213853
단독주택 × 세종,645,0.000645,0.001172737749,-0.052773774899999994,-0.5978459339715331
다세대주택 × 경기,34746,0.034746,0.029982290826000003,0.47637091739999965,0.1474575559086175
다세대주택 × 서울,44903,0.044903,0.021184341132,2.3718658867999998,0.7512423247505027
다세대주택 × 부산,7864,0.007864,0.007466580165,0.039741983499999925,0.0518582977637309
다세대주택 × 경상남,1742,0.001742,0.007138455503999998,-0.5396455503999997,-1.410462558555122
다세대주택 × 인천,10880,0.01088,0.006746741678999999,0.4133258321000002,0.4778665673095972
다세대주택 × 경상북,2052,0.002052,0.005752531961999999,-0.3700531961999999,-1.0308251717963846
다세대주택 × 대구,2567,0.002567,0.005367794645999999,-0.2800794645999999,-0.7376792418325323
다세대주택 × 충청남,1883,0.001883,0.004741281264,-0.2858281264,-0.9234411583658714
다세대주택 × 전라남,440,0.00044,0.003933264279,-0.3493264279,-2.190450238532787
다세대주택 × 전북,667,0.000667,0.003910047371999999,-0.3243047371999999,-1.7685147225914173
다세대주택 × 충청북,884,0.000884,0.003579292223999999,-0.26952922239999993,-1.3984632944180326
다세대주택 × 강원,546,0.000546,0.0034539437999999995,-0.29079437999999996,-1.8446530118391884
다세대주택 × 대전,1782,0.001782,0.0032762143739999993,-0.14942143739999994,-0.6089522725301882
다세대주택 × 광주,423,0.000423,0.003155898185999999,-0.27328981859999996,-2.009656241942833
다세대주택 × 울산,1204,0.001204,0.0024380039729999994,-0.12340039729999994,-0.7055303137855605
다세대주택 × 제주,1716,0.001716,0.001449398337,0.026660166300000017,0.16884747074471093
다세대주택 × 세종,70,7e-05,0.0007929202769999999,-0.0722920277,-2.427227441114264
주택 이외의 거처 × 경기,18464,0.018464,0.015798448656000007,0.2665551343999994,0.15591114144247464
주택 이외의 거처 × 서울,16437,0.016437,0.011162580192000006,0.5274419807999994,0.38696776099382413
주택 이외의 거처 × 부산,4860,0.00486,0.003934335240000002,0.09256647599999974,0.2112965055111433
주택 이외의 거처 × 경상남,2385,0.002385,0.003761437824000001,-0.13764378240000008,-0.455602159965253
주택 이외의 거처 × 인천,5651,0.005651,0.0035550336240000014,0.20959663759999983,0.4634679992093823
주택 이외의 거처 × 경상북,1571,0.001571,0.0030311586720000007,-0.1460158672000001,-0.657232587151548
주택 이외의 거처 × 대구,1425,0.001425,0.0028284305760000006,-0.14034305760000004,-0.6855501773210461
주택 이외의 거처 × 충청남,1758,0.001758,0.0024983043840000013,-0.07403043840000013,-0.35143545609802596
주택 이외의 거처 × 전라남,1188,0.001188,0.002072539224000001,-0.08845392240000008,-0.5565033128426281
주택 이외의 거처 × 전북,965,0.000965,0.0020603056320000006,-0.10953056320000004,-0.7584815144881796
