cell,n,p_obs,p_indep,diff_pp,pmi
미혼 × 해당없음,137810,0.13781,0.17330056900199997,-3.5490569001999983,-0.22915155516437352
미혼 × 공학·제조·건설,25746,0.025746,0.017440267901999994,0.8305732098000007,0.38949749552138285
미혼 × 경영·행정·법,20446,0.020446,0.014110554305999997,0.6335445694000001,0.3708642146208841
미혼 × 예술·인문,17607,0.017607,0.012599103822,0.5007896178000002,0.33467086405448987
미혼 × 보건·복지,12073,0.012073,0.008877266214,0.3195733786,0.3074779035281991
미혼 × 교육,10926,0.010926,0.008093789076,0.2832210924,0.30004828316258914
미혼 × 정보통신기술,11212,0.011212,0.007495324577999999,0.3716675422000001,0.4027051967483645
미혼 × 서비스,6622,0.006622,0.004737865355999999,0.1884134644000001,0.3348107516901042
미혼 × 사회과학·언론,6221,0.006221,0.004424628677999999,0.1796371322000001,0.34074430517028625
미혼 × 자연과학·수학,6096,0.006096,0.004355248937999999,0.1740751062000001,0.33625104828988023
미혼 × 농림어업·수의학,2203,0.002203,0.0015273821279999998,0.06756178720000003,0.3662648253462004
배우자있음 × 해당없음,412534,0.412534,0.399620070498,1.2913929501999988,0.03180435463590571
배우자있음 × 공학·제조·건설,37096,0.037096,0.040216146598,-0.3120146598000001,-0.08075942456003637
배우자있음 × 경영·행정·법,30099,0.030099,0.032538039194,-0.24390391940000006,-0.0779178930354889
배우자있음 × 예술·인문,27220,0.02722,0.02905273067800001,-0.1832730678000008,-0.0651604808996336
배우자있음 × 보건·복지,19275,0.019275,0.020470410286000006,-0.11954102860000058,-0.060171523305794256
배우자있음 × 교육,17781,0.017781,0.018663761924000006,-0.08827619240000042,-0.04845330727026201
배우자있음 × 정보통신기술,15949,0.015949,0.017283740922000003,-0.13347409220000017,-0.08037009714669648
배우자있음 × 서비스,10264,0.010264,0.010925215644000001,-0.06612156440000005,-0.06243085205475107
배우자있음 × 사회과학·언론,9535,0.009535,0.010202911822000001,-0.06679118220000013,-0.06770391324335029
배우자있음 × 자연과학·수학,9491,0.009491,0.010042926562000001,-0.055192656200000155,-0.05652458087924612
배우자있음 × 농림어업·수의학,3294,0.003294,0.0035220458720000005,-0.02280458720000005,-0.06693940265169333
사별 × 해당없음,79483,0.079483,0.059273512848,2.0209487152000003,0.2933806197050126
사별 × 공학·제조·건설,1284,0.001284,0.005965046447999999,-0.4681046447999999,-1.5359366370078704
사별 × 경영·행정·법,1304,0.001304,0.004826193744,-0.3522193744,-1.308621648769057
사별 × 예술·인문,1450,0.00145,0.004309236528000001,-0.2859236528000001,-1.0891971923169144
사별 × 보건·복지,1254,0.001254,0.0030362667360000002,-0.17822667360000002,-0.8842902711709023
사별 × 교육,986,0.000986,0.002768296224000001,-0.1782296224000001,-1.0323309737500186
사별 × 정보통신기술,575,0.000575,0.002563605072,-0.1988605072,-1.494799737298544
사별 × 서비스,530,0.00053,0.0016204789440000002,-0.10904789440000004,-1.1176000224304998
사별 × 사회과학·언론,477,0.000477,0.001513343472,-0.10363434719999999,-1.154560211015972
사별 × 자연과학·수학,416,0.000416,0.001489613712,-0.10736137120000001,-1.275586851374919
사별 × 농림어업·수의학,129,0.000129,0.000522406272,-0.0393406272,-1.3986331796540505
이혼 × 해당없음,44594,0.044594,0.042226847651999994,0.2367152348000008,0.054543101791460324
이혼 × 공학·제조·건설,3745,0.003745,0.004249539051999999,-0.0504539051999999,-0.12638890173216882
이혼 × 경영·행정·법,3064,0.003064,0.003438212756,-0.03742127560000001,-0.11523053682088519
이혼 × 예술·인문,2754,0.002754,0.0030699289720000004,-0.03159289720000005,-0.1086000248686461
이혼 × 보건·복지,1945,0.001945,0.002163056764,-0.02180567640000001,-0.10626041273693332
이혼 × 교육,1805,0.001805,0.0019721527760000004,-0.016715277600000043,-0.08856513401138437
이혼 × 정보통신기술,1433,0.001433,0.001826329428,-0.0393329428,-0.2425380266934343
이혼 × 서비스,1022,0.001022,0.001154440056,-0.013244005600000015,-0.12185393463872948
이혼 × 사회과학·언론,986,0.000986,0.001078116028,-0.009211602800000005,-0.08931402372738997
이혼 × 자연과학·수학,946,0.000946,0.001061210788,-0.011521078800000003,-0.11492321901001563
이혼 × 농림어업·수의학,318,0.000318,0.000372165728,-0.005416572800000003,-0.15728787766125774
