cell,n,p_obs,p_indep,diff_pp,pmi
미혼 × 경기-화성시,4984,0.004984,0.004541032464,0.04429675359999995,0.09307838030878797
미혼 × 경기-남양주시,3090,0.00309,0.0035591806620000003,-0.04691806620000004,-0.14135927634185547
미혼 × 서울-송파구,3940,0.00394,0.003206628798,0.07333712020000001,0.20596055672557734
미혼 × 인천-서구,3054,0.003054,0.0030159629940000004,0.0038037005999999422,0.012533026619905869
미혼 × 경기-평택시,3076,0.003076,0.0028461111120000005,0.02298888879999996,0.07767651127613419
미혼 × 서울-강서구,3864,0.003864,0.0028296655440000003,0.10343344559999995,0.3115443940113627
미혼 × 대구-달서구,2773,0.002773,0.0027281655540000002,0.0044834445999999625,0.01630034154365711
미혼 × 서울-강남구,3426,0.003426,0.00265827189,0.07677281099999997,0.2537171536458739
미혼 × 서울-관악구,3976,0.003976,0.002611761768,0.13642382320000002,0.4202512882778621
미혼 × 경상남-김해시,2548,0.002548,0.0025814402520000002,-0.0033440252000000326,-0.013038742676484043
미혼 × 인천-부평구,2238,0.002238,0.002536471902,-0.029847190200000012,-0.1251914906045653
미혼 × 경기-시흥시,2700,0.0027,0.0025272212700000007,0.017277872999999944,0.06613138611071291
미혼 × 서울-노원구,3104,0.003104,0.0025197693720000005,0.058423062799999946,0.20852422403338286
미혼 × 인천-남동구,2553,0.002553,0.0024714605160000005,0.008153948399999963,0.03245986034532798
미혼 × 경기-고양시 덕양구,2325,0.002325,0.002459897226,-0.01348972260000001,-0.056399531983444426
미혼 × 경기-파주시,2434,0.002434,0.002416470648,0.0017529351999999963,0.007227928828964484
미혼 × 제주-제주시,2422,0.002422,0.0023900035620000003,0.003199643799999983,0.01329878881202272
미혼 × 서울-은평구,2880,0.00288,0.002341180782,0.053881921800000024,0.20713488435758554
미혼 × 대전-서구,2847,0.002847,0.0023311592640000004,0.051584073599999974,0.19990012625195627
미혼 × 경기-의정부시,2029,0.002029,0.0023154845820000003,-0.028648458200000032,-0.13207592746777058
미혼 × 서울-강동구,2543,0.002543,0.002311630152,0.023136984800000003,0.09539151728436554
미혼 × 경기-김포시,1827,0.001827,0.002280023826,-0.0453023826,-0.22151061551587894
미혼 × 경기-성남시 분당구,2601,0.002601,0.0022430212980000005,0.03579787019999995,0.14807223565475375
미혼 × 광주-북구,2320,0.00232,0.002180836494,0.013916350600000002,0.06185866963213095
미혼 × 서울-성북구,2522,0.002522,0.0021636200400000005,0.03583799599999994,0.15326947422994433
미혼 × 기타,184886,0.184886,0.19089552802800003,-0.6009528028000033,-0.03198688580370339
배우자있음 × 경기-화성시,10656,0.010656,0.010471331536,0.018466846400000056,0.017481920688533593
배우자있음 × 경기-남양주시,8835,0.008835,0.008207243838,0.06277561620000004,0.07370394658701453
배우자있음 × 서울-송파구,7160,0.00716,0.007394281702,-0.023428170200000004,-0.03219697754484678
배우자있음 × 인천-서구,7314,0.007314,0.006954618506000001,0.03593814939999995,0.05038434761751883
배우자있음 × 경기-평택시,6720,0.00672,0.0065629508880000005,0.01570491119999998,0.023647822234658947
배우자있음 × 서울-강서구,5732,0.005732,0.006525028456,-0.07930284560000002,-0.12958080430611915
배우자있음 × 대구-달서구,6132,0.006132,0.0062909759459999996,-0.015897594599999926,-0.02559525601355197
배우자있음 × 서울-강남구,5406,0.005406,0.0061298056100000005,-0.07238056100000002,-0.1256535903349342
배우자있음 × 서울-관악구,5085,0.005085,0.006022556232,-0.0937556232,-0.16921676294907803
배우자있음 × 경상남-김해시,6083,0.006083,0.0059526367479999995,0.013036325200000039,0.021663723019031654
배우자있음 × 인천-부평구,6389,0.006389,0.0058489425979999995,0.05400574020000001,0.08831686919277167
배우자있음 × 경기-시흥시,5634,0.005634,0.005827611230000001,-0.01936112300000006,-0.03378750937852532
배우자있음 × 서울-노원구,5295,0.005295,0.005810427628,-0.05154276279999998,-0.09289119116735545
배우자있음 × 인천-남동구,5307,0.005307,0.005699030484000001,-0.039203048400000134,-0.07126936600139694
배우자있음 × 경기-고양시 덕양구,5926,0.005926,0.005672366273999999,0.025363372600000107,0.04374308619547378
배우자있음 × 경기-파주시,5565,0.005565,0.005572227351999999,-0.0007227351999999736,-0.00129787294199864
배우자있음 × 제주-제주시,5657,0.005657,0.005511195938000001,0.014580406199999913,0.026112068109004797
배우자있음 × 서울-은평구,4788,0.004788,0.005398613718,-0.0610613718,-0.12002941402767847
배우자있음 × 대전-서구,4887,0.004887,0.005375504736,-0.04885047360000004,-0.09527385568906233
배우자있음 × 경기-의정부시,5648,0.005648,0.005339359918,0.030864008200000032,0.05619571994635697
배우자있음 × 서울-강동구,5219,0.005219,0.005330471847999999,-0.011147184799999935,-0.021133948427476647
배우자있음 × 경기-김포시,5990,0.00599,0.005257589673999999,0.07324103260000006,0.13041872728247372
배우자있음 × 경기-성남시 분당구,4653,0.004653,0.005172264202,-0.051926420200000024,-0.10579836988238496
배우자있음 × 광주-북구,4925,0.004925,0.005028870006,-0.010387000600000067,-0.020871033355171483
배우자있음 × 서울-성북구,4849,0.004849,0.00498916996,-0.014016996000000038,-0.028497057122703916
배우자있음 × 기타,442683,0.442683,0.440192924972,0.24900750279999717,0.005640841618229452
사별 × 경기-화성시,1112,0.001112,0.0015531567359999999,-0.044115673599999995,-0.334129267907553
사별 × 경기-남양주시,1089,0.001089,0.001217336688,-0.012833668800000001,-0.11140558586026564
사별 × 서울-송파구,708,0.000708,0.0010967543519999998,-0.03887543519999998,-0.437666414432262
사별 × 인천-서구,671,0.000671,0.001031541456,-0.036054145600000004,-0.43004038474656964
사별 × 경기-평택시,639,0.000639,0.000973447488,-0.0334447488,-0.4209394275314451
사별 × 서울-강서구,751,0.000751,0.000967822656,-0.021682265599999997,-0.25364321211649066
사별 × 대구-달서구,965,0.000965,0.000933106896,0.0031893104000000087,0.03360833470728549
사별 × 서울-강남구,708,0.000708,0.00090920136,-0.020120136,-0.25012249410405124
사별 × 서울-관악구,666,0.000666,0.0008932936319999998,-0.02272936319999998,-0.29362567151779284
사별 × 경상남-김해시,848,0.000848,0.0008829228479999999,-0.003492284799999992,-0.04035718613621439
사별 × 인천-부평구,724,0.000724,0.000867542448,-0.014354244799999992,-0.1808730496502991
사별 × 경기-시흥시,673,0.000673,0.0008643784800000001,-0.019137848000000013,-0.25026539879655924
사별 × 서울-노원구,783,0.000783,0.000861829728,-0.0078829728,-0.09592502383850303
사별 × 인천-남동구,805,0.000805,0.0008453067840000001,-0.0040306784000000056,-0.0488573420371722
사별 × 경기-고양시 덕양구,688,0.000688,0.0008413518239999998,-0.015335182399999977,-0.20122107463113686
사별 × 경기-파주시,733,0.000733,0.0008264987519999999,-0.009349875199999982,-0.120052705391436
사별 × 제주-제주시,722,0.000722,0.0008174462879999999,-0.009544628799999995,-0.1241600589677682
사별 × 서울-은평구,777,0.000777,0.0008007475679999999,-0.002374756799999986,-0.030105400964338377
사별 × 대전-서구,680,0.00068,0.000797319936,-0.01173199359999999,-0.15916322541550837
사별 × 경기-의정부시,699,0.000699,0.0007919587679999999,-0.009295876799999995,-0.12485858761935457
사별 × 서울-강동구,610,0.00061,0.0007906404479999998,-0.018064044799999988,-0.2593843535299768
