cell,n,p_obs,p_indep,diff_pp,pmi
미혼 × 무학,911,0.000911,0.006761955029999999,-0.5850955029999999,-2.0045244355864686
미혼 × 초등학교,1770,0.00177,0.020875335917999997,-1.9105335917999997,-2.467588815901948
미혼 × 중학교,6054,0.006054,0.021907295309999998,-1.5853295309999997,-1.2861004899291357
미혼 × 고등학교,62787,0.062787,0.085151296674,-2.2364296674,-0.30468158943189133
미혼 × 2~3년제 전문대학,66288,0.066288,0.03860468606999999,2.768331393000001,0.540635215455537
미혼 × 4년제 대학교,104935,0.104935,0.06970248427199999,3.5232515728000013,0.4091051513651389
미혼 × 대학원,14217,0.014217,0.013958946726,0.02580532740000009,0.018317786592719792
배우자있음 × 무학,9800,0.0098,0.015592637469999998,-0.5792637469999998,-0.46441646012089965
배우자있음 × 초등학교,47752,0.047752,0.048137194582000005,-0.03851945820000022,-0.008034203554472971
배우자있음 × 중학교,59970,0.05997,0.05051682719,0.945317281,0.17153794471861977
배우자있음 × 고등학교,221330,0.22133,0.19635346482600002,2.4976535173999976,0.11973837341297597
배우자있음 × 2~3년제 전문대학,73682,0.073682,0.08901994642999998,-1.5337946429999985,-0.18910192582574448
배우자있음 × 4년제 대학교,145130,0.14513,0.160729487728,-1.559948772799999,-0.10209285893511012
배우자있음 × 대학원,34874,0.034874,0.032188441774,0.2685558226000001,0.0801341289013249
사별 × 무학,14891,0.014891,0.00231277272,1.257822728,1.8623098871841983
사별 × 초등학교,27929,0.027929,0.007139933232000001,2.0789066768,1.3639621504736463
사별 × 중학교,12615,0.012615,0.007492891440000001,0.5122108559999999,0.5209318190047785
사별 × 고등학교,21158,0.021158,0.029124061776000007,-0.7966061776000007,-0.3195466131028389
사별 × 2~3년제 전문대학,2890,0.00289,0.013203853679999999,-1.0313853679999998,-1.519252230314748
사별 × 4년제 대학교,6902,0.006902,0.023840147328,-1.6938147328000004,-1.239559797368014
사별 × 대학원,1503,0.001503,0.004774339824000001,-0.3271339824000001,-1.1557925968495835
이혼 × 무학,713,0.000713,0.00164763478,-0.093463478,-0.8376146514174229
이혼 × 초등학교,3788,0.003788,0.005086536268000001,-0.12985362680000007,-0.29475892614914573
이혼 × 중학교,6616,0.006616,0.00533798606,0.12780139400000004,0.2146425182074358
이혼 × 고등학교,26102,0.026102,0.020748176724000002,0.5353823275999998,0.22955356565220247
이혼 × 2~3년제 전문대학,7375,0.007375,0.009406513819999998,-0.20315138199999988,-0.24330650663891717
이혼 × 4년제 대학교,14289,0.014289,0.016983880672,-0.26948806720000007,-0.17277468798270448
이혼 × 대학원,3729,0.003729,0.0034012716760000003,0.03277283239999998,0.09199071715055092
