cell,n,p_obs,p_indep,diff_pp,pmi
미혼 × 배우자·자녀와 거주,0,0.0,0.06947096151000001,-6.947096151000001,
미혼 × 배우자와 거주,0,0.0,0.053021796042000004,-5.3021796042,
미혼 × 혼자 거주,73145,0.073145,0.036036350880000005,3.7108649119999995,0.7079155967585224
미혼 × 부모와 동거,92053,0.092053,0.023654122986,6.8398877013999995,1.3588270649414522
미혼 × 기타2세대,7571,0.007571,0.010206016716,-0.2635016716000001,-0.29865226137935125
미혼 × 어머니와 동거,37447,0.037447,0.009622456014,2.7824543986,1.3588270649414522
미혼 × 자녀와 거주 (한부,0,0.0,0.008417561196000001,-0.8417561196000002,
미혼 × 기타3세대,6314,0.006314,0.0073915119300000005,-0.10775119300000004,-0.15756291523800472
미혼 × 혼자 거주 (배우자,0,0.0,0.006076637376,-0.6076637376,
미혼 × 자녀와 거주 (배우,0,0.0,0.0038647084800000004,-0.38647084800000003,
미혼 × 배우자·자녀·어머니,0,0.0,0.003606204708,-0.36062047080000004,
미혼 × 친인척과 거주,235,0.000235,0.0034237616880000007,-0.3188761688000001,-2.6789096202279596
미혼 × 비친족 동거,8490,0.00849,0.003288085752,0.5201914247999999,0.9485834431774364
미혼 × 아버지와 동거,9344,0.009344,0.002401052928,0.6942947072,1.3588270649414522
미혼 × 형제자매와 동거 (,8570,0.00857,0.002344264326,0.6225735673999999,1.2962961001878033
미혼 × 기타,13793,0.013793,0.014136507468000001,-0.034350746800000144,-0.024599416260983806
배우자있음 × 배우자·자녀와 거주,270355,0.270355,0.16019561099000001,11.015938901,0.5233402730083162
배우자있음 × 배우자와 거주,206341,0.206341,0.122264883458,8.4076116542,0.5233402730083162
배우자있음 × 혼자 거주,0,0.0,0.08309752912,-8.309752912,
배우자있음 × 부모와 동거,0,0.0,0.054544900513999996,-5.4544900514,
배우자있음 × 기타2세대,17480,0.01748,0.023534424284,-0.6054424284,-0.2974068422062672
배우자있음 × 어머니와 동거,0,0.0,0.022188770486,-2.2188770486,
배우자있음 × 자녀와 거주 (한부,0,0.0,0.019410359804,-1.9410359804000001,
배우자있음 × 기타3세대,12250,0.01225,0.01704435557,-0.47943555699999985,-0.3302931603162045
배우자있음 × 혼자 거주 (배우자,23648,0.023648,0.014012338624,0.9635661375999999,0.5233402730083162
배우자있음 × 자녀와 거주 (배우,15040,0.01504,0.00891177152,0.612822848,0.5233402730083162
배우자있음 × 배우자·자녀·어머니,14034,0.014034,0.008315678292,0.5718321707999999,0.5233402730083162
배우자있음 × 친인척과 거주,1744,0.001744,0.007894976312,-0.6150976312,-1.510045321836329
배우자있음 × 비친족 동거,2180,0.00218,0.007582116247999999,-0.5402116248,-1.2464674722779574
배우자있음 × 아버지와 동거,0,0.0,0.005536675072,-0.5536675072,
배우자있음 × 형제자매와 동거 (,0,0.0,0.005405724174,-0.5405724174,
배우자있음 × 기타,29466,0.029466,0.032597885532,-0.31318855320000005,-0.10101036900233988
사별 × 배우자·자녀와 거주,0,0.0,0.023760960240000004,-2.376096024,
