cell,n,p_obs,p_indep,diff_pp,pmi
미혼 × 아파트,162255,0.162255,0.15945931087200005,0.2795689127999962,0.017380386320871105
미혼 × 단독주택,37681,0.037681,0.043465893186000006,-0.5784893186000006,-0.1428205772313667
미혼 × 다세대주택,31749,0.031749,0.029388486978000006,0.23605130219999937,0.07725823051787944
미혼 × 주택 이외의 거처,16371,0.016371,0.015485557968,0.0885442032,0.05560363129026324
미혼 × 연립주택,6477,0.006477,0.006615229728000002,-0.013822972800000156,-0.02111708510779547
미혼 × 비주거용 건물 내 ,2429,0.002429,0.002547521268,-0.01185212679999997,-0.04764118463689439
배우자있음 × 아파트,366884,0.366884,0.367703011128,-0.08190111280000356,-0.0022298555649750825
배우자있음 × 단독주택,102340,0.10234,0.10022958031399998,0.2110419686000023,0.02083724557831004
배우자있음 × 다세대주택,66718,0.066718,0.06776797852199999,-0.10499785219999919,-0.015615008612936413
배우자있음 × 주택 이외의 거처,35280,0.03528,0.03570871003199999,-0.042871003199999175,-0.012078406376486496
배우자있음 × 연립주택,15421,0.015421,0.015254298271999998,0.01667017280000023,0.010868899633808408
배우자있음 × 비주거용 건물 내 ,5895,0.005895,0.005874421731999998,0.0020578268000001794,0.0034969073992687392
사별 × 아파트,51807,0.051807,0.054539425728,-0.2732425728000004,-0.05139857271842834
사별 × 단독주택,18981,0.018981,0.014866518863999999,0.4114481136000003,0.2443268504077773
사별 × 다세대주택,8972,0.008972,0.010051662672,-0.10796626719999994,-0.11362944416343515
사별 × 주택 이외의 거처,4896,0.004896,0.005296482431999999,-0.04004824319999989,-0.07862436293149591
사별 × 연립주택,2249,0.002249,0.002262588672,-0.0013588672000000059,-0.0060239148909763006
사별 × 비주거용 건물 내 ,983,0.000983,0.0008713216319999998,0.011167836800000008,0.12059794394851991
이혼 × 아파트,39610,0.03961,0.038854252272000005,0.07557477279999947,0.019264087219042395
이혼 × 단독주택,10151,0.010151,0.010591007636,-0.04400076360000001,-0.04243308204849761
이혼 × 다세대주택,6930,0.00693,0.007160871828000001,-0.02308718280000007,-0.032771924045297315
이혼 × 주택 이외의 거처,3717,0.003717,0.003773249568,-0.00562495680000003,-0.015019693252117952
이혼 × 연립주택,1597,0.001597,0.0016118833280000001,-0.0014883328000000248,-0.009276395060991616
이혼 × 비주거용 건물 내 ,607,0.000607,0.0006207353679999999,-0.0013735367999999902,-0.022376061564860217
