cell,n,p_obs,p_indep,diff_pp,pmi
미혼 × 무직,78693,0.078693,0.094394733738,-1.5701733738000003,-0.18193107881624232
미혼 × 건물 청소원,1391,0.001391,0.004690327386,-0.32993273860000005,-1.215479472197889
미혼 × 건물 경비원,3088,0.003088,0.004489897026000001,-0.14018970260000013,-0.3743061352529197
미혼 × 경리 사무원,5067,0.005067,0.0041489084520000006,0.09180915479999997,0.19990365046240102
미혼 × 사무 보조원,4327,0.004327,0.0035023920600000006,0.08246079399999995,0.21142828047575854
미혼 × 전화 상담원,3086,0.003086,0.002880800982,0.020519901800000004,0.06880737971096468
미혼 × 시설 경비원,2407,0.002407,0.002800114914,-0.03931149140000002,-0.15127929825236208
미혼 × 일반 비서,3976,0.003976,0.0027996009899999997,0.11763990100000007,0.35079938533919686
미혼 × 하역 및 적재 관련,1355,0.001355,0.00235377192,-0.09987719199999999,-0.5522176594129223
미혼 × 한식 조리사,1838,0.001838,0.002201136492,-0.0363136492,-0.18029579031823167
미혼 × 그 외 일반 영업원,2168,0.002168,0.002106831438,0.006116856199999982,0.028619952904811237
미혼 × 주방 보조원,816,0.000816,0.0019380074040000002,-0.11220074040000001,-0.8650012579127434
미혼 × 지게차 운전원,1893,0.001893,0.001896893484,-0.00038934840000000564,-0.00205466743916885
미혼 × 회계 사무원,2739,0.002739,0.0018629745000000003,0.08760254999999999,0.38541848635580983
미혼 × 마케팅 전문가,2571,0.002571,0.0018568074120000001,0.07141925879999998,0.32543636049975605
미혼 × 산업 안전원,2679,0.002679,0.0016977479339999998,0.09812520660000001,0.45614096245617536
미혼 × 교육 및 훈련 사무,1670,0.00167,0.001577232756,0.0092767244,0.05715173517257149
미혼 × 그 외 서비스 관련,504,0.000504,0.001528153014,-0.10241530139999998,-1.1092388366937729
미혼 × 경영 기획 사무원,2272,0.002272,0.0015263542800000003,0.07456457199999998,0.3977784324258034
미혼 × 그 외 상점 판매원,1370,0.00137,0.0014651973240000001,-0.009519732400000022,-0.06717918570899466
미혼 × 기타,133052,0.133052,0.115244116494,1.7807883506000002,0.14368739862353402
배우자있음 × 무직,207415,0.207415,0.217668241762,-1.0253241762000016,-0.04825045966298426
배우자있음 × 건물 청소원,11730,0.01173,0.010815596113999999,0.0914403886000002,0.08116048559305346
배우자있음 × 건물 경비원,12182,0.012182,0.010353416474000001,0.18285835259999988,0.16264289306570767
배우자있음 × 경리 사무원,9583,0.009583,0.009567118548,0.001588145199999877,0.0016586273971176144
배우자있음 × 사무 보조원,7955,0.007955,0.00807629294,-0.012129293999999999,-0.01513231091037481
배우자있음 × 전화 상담원,6965,0.006965,0.006642943518000001,0.03220564819999992,0.04734244106862856
배우자있음 × 시설 경비원,7135,0.007135,0.006456886586,0.06781134140000003,0.09986500194236692
배우자있음 × 일반 비서,6011,0.006011,0.006455701509999999,-0.04447015099999993,-0.07137257133124182
배우자있음 × 하역 및 적재 관련,6549,0.006549,0.00542764808,0.11213519200000002,0.18780646055819397
배우자있음 × 한식 조리사,5556,0.005556,0.005075680508,0.04803194920000005,0.09041781870723453
배우자있음 × 그 외 일반 영업원,5208,0.005208,0.004858219062,0.03497809379999998,0.0695239823005438
배우자있음 × 주방 보조원,4993,0.004993,0.004468921596,0.0524078404,0.11088980569062315
배우자있음 × 지게차 운전원,4718,0.004718,0.004374115516,0.03438844839999998,0.07568064938599277
배우자있음 × 회계 사무원,3987,0.003987,0.004295900500000001,-0.030890050000000058,-0.07462212745904923
배우자있음 × 마케팅 전문가,4076,0.004076,0.004281679588,-0.020567958800000053,-0.049229244356653906
배우자있음 × 산업 안전원,3447,0.003447,0.0039148985659999995,-0.04678985659999995,-0.12728513250470394
배우자있음 × 교육 및 훈련 사무,3951,0.003951,0.0036369982439999997,0.031400175599999997,0.08281002824002553
배우자있음 × 그 외 서비스 관련,3998,0.003998,0.0035238234859999995,0.04741765140000003,0.126247618362068
배우자있음 × 경영 기획 사무원,3274,0.003274,0.0035196757200000005,-0.024567572000000048,-0.07235638141729427
배우자있음 × 그 외 상점 판매원,3600,0.0036,0.0033786516759999998,0.022134832400000012,0.06345712797990036
배우자있음 × 기타,270205,0.270205,0.265745590006,0.4459409993999963,0.01664150760293715
사별 × 무직,59892,0.059892,0.032285568912000004,2.7606431087999996,0.6179225927943008
사별 × 건물 청소원,3798,0.003798,0.001604219664,0.21937803360000002,0.8618371646913195
사별 × 건물 경비원,970,0.00097,0.0015356670240000004,-0.056566702400000037,-0.45942403745973764
사별 × 경리 사무원,464,0.000464,0.0014190396480000002,-0.09550396480000002,-1.1178510653468332
사별 × 사무 보조원,470,0.00047,0.0011979134400000003,-0.07279134400000004,-0.9356038276046018
사별 × 전화 상담원,427,0.000427,0.0009853123680000002,-0.05583123680000001,-0.8361747025430967
사별 × 시설 경비원,601,0.000601,0.000957715536,-0.035671553599999996,-0.4659558640598061
사별 × 일반 비서,272,0.000272,0.00095753976,-0.068553976,-1.2585651787008505
사별 × 하역 및 적재 관련,592,0.000592,0.00080505408,-0.02130540800000001,-0.3074028204022978
사별 × 한식 조리사,517,0.000517,0.0007528486079999999,-0.023584860799999992,-0.3758212812850146
사별 × 그 외 일반 영업원,254,0.000254,0.000720593712,-0.0466593712,-1.0427412051957687
사별 × 주방 보조원,1149,0.001149,0.0006628512960000001,0.048614870399999996,0.5500966024123256
사별 × 지게차 운전원,214,0.000214,0.000648789216,-0.0434789216,-1.10913186618622
사별 × 회계 사무원,116,0.000116,0.0006371880000000001,-0.052118800000000014,-1.7034745543604835
사별 × 마케팅 전문가,167,0.000167,0.000635078688,-0.046807868800000006,-1.335755096908958
사별 × 산업 안전원,105,0.000105,0.000580676016,-0.047567601599999995,-1.7102326194904898
사별 × 교육 및 훈련 사무,105,0.000105,0.000539456544,-0.0434456544,-1.6366018826402857
사별 × 그 외 서비스 관련,1004,0.001004,0.000522669936,0.04813300639999999,0.6527971329269533
사별 × 경영 기획 사무원,61,6.1e-05,0.0005220547200000001,-0.046105472000000015,-2.1468985458015073
사별 × 그 외 상점 판매원,280,0.00028,0.000501137376,-0.022113737600000006,-0.5820906639214954
사별 × 기타,16430,0.01643,0.039416625456,-2.2986625456,-0.8750787611404672
이혼 × 무직,21349,0.021349,0.023000455588,-0.1651455587999999,-0.07450912373669641
이혼 × 건물 청소원,1334,0.001334,0.001142856836,0.019114316399999994,0.1546508233689454
이혼 × 건물 경비원,1233,0.001233,0.0010940194760000002,0.013898052399999979,0.11959171778146627
이혼 × 경리 사무원,1032,0.001032,0.001010933352,0.0021066647999999936,0.020624652042707813
이혼 × 사무 보조원,878,0.000878,0.0008534015600000001,0.0024598439999999893,0.02841639490069877
이혼 × 전화 상담원,733,0.000733,0.000701943132,0.003105686800000001,0.04329330968921856
이혼 × 시설 경비원,754,0.000754,0.0006822829639999999,0.007171703600000008,0.09994789298723068
이혼 × 일반 비서,636,0.000636,0.0006821577399999999,-0.004615773999999998,-0.07006235808243749
이혼 × 하역 및 적재 관련,664,0.000664,0.00057352592,0.009047408,0.1464790177644184
이혼 × 한식 조리사,655,0.000655,0.0005363343919999999,0.011866560800000007,0.19987740341609633
이혼 × 그 외 일반 영업원,569,0.000569,0.000513355788,0.005564421200000001,0.10291128548631376
이혼 × 주방 보조원,584,0.000584,0.000472219704,0.011178029599999997,0.21245663096608522
이혼 × 지게차 운전원,557,0.000557,0.000462201784,0.0094798216,0.18656368229350076
이혼 × 회계 사무원,408,0.000408,0.000453937,-0.004593700000000002,-0.10669124748839827
이혼 × 마케팅 전문가,412,0.000412,0.000452434312,-0.0040434312,-0.09361923640189852
이혼 × 산업 안전원,376,0.000376,0.00041367748399999995,-0.0037677483999999976,-0.0954975026838306
이혼 × 교육 및 훈련 사무,412,0.000412,0.00038431245599999996,0.0027687544000000027,0.06956744012600559
이혼 × 그 외 서비스 관련,441,0.000441,0.00037235356399999993,0.0068646436000000055,0.16920103169641296
이혼 × 경영 기획 사무원,333,0.000333,0.0003719152800000001,-0.003891528000000006,-0.11052359642008634
이혼 × 그 외 상점 판매원,452,0.000452,0.000357013624,0.009498637599999998,0.23590823631577448
이혼 × 기타,28800,0.0288,0.028080668043999998,0.07193319560000015,0.025294017526544428
