cell,n,p_obs,p_indep,diff_pp,pmi
미혼 × 경기,66852,0.066852,0.06736361614799999,-0.051161614799999366,-0.007623831573826512
미혼 × 서울,59348,0.059348,0.047596557335999996,1.1751442664000002,0.22065798834069228
미혼 × 부산,16876,0.016876,0.01677576417,0.010023582999999989,0.005957258343542624
미혼 × 경상남,13710,0.01371,0.016038540192,-0.23285401919999998,-0.15686909424862552
미혼 × 인천,14978,0.014978,0.015158445341999997,-0.018044534199999733,-0.01197536712843931
미혼 × 경상북,10268,0.010268,0.012924674675999998,-0.2656674675999999,-0.23010598693342912
미혼 × 대구,11841,0.011841,0.012060254507999999,-0.02192545079999983,-0.01834720921013124
미혼 × 충청남,9838,0.009838,0.010652616672,-0.08146166719999998,-0.07955312050515384
미혼 × 전라남,6656,0.006656,0.008837180141999999,-0.2181180141999999,-0.2834491337814647
미혼 × 전북,7670,0.00767,0.008785016856,-0.1115016856,-0.1357310249831545
미혼 × 충청북,7139,0.007139,0.008041882751999999,-0.09028827519999985,-0.11909051839063102
미혼 × 강원,6462,0.006462,0.007760252399999999,-0.1298252399999999,-0.1830759920370651
미혼 × 대전,7856,0.007856,0.007360933451999999,0.049506654800000105,0.06509081863594375
미혼 × 광주,7962,0.007962,0.0070906094279999995,0.08713905720000009,0.1159089317337359
미혼 × 울산,4819,0.004819,0.005477658954,-0.0658658954,-0.12811137385140953
미혼 × 제주,2937,0.002937,0.0032564794259999997,-0.03194794259999997,-0.10325802894199189
미혼 × 세종,1750,0.00175,0.0017815175459999998,-0.0031517545999999773,-0.017849767083478383
배우자있음 × 경기,159561,0.159561,0.155336206852,0.42247931480000056,0.026834449918821612
배우자있음 × 서울,102119,0.102119,0.109754628664,-0.7635628663999999,-0.07210842575675037
배우자있음 × 부산,37286,0.037286,0.03868384333000001,-0.13978433300000093,-0.036804106778416106
배우자있음 × 경상남,38489,0.038489,0.036983851808000005,0.1505148191999997,0.0398911064279371
배우자있음 × 인천,35219,0.035219,0.034954409158,0.026459084199999955,0.007541092817675439
배우자있음 × 경상북,31408,0.031408,0.029803476324,0.16045236759999992,0.052437595658646106
배우자있음 × 대구,27530,0.02753,0.027810178492,-0.028017849200000222,-0.010125767337571139
배우자있음 × 충청남,25308,0.025308,0.024564255328,0.07437446720000018,0.02982820047319997
배우자있음 × 전라남,21434,0.021434,0.020377974357999998,0.10560256420000039,0.05052381705729738
배우자있음 × 전북,20918,0.020918,0.020257689144000002,0.06603108559999973,0.032075600036621084
배우자있음 × 충청북,16053,0.016053,0.018544069248,-0.24910692479999974,-0.14425427284681316
