cell,n,p_obs,p_indep,diff_pp,pmi
비현역 × 해당없음,671537,0.671537,0.670858708278,0.06782917220000684,0.0010105690528399954
비현역 × 공학·제조·건설,67340,0.06734,0.06751250537799999,-0.017250537799999577,-0.002558431845400247
비현역 × 경영·행정·법,54284,0.054284,0.05462294953399999,-0.03389495339999882,-0.006224591357082402
비현역 × 예술·인문,48822,0.048822,0.04877201825799999,0.00499817420000076,0.0010242788904895543
비현역 × 보건·복지,34364,0.034364,0.034364522746,-5.227460000006845e-05,-1.5211908509771225e-05
비현역 × 교육,31353,0.031353,0.03133162756399999,0.00213724360000056,0.0006819036072712926
비현역 × 정보통신기술,28946,0.028946,0.029014929341999996,-0.006892934199999659,-0.0023784772010330404
비현역 × 서비스,18345,0.018345,0.018340610483999997,0.0004389516000003618,0.00023930451002675471
비현역 × 사회과학·언론,17025,0.017025,0.017128049241999996,-0.010304924199999732,-0.00603457418928894
비현역 × 자연과학·수학,16827,0.016827,0.016859475382,-0.0032475381999998165,-0.001928096762423954
비현역 × 농림어업·수의학,5875,0.005875,0.005912603791999999,-0.0037603791999999206,-0.006380248306051514
현역 × 해당없음,2884,0.002884,0.0035622917219999997,-0.06782917219999998,-0.21122586046297998
현역 × 공학·제조·건설,531,0.000531,0.00035849462199999995,0.017250537800000004,0.39284836270948614
현역 × 경영·행정·법,629,0.000629,0.00029005046599999996,0.033894953400000004,0.7740763281701096
현역 × 예술·인문,209,0.000209,0.00025898174199999994,-0.004998174199999993,-0.21442331304139875
현역 × 보건·복지,183,0.000183,0.000182477254,5.227460000000069e-05,0.002860623202976941
현역 × 교육,145,0.000145,0.00016637243599999996,-0.0021372435999999963,-0.13749512320675483
현역 × 정보통신기술,223,0.000223,0.000154070658,0.006892934200000001,0.36976045608954866
현역 × 서비스,93,9.3e-05,9.738951599999998e-05,-0.0004389515999999986,-0.04611907309808702
현역 × 사회과학·언론,194,0.000194,9.095075799999998e-05,0.010304924200000001,0.7575399198843391
현역 × 자연과학·수학,122,0.000122,8.9524618e-05,0.0032475381999999995,0.30950739582239867
현역 × 농림어업·수의학,69,6.9e-05,3.139620799999999e-05,0.0037603792000000004,0.7874193833068611
