cell,n,p_obs,p_indep,diff_pp,pmi
비현역 × 경기-화성시,17606,0.017606,0.017578656496,0.0027343504000000574,0.0015542860000820038
비현역 × 경기-남양주시,13808,0.013808,0.013777839018,0.0030160981999999975,0.00218670122729429
비현역 × 서울-송파구,12433,0.012433,0.012413085921999998,0.001991407800000164,0.0016029955242671042
비현역 × 인천-서구,11697,0.011697,0.011675005166,0.0021994834000000144,0.0018821526297669257
비현역 × 경기-평택시,11027,0.011027,0.011017496568000001,0.0009503431999999257,0.000862204547009745
비현역 × 서울-강서구,10980,0.01098,0.010953834616,0.002616538400000007,0.0023858478802074065
비현역 × 대구-달서구,10561,0.010561,0.010560921006,7.899399999920786e-06,7.479812085024083e-06
비현역 × 서울-강남구,10291,0.010291,0.01029035771,6.422900000000592e-05,6.241473563204088e-05
비현역 × 서울-관악구,10120,0.01012,0.010110313752000001,0.0009686247999999079,0.0009575974805855453
비현역 × 경상남-김해시,10004,0.010004,0.009992937028,0.0011062972000000504,0.0011064667667033084
비현역 × 인천-부평구,9837,0.009837,0.009818861378,0.0018138622000000992,0.0018456201740538489
비현역 × 경기-시흥시,9800,0.0098,0.00978305153,0.0016948469999999993,0.0017309329146876341
비현역 × 서울-노원구,9737,0.009737,0.009754204708,-0.0017204707999998736,-0.0017653821532384903
비현역 × 인천-남동구,9581,0.009581,0.009567197724,0.0013802275999999156,0.0014416268924491058
비현역 × 경기-고양시 덕양구,9521,0.009521,0.009522435414,-0.0001435414000000232,-0.00015075158147818217
비현역 × 경기-파주시,9340,0.00934,0.009354328071999998,-0.0014328071999998929,-0.0015328793578879667
비현역 × 제주-제주시,9243,0.009243,0.009251872118,-0.0008872118000000442,-0.0009594138985056789
비현역 × 서울-은평구,9076,0.009076,0.009062875698000001,0.0013124301999999435,0.0014470912650574985
비현역 × 대전-서구,9015,0.009015,0.009024081696,-0.0009081696000000014,-0.0010068912509319627
비현역 × 경기-의정부시,8958,0.008958,0.008963403897999999,-0.0005403897999998325,-0.0006030663886080116
비현역 × 서울-강동구,8959,0.008959,0.008948483128,0.001051687200000033,0.001174578597555759
비현역 × 경기-김포시,8826,0.008826,0.008826132814,-1.3281399999925947e-05,-1.5047926661451201e-05
비현역 × 경기-성남시 분당구,8692,0.008692,0.008682893422,0.0009106578000000337,0.0010482457201542318
비현역 × 광주-북구,8423,0.008423,0.008442171666,-0.001917166600000006,-0.0022735225751294667
비현역 × 서울-성북구,8379,0.008379,0.008375525559999998,0.00034744400000015496,0.0004147464560979873
비현역 × 기타,738804,0.738804,0.738970033892,-0.016603389199998375,-0.00022470809324123017
현역 × 경기-화성시,66,6.6e-05,9.3343504e-05,-0.0027343503999999992,-0.34663153796633084
현역 × 경기-남양주시,43,4.3e-05,7.316098199999999e-05,-0.003016098199999999,-0.5314621303743394
현역 × 서울-송파구,46,4.6e-05,6.591407799999998e-05,-0.001991407799999998,-0.35971064891156246
현역 × 인천-서구,40,4e-05,6.199483399999999e-05,-0.0021994833999999987,-0.4381716048789909
현역 × 경기-평택시,49,4.9e-05,5.8503431999999994e-05,-0.0009503431999999995,-0.17726512107302922
현역 × 서울-강서구,32,3.2e-05,5.8165384e-05,-0.0026165384,-0.5975544983555748
현역 × 대구-달서구,56,5.6e-05,5.607899399999999e-05,-7.899399999999391e-06,-0.0014096131712271376
현역 × 서울-강남구,54,5.4e-05,5.4642289999999996e-05,-6.422899999999982e-05,-0.01182407850817241
현역 × 서울-관악구,44,4.4e-05,5.3686248e-05,-0.0009686248,-0.19896724541459693
현역 × 경상남-김해시,42,4.2e-05,5.3062972e-05,-0.0011062972000000003,-0.23380974091942525
현역 × 인천-부평구,34,3.4e-05,5.213862199999999e-05,-0.001813862199999999,-0.42754545469452976
현역 × 경기-시흥시,35,3.5e-05,5.194847e-05,-0.001694847,-0.39490420422654915
현역 × 서울-노원구,69,6.9e-05,5.179529199999999e-05,0.0017204708000000003,0.28680724749327746
현역 × 인천-남동구,37,3.7e-05,5.0802275999999994e-05,-0.0013802275999999997,-0.31702324408618693
현역 × 경기-고양시 덕양구,52,5.2e-05,5.0564585999999995e-05,0.00014354140000000015,0.027992268742270846
현역 × 경기-파주시,64,6.4e-05,4.967192799999999e-05,0.0014328072000000006,0.25344313880690844
현역 × 제주-제주시,58,5.8e-05,4.9127882e-05,0.0008872118000000002,0.16601627541114905
현역 × 서울-은평구,35,3.5e-05,4.8124302e-05,-0.0013124302000000003,-0.3184392271172483
현역 × 대전-서구,57,5.7e-05,4.7918303999999996e-05,0.0009081696000000008,0.17355370697421355
현역 × 경기-의정부시,53,5.3e-05,4.7596101999999995e-05,0.0005403898000000005,0.10754104642428118
현역 × 서울-강동구,37,3.7e-05,4.7516871999999996e-05,-0.0010516871999999998,-0.25016693532778517
현역 × 경기-김포시,47,4.7e-05,4.6867186e-05,1.3281399999999808e-05,0.0028298299819174127
현역 × 경기-성남시 분당구,37,3.7e-05,4.6106577999999996e-05,-0.0009106577999999999,-0.2200377169839287
현역 × 광주-북구,64,6.4e-05,4.482833399999999e-05,0.0019171666000000005,0.35604268849719173
현역 × 서울-성북구,41,4.1e-05,4.4474439999999985e-05,-0.0003474439999999984,-0.0813425754248677
현역 × 기타,4090,0.00409,0.003923966108,0.016603389200000023,0.04144206549388871
