cell,n,p_obs,p_indep,diff_pp,pmi
비현역 × 무학,26298,0.026298,0.02617600417,0.012199582999999903,0.004649770938168459
비현역 × 초등학교,81203,0.081203,0.08080989560199998,0.03931043980000132,0.004852763948006248
비현역 × 중학교,85095,0.085095,0.08480468309,0.02903169100000047,0.0034175130557090655
비현역 × 고등학교,329774,0.329774,0.32962666668600005,0.014733331399996441,0.0004468703897198201
비현역 × 2~3년제 전문대학,149167,0.149167,0.14944145873,-0.02744587300000101,-0.0018382520606027276
비현역 × 4년제 대학교,269272,0.269272,0.269823225808,-0.05512258079999888,-0.002045004198573343
비현역 × 대학원,53909,0.053909,0.054036065913999995,-0.012706591399999634,-0.0023542710658173136
현역 × 무학,17,1.7e-05,0.00013899583,-0.012199583,-2.1012305886244667
현역 × 초등학교,36,3.6e-05,0.00042910439800000007,-0.039310439800000006,-2.4781813028479687
현역 × 중학교,160,0.00016,0.0004503169100000001,-0.029031691000000005,-1.0347777641112286
현역 × 고등학교,1603,0.001603,0.0017503333140000004,-0.01473333140000004,-0.0879293613146817
현역 × 2~3년제 전문대학,1068,0.001068,0.0007935412700000002,0.02744587299999998,0.29703747082423804
현역 × 4년제 대학교,1984,0.001984,0.0014327741920000003,0.05512258079999998,0.32550244954417945
현역 × 대학원,414,0.000414,0.00028693408600000006,0.012706591399999991,0.3666134499480803
