cell,n,p_obs,p_indep,diff_pp,pmi
비현역 × 배우자·자녀와 거주,268657,0.268657,0.26892698488999994,-0.02699848899999635,-0.0010044380795833638
비현역 × 배우자와 거주,205844,0.205844,0.20525110683799996,0.05928931620000355,0.002884459402293216
비현역 × 혼자 거주,139440,0.13944,0.13949925232,-0.00592523199999806,-0.00042484032202974516
비현역 × 부모와 동거,91329,0.091329,0.09156677605399999,-0.023777605399999402,-0.002600127713065522
비현역 × 기타2세대,39513,0.039513,0.03950820952399999,0.0004790476000007815,0.00012124532223006218
비현역 × 어머니와 동거,37100,0.0371,0.037249204945999995,-0.014920494599999362,-0.004013631252854626
비현역 × 자녀와 거주 (한부,32659,0.032659,0.032584972244,0.0074027756000003,0.0022692605989892765
비현역 × 기타3세대,28613,0.028613,0.028613063269999996,-6.3269999996118376e-06,-2.2112302115473443e-06
비현역 × 혼자 거주 (배우자,23521,0.023521,0.023523091263999995,-0.00020912639999946803,-8.890655320073699e-05
비현역 × 자녀와 거주 (배우,14990,0.01499,0.014960558719999998,0.0029441280000002193,0.001965992671996346
비현역 × 배우자·자녀·어머니,13953,0.013953,0.013959872411999998,-0.0006872411999998135,-0.0004924188408435003
비현역 × 친인척과 거주,13321,0.013321,0.013253622631999997,0.006737736800000241,0.005070816117076336
비현역 × 비친족 동거,12693,0.012693,0.012728411527999998,-0.0035411527999998707,-0.002785962602047645
비현역 × 아버지와 동거,9267,0.009267,0.009294644991999999,-0.0027644991999999785,-0.00297872440213313
비현역 × 형제자매와 동거 (,9049,0.009049,0.009074812313999998,-0.0025812313999997935,-0.002848443915157214
비현역 × 기타,54769,0.054769,0.05472341605199999,0.00455839480000067,0.0008326412417812534
현역 × 배우자·자녀와 거주,1698,0.001698,0.0014280151100000004,0.026998488999999973,0.17316564279525068
현역 × 배우자와 거주,497,0.000497,0.0010898931620000004,-0.05928931620000004,-0.7852449278088671
현역 × 혼자 거주,800,0.0008,0.0007407476800000003,0.005925231999999978,0.07695167318000741
현역 × 부모와 동거,724,0.000724,0.00048622394600000016,0.023777605399999988,0.398122080379602
현역 × 기타2세대,205,0.000205,0.00020979047600000006,-0.0004790476000000063,-0.02309932017850546
현역 × 어머니와 동거,347,0.000347,0.00019779505400000007,0.01492049459999999,0.5620933661264904
현역 × 자녀와 거주 (한부,99,9.9e-05,0.00017302775600000006,-0.007402775600000007,-0.5583321708005388
현역 × 기타3세대,152,0.000152,0.00015193673000000004,6.326999999996729e-06,0.00041633665607883704
현역 × 혼자 거주 (배우자,127,0.000127,0.00012490873600000003,0.00020912639999999658,0.0166037278178593
현역 × 자녀와 거주 (배우,50,5e-05,7.944128000000003e-05,-0.0029441280000000033,-0.4629951269684885
현역 × 배우자·자녀·어머니,81,8.1e-05,7.412758800000003e-05,0.0006872411999999978,0.08866138396740104
현역 × 친인척과 거주,3,3e-06,7.037736800000003e-05,-0.006737736800000002,-3.155259445538264
현역 × 비친족 동거,103,0.000103,6.758847200000003e-05,0.003541152799999997,0.42129155226742326
현역 × 아버지와 동거,77,7.7e-05,4.935500800000002e-05,0.002764499199999998,0.4447661818928718
현역 × 형제자매와 동거 (,74,7.4e-05,4.8187686000000015e-05,0.002581231399999998,0.4289615819658916
현역 × 기타,245,0.000245,0.00029058394800000013,-0.0045583948000000145,-0.17063430162603266
