cell,n,p_obs,p_indep,diff_pp,pmi
비현역 × 아파트,617336,0.617336,0.617278223208,0.00577767920000305,9.359489135338878e-05
비현역 × 단독주택,168120,0.16812,0.16825953385399997,-0.013953385399997909,-0.0008296215908524679
비현역 × 다세대주택,113841,0.113841,0.11376490294199998,0.007609705800001865,0.0006686738775382718
비현역 × 주택 이외의 거처,59976,0.059976,0.05994568555199999,0.0030314448000008654,0.0005055707565512858
비현역 × 연립주택,25593,0.025593,0.025608020191999998,-0.0015020191999996768,-0.0005867145761762198
비현역 × 비주거용 건물 내 ,9852,0.009852,0.009861634251999998,-0.0009634251999998678,-0.0009774202609068704
현역 × 아파트,3220,0.00322,0.0032777767920000003,-0.005777679200000014,-0.0177840257074299
현역 × 단독주택,1033,0.001033,0.000893466146,0.0139533854,0.14511402443774576
현역 × 다세대주택,528,0.000528,0.000604097058,-0.0076097058,-0.13463859337194867
현역 × 주택 이외의 거처,288,0.000288,0.000318314448,-0.003031444799999998,-0.10007924426238804
현역 × 연립주택,151,0.000151,0.000135979808,0.001502019200000002,0.1047734326899567
현역 × 비주거용 건물 내 ,62,6.2e-05,5.2365748e-05,0.0009634252000000006,0.168881671571769
