cell,n,p_obs,p_indep,diff_pp,pmi
비현역 × 무직,367349,0.367349,0.365408662582,0.19403374179999822,0.0052959990791836735
비현역 × 건물 청소원,18253,0.018253,0.018156587654,0.009641234600000007,0.0052959990791836735
비현역 × 건물 경비원,17473,0.017473,0.017380707614,0.009229238600000009,0.0052959990791836735
비현역 × 경리 사무원,16146,0.016146,0.016060716828,0.008528317199999955,0.0052959990791836735
비현역 × 사무 보조원,13630,0.01363,0.01355800634,0.0071993660000000195,0.0052959990791836735
비현역 × 전화 상담원,11211,0.011211,0.011151783498,0.0059216501999999685,0.0052959990791836735
비현역 × 시설 경비원,10897,0.010897,0.010839442046,0.005755795400000027,0.0052959990791836735
비현역 × 일반 비서,10895,0.010895,0.01083745261,0.005754739000000085,0.0052959990791836735
비현역 × 하역 및 적재 관련,9160,0.00916,0.00911161688,0.004838312000000032,0.0052959990791836735
비현역 × 한식 조리사,8566,0.008566,0.008520754388,0.004524561200000034,0.0052959990791836735
비현역 × 그 외 일반 영업원,8199,0.008199,0.008155692882,0.004330711799999977,0.0052959990791836735
비현역 × 주방 보조원,7542,0.007542,0.007502163156,0.003983684399999979,0.0052959990791836735
비현역 × 지게차 운전원,7382,0.007382,0.007343008276,0.003899172400000008,0.0052959990791836735
비현역 × 회계 사무원,7250,0.00725,0.0072117055,0.0038294500000000085,0.0052959990791836735
비현역 × 마케팅 전문가,7226,0.007226,0.007187832268,0.0038167732000000086,0.0052959990791836735
비현역 × 산업 안전원,6607,0.006607,0.006572101826,0.0034898174000000393,0.0052959990791836735
비현역 × 교육 및 훈련 사무,6138,0.006138,0.006105579084,0.0032420915999999828,0.0052959990791836735
비현역 × 그 외 서비스 관련,5947,0.005947,0.005915587946,0.003141205400000041,0.0052959990791836735
비현역 × 경영 기획 사무원,5940,0.00594,0.00590862492,0.0031375079999999833,0.0052959990791836735
비현역 × 그 외 상점 판매원,5702,0.005702,0.0056718820359999995,0.003011796400000013,0.0052959990791836735
비현역 × 기타,443205,0.443205,0.446118091666,-0.29130916660000117,-0.006551279534447746
현역 × 무직,0,0.0,0.001940337418,-0.1940337418,
현역 × 건물 청소원,0,0.0,9.6412346e-05,-0.0096412346,
현역 × 건물 경비원,0,0.0,9.229238599999999e-05,-0.0092292386,
현역 × 경리 사무원,0,0.0,8.528317200000001e-05,-0.008528317200000001,
현역 × 사무 보조원,0,0.0,7.199366e-05,-0.0071993660000000004,
현역 × 전화 상담원,0,0.0,5.9216502000000003e-05,-0.005921650200000001,
현역 × 시설 경비원,0,0.0,5.755795400000001e-05,-0.005755795400000001,
현역 × 일반 비서,0,0.0,5.754739e-05,-0.005754739,
현역 × 하역 및 적재 관련,0,0.0,4.838312e-05,-0.004838312,
현역 × 한식 조리사,0,0.0,4.5245612000000006e-05,-0.004524561200000001,
현역 × 그 외 일반 영업원,0,0.0,4.3307118e-05,-0.0043307118,
현역 × 주방 보조원,0,0.0,3.9836844000000005e-05,-0.0039836844000000005,
현역 × 지게차 운전원,0,0.0,3.8991724e-05,-0.0038991724,
현역 × 회계 사무원,0,0.0,3.8294500000000004e-05,-0.0038294500000000003,
현역 × 마케팅 전문가,0,0.0,3.8167732e-05,-0.0038167732,
현역 × 산업 안전원,0,0.0,3.4898174e-05,-0.0034898174,
현역 × 교육 및 훈련 사무,0,0.0,3.2420916000000004e-05,-0.0032420916000000005,
현역 × 그 외 서비스 관련,0,0.0,3.1412054000000005e-05,-0.0031412054000000003,
현역 × 경영 기획 사무원,0,0.0,3.137508e-05,-0.0031375080000000002,
현역 × 그 외 상점 판매원,0,0.0,3.0117964e-05,-0.0030117964,
현역 × 기타,5282,0.005282,0.0023689083340000003,0.2913091666,0.8018755834106205
