cell,n,p_obs,p_indep,diff_pp,pmi
비현역 × 경기,260953,0.260953,0.260769302572,0.0183697428000007,0.0007041962158243167
비현역 × 서울,184439,0.184439,0.184249625704,0.018937429599999445,0.0010272858962899858
비현역 × 부산,65008,0.065008,0.06494016462999999,0.006783537000000506,0.0010440374645529144
비현역 × 경상남,62076,0.062076,0.062086318688,-0.0010318687999999465,-0.00016621287573860005
비현역 × 인천,58697,0.058697,0.058679409538,0.0017590461999998641,0.00029972738476022223
비현역 × 경상북,50055,0.050055,0.050032325964,0.0022674036000001896,0.0004530850668554828
비현역 × 대구,46682,0.046682,0.046686094612000004,-0.00040946120000023845,-8.770901922426063e-05
비현역 × 충청남,41236,0.041236,0.041237029407999996,-0.00010294079999945138,-2.4963506432084163e-05
비현역 × 전라남,34130,0.03413,0.034209346737999996,-0.007934673799999542,-0.0023221402440249668
비현역 × 전북,33972,0.033972,0.034007418984000004,-0.0035418984000001874,-0.0010420503068250032
비현역 × 충청북,31109,0.031109,0.031130694528000005,-0.0021694528000004015,-0.000697128385450201
비현역 × 강원,29877,0.029877,0.0300404836,-0.016348360000000006,-0.005456971684028123
비현역 × 대전,28471,0.028471,0.028494691828,-0.002369182800000119,-0.0008317929127421867
비현역 × 광주,27391,0.027391,0.027448248491999998,-0.00572484919999991,-0.002087866423069344
비현역 × 울산,21230,0.02123,0.021204403606,0.002559639399999855,0.0012063983432908966
비현역 × 제주,12579,0.012579,0.012606061214,-0.002706121400000011,-0.0021489901640081867
비현역 × 세종,6813,0.006813,0.006896379894,-0.008337989400000051,-0.012164069089638655
현역 × 경기,1201,0.001201,0.0013846974280000003,-0.018369742800000026,-0.14232710913691463
현역 × 서울,789,0.000789,0.0009783742960000003,-0.01893742960000003,-0.21512599171837368
현역 × 부산,277,0.000277,0.00034483537,-0.006783537000000002,-0.2190496085476039
현역 × 경상남,340,0.00034,0.00032968131200000007,0.0010318687999999953,0.030819150970965846
현역 × 인천,294,0.000294,0.0003115904620000001,-0.0017590462000000105,-0.0581099364333262
현역 × 경상북,243,0.000243,0.00026567403600000005,-0.0022674036000000053,-0.0892086854181676
현역 × 대구,252,0.000252,0.00024790538800000005,0.0004094611999999945,0.01638191413607935
현역 × 충청남,220,0.00022,0.00021897059200000005,0.0001029407999999962,0.004690108657666665
현역 × 전라남,261,0.000261,0.00018165326200000003,0.007934673799999997,0.36242069120592835
현역 × 전북,216,0.000216,0.00018058101600000004,0.003541898399999995,0.17909888850545266
현역 × 충청북,187,0.000187,0.00016530547200000007,0.002169452799999992,0.12331350912723893
현역 × 강원,323,0.000323,0.00015951640000000004,0.016348359999999996,0.7055055849668919
현역 × 대전,175,0.000175,0.00015130817200000003,0.0023691827999999973,0.14546734269090011
현역 × 광주,203,0.000203,0.000145751508,0.005724849199999999,0.33130280738100504
현역 × 울산,87,8.7e-05,0.00011259639400000002,-0.0025596394000000017,-0.2579015716714143
현역 × 제주,94,9.4e-05,6.693878600000002e-05,0.0027061213999999977,0.339516222295136
현역 × 세종,120,0.00012,3.662010600000001e-05,0.008337989399999999,1.1868943089467519
