cell,n,p_obs,p_indep,diff_pp,pmi
남자 × 경기-화성시,9225,0.009225,0.008757500976,0.04674990240000013,0.052006602389761555
남자 × 경기-남양주시,6817,0.006817,0.006863973858,-0.004697385799999967,-0.0068670612313267
남자 × 서울-송파구,5865,0.005865,0.006184068282,-0.03190682819999993,-0.05297387083929184
남자 × 인천-서구,5889,0.005889,0.005816364246,0.007263575400000017,0.012410837425433514
남자 × 경기-평택시,5814,0.005814,0.005488800407999999,0.03251995920000011,0.05755907540895548
남자 × 서울-강서구,5169,0.005169,0.005457084696,-0.02880846959999999,-0.054235462485472036
남자 × 대구-달서구,5143,0.005143,0.005261339285999999,-0.011833928599999915,-0.02274904465767014
남자 × 서울-강남구,4853,0.004853,0.005126547509999999,-0.027354750999999955,-0.054835362193440554
남자 × 서울-관악구,5097,0.005097,0.005036851511999999,0.006014848800000097,0.011870944480973668
남자 × 경상남-김해시,5036,0.005036,0.004978375667999999,0.005762433200000045,0.011508449435234328
남자 × 인천-부평구,4762,0.004762,0.004891653017999999,-0.012965301799999947,-0.026862538790093163
남자 × 경기-시흥시,5140,0.00514,0.00487381293,0.02661870699999999,0.05317650620703799
남자 × 서울-노원구,4784,0.004784,0.0048594417479999995,-0.007544174799999949,-0.015646547999724182
남자 × 인천-남동구,4712,0.004712,0.004766276843999999,-0.005427684399999903,-0.01145301792519857
남자 × 경기-고양시 덕양구,4766,0.004766,0.004743976733999999,0.0022023266000001027,0.004631621293320919
남자 × 경기-파주시,4838,0.004838,0.0046602274319999994,0.017777256800000085,0.037437160090999184
남자 × 제주-제주시,4677,0.004677,0.004609184957999999,0.0067815042000000415,0.014605836064405991
남자 × 서울-은평구,4255,0.004255,0.004515028938,-0.026002893799999954,-0.05931683412539731
남자 × 대전-서구,4376,0.004376,0.004495702175999999,-0.011970217599999947,-0.02698680328472949
남자 × 경기-의정부시,4315,0.004315,0.004465473138,-0.015047313799999937,-0.034277850136522306
남자 × 서울-강동구,4459,0.004459,0.004458039768,9.602320000003106e-05,0.0002153701292570706
남자 × 경기-김포시,4363,0.004363,0.004397086133999999,-0.0034086133999999477,-0.0077821851307415205
남자 × 경기-성남시 분당구,4251,0.004251,0.004325725782,-0.007472578200000066,-0.0174256877955732
남자 × 광주-북구,4135,0.004135,0.004205800746,-0.007080074599999982,-0.01697737393089852
남자 × 서울-성북구,4001,0.004001,0.00417259836,-0.017159835999999967,-0.04199461979815072
남자 × 기타,368816,0.368816,0.36814706485199994,0.06689351480000383,0.0018153836022902152
여자 × 경기-화성시,8447,0.008447,0.008914499024000001,-0.04674990240000013,-0.053867706262774886
여자 × 경기-남양주시,7034,0.007034,0.006987026142000001,0.004697385799999967,0.006700512968510785
여자 × 서울-송파구,6614,0.006614,0.006294931718000001,0.03190682819999993,0.049443794143565346
여자 × 인천-서구,5848,0.005848,0.005920635754000001,-0.007263575400000104,-0.01234411156082793
여자 × 경기-평택시,5262,0.005262,0.005587199592,-0.03251995920000002,-0.05996701158093278
여자 × 서울-강서구,5843,0.005843,0.005554915304000001,0.028808469599999904,0.05056118740162062
여자 × 대구-달서구,5474,0.005474,0.0053556607140000006,0.011833928599999915,0.02185553169673294
여자 × 서울-강남구,5492,0.005492,0.005218452490000001,0.027354750999999955,0.05109158781789995
여자 × 서울-관악구,5067,0.005067,0.005127148488,-0.00601484880000001,-0.011800727854463178
여자 × 경상남-김해시,5010,0.00501,0.005067624332,-0.005762433200000045,-0.011436219121397934
여자 × 인천-부평구,5109,0.005109,0.004979346982,0.012965301799999947,0.025704936022591544
여자 × 경기-시흥시,4695,0.004695,0.00496118707,-0.02661870699999999,-0.05514692807111445
여자 × 서울-노원구,5022,0.005022,0.004946558252000001,0.007544174799999949,0.015136228616033495
여자 × 인천-남동구,4906,0.004906,0.004851723156000001,0.005427684399999903,0.011125014090508284
여자 × 경기-고양시 덕양구,4807,0.004807,0.004829023266000001,-0.0022023266000001027,-0.004571035942711025
여자 × 경기-파주시,4566,0.004566,0.004743772568,-0.0177772568,-0.038195171460537525
여자 × 제주-제주시,4624,0.004624,0.004691815042000001,-0.006781504200000128,-0.014559378780572107
여자 × 서울-은평구,4856,0.004856,0.004595971062000001,0.026002893799999868,0.05503499013515725
여자 × 대전-서구,4696,0.004696,0.004576297824000001,0.01197021759999986,0.02582074665008051
여자 × 경기-의정부시,4696,0.004696,0.004545526862,0.015047313799999937,0.032567440382576626
여자 × 서울-강동구,4537,0.004537,0.0045379602320000005,-9.602320000003106e-05,-0.00021162230556072168
여자 × 경기-김포시,4510,0.00451,0.004475913866,0.0034086134000000344,0.00758660677106813
여자 × 경기-성남시 분당구,4478,0.004478,0.004403274218,0.007472578199999979,0.01682811353303218
여자 × 광주-북구,4352,0.004352,0.004281199254,0.007080074599999982,0.016402339675783414
여자 × 서울-성북구,4419,0.004419,0.0042474016400000005,0.017159835999999967,0.03960600900404924
여자 × 기타,374078,0.374078,0.374746935148,-0.06689351479999828,-0.0017866267388824315
