cell,n,p_obs,p_indep,diff_pp,pmi
남자 × 무학,4919,0.004919,0.013040608769999998,-0.8121608769999998,-0.9749629824115529
남자 × 초등학교,26967,0.026967,0.040258636362,-1.3291636361999999,-0.40071065258877936
남자 × 중학교,38025,0.038025,0.04224879729,-0.42237972899999976,-0.1053320487437717
남자 × 고등학교,164649,0.164649,0.16421652336599998,0.043247663400000635,0.0026301138464027004
남자 × 2~3년제 전문대학,76876,0.076876,0.07445015613,0.24258438699999996,0.03206387793218333
남자 × 4년제 대학교,152038,0.152038,0.134423080848,1.7614919152000001,0.12313834375677238
남자 × 대학원,32084,0.032084,0.026920197234,0.5163802766000002,0.1754806320833715
여자 × 무학,21396,0.021396,0.013274391229999998,0.8121608770000001,0.4773672809729432
여자 × 초등학교,54272,0.054272,0.040980363638,1.3291636362,0.28091542384998164
여자 × 중학교,47230,0.04723,0.04300620271,0.4223797290000004,0.09368492954759275
여자 × 고등학교,166728,0.166728,0.16716047663399997,-0.04324766339999786,-0.002590546880922536
여자 × 2~3년제 전문대학,73359,0.073359,0.07578484387,-0.24258438699999996,-0.032533127262739894
여자 × 4년제 대학교,119218,0.119218,0.136832919152,-1.7614919151999988,-0.13780686337372314
여자 × 대학원,22239,0.022239,0.027402802765999996,-0.5163802765999999,-0.20879779454991906
