cell,n,p_obs,p_indep,diff_pp,pmi
남자 × 배우자·자녀와 거주,137643,0.137643,0.13397658309000002,0.366641690999997,0.02699834506117349
남자 × 배우자와 거주,104632,0.104632,0.102253933278,0.23780667219999996,0.022990170737282743
남자 × 혼자 거주,66439,0.066439,0.06949705392,-0.3058053919999998,-0.045000128574159914
남자 × 부모와 동거,53290,0.05329,0.045617600573999995,0.7672399426000003,0.15545507675850387
남자 × 기타2세대,19158,0.019158,0.019682572644,-0.05245726440000001,-0.02701322390028639
남자 × 어머니와 동거,22806,0.022806,0.018557160426,0.4248839574000001,0.20616793787072538
남자 × 자녀와 거주 (한부,7253,0.007253,0.016233488964000002,-0.8980488964000003,-0.805661152097926
남자 × 기타3세대,12492,0.012492,0.01425472587,-0.17627258700000006,-0.13200005231343812
남자 × 혼자 거주 (배우자,14663,0.014663,0.011718955584,0.2944044416,0.2241196478101375
남자 × 자녀와 거주 (배우,3284,0.003284,0.00745319232,-0.4169192320000001,-0.8195802483505256
남자 × 배우자·자녀·어머니,6546,0.006546,0.006954660972,-0.040866097200000034,-0.06055790217012166
남자 × 친인척과 거주,2846,0.002846,0.006602814792,-0.37568147919999995,-0.8415815420827859
남자 × 비친족 동거,7924,0.007924,0.006341160168,0.1582839832,0.22283438533001945
남자 × 아버지와 동거,5857,0.005857,0.004630493952,0.12265060480000003,0.23497397960276056
남자 × 형제자매와 동거 (,4425,0.004425,0.004520975633999999,-0.009597563399999908,-0.021457540322457662
남자 × 기타,26300,0.0263,0.027262627812,-0.09626278119999991,-0.035947880531113204
여자 × 배우자·자녀와 거주,132712,0.132712,0.13637841691,-0.36664169099999977,-0.02725213230144568
여자 × 배우자와 거주,101709,0.101709,0.104087066722,-0.23780667219999996,-0.023111934206640164
여자 × 혼자 거주,73801,0.073801,0.07074294608,0.3058053920000012,0.04231945214682885
여자 × 부모와 동거,38763,0.038763,0.046435399425999994,-0.7672399425999996,-0.1805959036132989
여자 × 기타2세대,20560,0.02056,0.020035427356,0.05245726440000001,0.025845366254673163
여자 × 어머니와 동거,14641,0.014641,0.018889839574,-0.42488395739999996,-0.2547983766244011
여자 × 자녀와 거주 (한부,25505,0.025505,0.016524511036,0.8980488964,0.4340297154243838
여자 × 기타3세대,16273,0.016273,0.014510274129999999,0.17627258700000006,0.11465033347290225
여자 × 혼자 거주 (배우자,8985,0.008985,0.011929044416,-0.2944044416,-0.2834196134205872
여자 × 자녀와 거주 (배우,11756,0.011756,0.00758680768,0.4169192320000001,0.43795284114465893
여자 × 배우자·자녀·어머니,7488,0.007488,0.007079339027999999,0.040866097200000125,0.05612119345487593
여자 × 친인척과 거주,10478,0.010478,0.0067211852079999985,0.3756814792000001,0.4440133117642766
여자 × 비친족 동거,4872,0.004872,0.006454839832,-0.1582839832,-0.281325680569994
여자 × 아버지와 동거,3487,0.003487,0.004713506047999999,-0.1226506047999999,-0.3013902472826752
여자 × 형제자매와 동거 (,4698,0.004698,0.004602024365999999,0.009597563400000082,0.02064059998306571
여자 × 기타,28714,0.028714,0.027751372187999997,0.09626278120000026,0.03409952151936537
