cell,n,p_obs,p_indep,diff_pp,pmi
남자 × 아파트,307639,0.307639,0.30752149024799996,0.011750975200003344,0.0003820458410192581
남자 × 단독주택,84448,0.084448,0.08382512237399999,0.06228776260000096,0.007403208094948071
남자 × 다세대주택,56139,0.056139,0.056676472901999994,-0.05374729019999927,-0.0095284264585217
남자 × 주택 이외의 거처,29632,0.029632,0.029864307311999995,-0.023230731199999632,-0.007809173478638056
남자 × 연립주택,12766,0.012766,0.012757645152,0.0008354848000000428,0.0006546751648248592
남자 × 비주거용 건물 내 ,4934,0.004934,0.004912962011999999,0.002103798800000105,0.004272997089769533
여자 × 아파트,312917,0.312917,0.31303450975200003,-0.011750975200003344,-0.000375459605256163
여자 × 단독주택,84705,0.084705,0.08532787762600001,-0.06228776260000096,-0.007326587904360915
여자 × 다세대주택,58230,0.05823,0.057692527098000004,0.05374729019999927,0.00927303375544062
여자 × 주택 이외의 거처,30632,0.030632,0.030399692688000003,0.023230731199999632,0.0076127147612813605
여자 × 연립주택,12978,0.012978,0.012986354848,-0.0008354848000000428,-0.0006435629413690106
여자 × 비주거용 건물 내 ,4980,0.00498,0.005001037988,-0.002103798800000018,-0.0042155974521388894
