cell,n,p_obs,p_indep,diff_pp,pmi
남자 × 무직,142752,0.142752,0.182042735742,-3.929073574200001,-0.2431326123362033
남자 × 건물 청소원,1511,0.001511,0.009045420173999999,-0.7534420173999998,-1.789486888209058
남자 × 건물 경비원,14421,0.014421,0.008658884934,0.5762115066000001,0.5100995238040186
남자 × 경리 사무원,7479,0.007479,0.008001279468,-0.05222794679999995,-0.06750236918230665
남자 × 사무 보조원,6753,0.006753,0.00675445554,-0.00014555399999996096,-0.00021551653474973322
남자 × 전화 상담원,4904,0.004904,0.005555700738,-0.06517007379999995,-0.12477336195655953
남자 × 시설 경비원,8244,0.008244,0.005400095526,0.2843904473999999,0.42306901961445004
남자 × 일반 비서,3325,0.003325,0.00539910441,-0.20741044100000003,-0.48476341570777914
남자 × 하역 및 적재 관련,7205,0.007205,0.00453931128,0.266568872,0.46199992934643314
남자 × 한식 조리사,1069,0.001069,0.004244949828000001,-0.31759498280000004,-1.3790063685692846
남자 × 그 외 일반 영업원,4569,0.004569,0.004063080042,0.05059199580000001,0.1173530455480803
남자 × 주방 보조원,328,0.000328,0.003737498436,-0.34094984359999997,-2.433158190853172
남자 × 지게차 운전원,5600,0.0056,0.0036582091559999998,0.1941790844,0.42579287171428337
남자 × 회계 사무원,4831,0.004831,0.0035927955000000004,0.12382044999999998,0.2961228952866727
남자 × 마케팅 전문가,3129,0.003129,0.003580902108,-0.04519021080000001,-0.13490128945771682
남자 × 산업 안전원,5366,0.005366,0.003274151706,0.2091848294,0.49402393753667034
남자 × 교육 및 훈련 사무,4037,0.004037,0.003041735004,0.0995264996,0.2830737642542459
남자 × 그 외 서비스 관련,2806,0.002806,0.002947083426,-0.014108342600000021,-0.049056030463200874
남자 × 경영 기획 사무원,5198,0.005198,0.0029436145200000003,0.22543854800000002,0.5686356814257314
남자 × 그 외 상점 판매원,1651,0.001651,0.002825671716,-0.11746717159999999,-0.5373649469715027
남자 × 기타,260380,0.26038,0.222251320746,3.8128679254000013,0.15833328547872116
여자 × 무직,224597,0.224597,0.18530626425800006,3.9290735741999927,0.19229774638252153
여자 × 건물 청소원,16742,0.016742,0.009207579826000001,0.7534420173999998,0.597893493266899
여자 × 건물 경비원,3052,0.003052,0.008814115066000003,-0.5762115066000003,-1.0605573078250092
여자 × 경리 사무원,8667,0.008667,0.008144720532000002,0.05222794679999969,0.062152780289065575
여자 × 사무 보조원,6877,0.006877,0.006875544460000002,0.0001455539999997875,0.00021167573893931816
여자 × 전화 상담원,6307,0.006307,0.005655299262000002,0.06517007379999978,0.10906709961973894
여자 × 시설 경비원,2653,0.002653,0.005496904474000002,-0.2843904474000002,-0.728494035729465
여자 × 일반 비서,7570,0.00757,0.005495895590000002,0.20741044099999986,0.32019151016245573
여자 × 하역 및 적재 관련,1955,0.001955,0.004620688720000001,-0.26656887200000007,-0.8601535741390283
여자 × 한식 조리사,7497,0.007497,0.004321050172000002,0.3175949827999998,0.5510044724374271
여자 × 그 외 일반 영업원,3630,0.00363,0.004135919958000001,-0.05059199580000014,-0.13047713622759982
여자 × 주방 보조원,7214,0.007214,0.0038045015640000013,0.34094984359999986,0.6398385947548633
여자 × 지게차 운전원,1782,0.001782,0.0037237908440000012,-0.19417908440000012,-0.7370058644495079
여자 × 회계 사무원,2419,0.002419,0.0036572045000000013,-0.12382045000000011,-0.4133448261290118
여자 × 마케팅 전문가,4097,0.004097,0.003645097892000001,0.04519021079999988,0.11687177694896696
여자 × 산업 안전원,1241,0.001241,0.0033328482940000012,-0.20918482940000013,-0.9879097757155971
여자 × 교육 및 훈련 사무,2101,0.002101,0.003096264996000001,-0.09952649960000008,-0.3877831232249995
여자 × 그 외 서비스 관련,3141,0.003141,0.002999916574000001,0.014108342599999891,0.04595674094173427
여자 × 경영 기획 사무원,742,0.000742,0.0029963854800000014,-0.22543854800000013,-1.3958127580796287
여자 × 그 외 상점 판매원,4051,0.004051,0.0028763282840000006,0.11746717159999992,0.34244918483975473
여자 × 기타,188107,0.188107,0.22623567925400007,-3.812867925400007,-0.18456633459954278
