cell,n,p_obs,p_indep,diff_pp,pmi
남자 × 경기,131624,0.131624,0.12991251193199999,0.17114880680000055,0.01308813432337808
남자 × 서울,89054,0.089054,0.09179121722400001,-0.2737217224000013,-0.03027369279639491
남자 × 부산,31473,0.031473,0.03235250403000001,-0.08795040300000057,-0.027561386861557388
남자 × 경상남,31249,0.031249,0.030930748128,0.031825187199999855,0.01023660148708548
남자 × 인천,29176,0.029176,0.029233461978,-0.0057461977999998665,-0.0019675578097012947
남자 × 경상북,25156,0.025156,0.024925576284000002,0.02304237159999993,0.009202000378468253
남자 × 대구,22739,0.022739,0.023258519172000003,-0.051951917200000405,-0.022589968937762696
남자 × 충청남,21236,0.021236,0.020543852448,0.06921475520000019,0.033136109482657654
남자 × 전라남,17354,0.017354,0.017042735178000003,0.03112648219999979,0.01809900371045986
남자 × 전북,16871,0.016871,0.016942136903999996,-0.007113690399999581,-0.004207655098946941
남자 × 충청북,15952,0.015952,0.015508983168000002,0.044301683199999935,0.028164797948062283
남자 × 강원,15148,0.015148,0.014965851599999998,0.01821484000000019,0.012097464239711149
남자 × 대전,14253,0.014253,0.014195754468,0.0057245532000000515,0.004024472096207245
남자 × 광주,13531,0.013531,0.013674427452,-0.014342745199999972,-0.010544129923347976
남자 × 울산,10910,0.01091,0.010563809886,0.03461901140000001,0.03224580197490853
남자 × 제주,6397,0.006397,0.0062802065340000005,0.011679346599999946,0.018426262949059836
남자 × 세종,3435,0.003435,0.003435703614,-7.036140000000503e-05,-0.00020481570505410905
여자 × 경기,130530,0.13053,0.132241488068,-0.17114880680000055,-0.01302662083157739
여자 × 서울,96174,0.096174,0.09343678277600001,0.27372172239999853,0.02887396329217344
여자 × 부산,33812,0.033812,0.03293249597000001,0.08795040299999918,0.026355879316360745
여자 × 경상남,31167,0.031167,0.031485251872000006,-0.03182518720000055,-0.010159398898114801
여자 × 인천,29815,0.029815,0.029757538022000003,0.0057461977999998665,0.001929143787683889
여자 × 경상북,25142,0.025142,0.025372423716000004,-0.023042371600000278,-0.00912314928145437
여자 × 대구,24195,0.024195,0.023675480828000004,0.05195191719999971,0.021706051854560215
여자 × 충청남,20220,0.02022,0.020912147552000004,-0.06921475520000053,-0.03365799911774728
여자 × 전라남,17037,0.017037,0.017348264822000005,-0.031126482200000485,-0.018105041568737806
여자 × 전북,17317,0.017317,0.017245863096,0.007113690399999928,0.00411638377592392
여자 × 충청북,15344,0.015344,0.015787016832000005,-0.044301683200000455,-0.02846336460164292
여자 × 강원,15052,0.015052,0.015234148400000001,-0.01821484000000019,-0.012028640539951526
여자 × 대전,14393,0.014393,0.014450245532,-0.0057245532000000515,-0.00396942896745802
여자 × 광주,14063,0.014063,0.013919572548000001,0.014342745199999972,0.010251288211950727
여자 × 울산,10407,0.010407,0.010753190114000001,-0.034619011400000184,-0.032723808685653534
여자 × 제주,6276,0.006276,0.006392793466000001,-0.011679346600000032,-0.018438500119459307
여자 × 세종,3498,0.003498,0.003497296386,7.036139999996166e-05,0.0002011677457385447
