,경기-화성시,경기-남양주시,서울-송파구,인천-서구,경기-평택시,서울-강서구,대구-달서구,서울-강남구,서울-관악구,경상남-김해시,인천-부평구,경기-시흥시,서울-노원구,인천-남동구,경기-고양시 덕양구,경기-파주시,제주-제주시,서울-은평구,대전-서구,경기-의정부시,서울-강동구,경기-김포시,경기-성남시 분당구,광주-북구,서울-성북구,기타
해당없음,11114,9658,5636,8544,8048,6634,7495,3329,5846,7271,7406,7414,5987,7239,6042,6691,6226,5724,5538,6731,5165,5691,3085,5584,5102,511221
공학·제조·건설,1584,888,1361,702,706,811,649,1308,840,639,495,585,744,556,723,596,593,616,699,494,791,683,1045,596,628,48539
경영·행정·법,1060,704,1146,511,482,769,529,1209,758,461,391,391,634,367,597,490,517,595,609,381,636,548,958,505,597,39068
예술·인문,957,619,1057,463,445,679,466,1125,711,373,399,347,611,363,586,412,483,540,549,338,610,478,934,427,525,34534
보건·복지,615,445,740,327,284,446,328,807,418,308,269,265,378,248,381,258,337,370,374,277,397,318,572,321,348,24716
교육,597,401,632,295,270,451,323,699,409,258,233,208,401,226,327,246,314,318,346,219,398,269,567,275,309,22507
정보통신기술,615,375,635,292,297,429,283,611,431,231,241,226,361,223,300,257,246,345,302,187,341,343,532,263,299,20504
서비스,348,229,376,208,181,249,174,408,251,177,128,131,229,144,205,127,196,204,200,137,200,169,288,169,190,13120
사회과학·언론,314,211,418,180,154,243,146,375,226,137,129,117,187,94,195,148,164,168,211,106,194,161,360,161,192,12228
자연과학·수학,365,249,354,157,161,218,156,383,198,142,132,119,215,124,164,134,154,181,192,101,204,164,287,134,183,12078
농림어업·수의학,103,72,124,58,48,83,68,91,76,49,48,32,59,34,53,45,71,50,52,40,60,49,101,52,47,4379
