,경기,서울,부산,경상남,인천,경상북,대구,충청남,전라남,전북,충청북,강원,대전,광주,울산,제주,세종
경기-화성시,17672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경기-남양주시,13851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울-송파구,0,12479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인천-서구,0,0,0,0,11737,0,0,0,0,0,0,0,0,0,0,0,0
경기-평택시,11076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울-강서구,0,11012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
대구-달서구,0,0,0,0,0,0,10617,0,0,0,0,0,0,0,0,0,0
서울-강남구,0,10345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울-관악구,0,10164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경상남-김해시,0,0,0,10046,0,0,0,0,0,0,0,0,0,0,0,0,0
인천-부평구,0,0,0,0,9871,0,0,0,0,0,0,0,0,0,0,0,0
경기-시흥시,9835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울-노원구,0,9806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인천-남동구,0,0,0,0,9618,0,0,0,0,0,0,0,0,0,0,0,0
경기-고양시 덕양구,9573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경기-파주시,9404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
제주-제주시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9301,0
서울-은평구,0,9111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
대전-서구,0,0,0,0,0,0,0,0,0,0,0,0,9072,0,0,0,0
경기-의정부시,9011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울-강동구,0,8996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경기-김포시,8873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경기-성남시 분당구,8729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
광주-북구,0,0,0,0,0,0,0,0,0,0,0,0,0,8487,0,0,0
서울-성북구,0,8420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
기타,164130,104895,65285,52370,27765,50298,36317,41456,34391,34188,31296,30200,19574,19107,21317,3372,6933
