,경기,서울,부산,경상남,인천,경상북,대구,충청남,전라남,전북,충청북,강원,대전,광주,울산,제주,세종
배우자·자녀와 거주,81449,52583,17412,15568,16070,11213,13389,8721,6972,6531,5542,6794,8174,7619,6472,3266,2580
배우자와 거주,48413,30928,13562,15414,11489,13858,9454,10684,9718,9383,5677,7987,5684,5092,4732,3032,1234
혼자 거주,31614,29935,10122,8561,8045,7252,6801,5831,5288,4552,3846,4730,4360,4542,2305,1659,797
부모와 동거,25942,19270,6064,5343,5294,3888,4606,3323,2287,2941,1768,2102,2727,2608,2151,941,798
기타2세대,10541,6933,2287,2523,2637,2124,1515,1881,1678,1761,1345,1161,942,930,802,515,143
어머니와 동거,9897,7972,2836,2197,2154,1502,2012,1423,934,1157,718,935,1100,1297,694,407,212
자녀와 거주 (한부모),8997,6059,2627,1827,1980,1433,1821,1072,871,888,1188,863,939,1069,641,284,199
기타3세대,7590,5221,1801,1741,1853,1334,1223,1208,1077,1232,1117,871,749,604,603,392,149
혼자 거주 (배우자 별거),5182,3040,1179,1926,1859,1696,918,1473,1266,1072,764,1038,603,621,501,377,133
자녀와 거주 (배우자 별거),3805,2709,996,903,890,687,803,515,501,472,561,456,474,640,319,213,96
배우자·자녀·어머니와 거주,4055,2481,833,900,834,572,666,638,437,544,362,373,415,332,302,208,82
친인척과 거주,3200,2175,848,798,658,758,541,626,555,469,1167,460,343,266,196,190,74
비친족 동거,3229,2380,567,747,959,582,381,806,449,450,839,432,237,230,225,195,88
아버지와 동거,2461,1756,671,557,591,440,455,369,280,349,272,236,281,263,206,95,62
형제자매와 동거 (가구주),1922,3100,572,338,405,259,353,216,193,211,544,167,254,343,108,102,36
기타,13857,8686,2908,3073,3273,2700,1996,2670,1885,2176,5586,1595,1364,1138,1060,797,250
