,경기,서울,부산,경상남,인천,경상북,대구,충청남,전라남,전북,충청북,강원,대전,광주,울산,제주,세종
무직,89605,67302,28108,24062,20634,19615,19270,14747,13046,13312,10853,11553,10856,10316,7952,3950,2168
건물 청소원,4579,3016,1145,1254,1051,1071,823,861,847,764,630,581,454,484,398,227,68
건물 경비원,4233,1939,736,1355,840,1509,599,1217,1215,943,758,723,340,319,324,341,82
경리 사무원,4481,2736,893,1024,929,889,668,768,617,617,579,436,429,393,303,269,115
사무 보조원,3818,2929,840,763,867,555,656,476,361,393,366,329,370,370,257,203,77
전화 상담원,3166,2760,638,535,717,394,480,343,271,312,304,264,322,326,184,141,54
시설 경비원,2839,1751,667,651,702,597,452,468,397,446,366,469,307,285,208,229,63
일반 비서,3024,2289,593,635,635,487,443,442,294,317,392,261,294,322,254,128,85
하역 및 적재 관련 단순 종사원,2525,1134,489,663,595,655,372,493,551,334,322,331,167,195,175,131,28
한식 조리사,2226,1367,493,566,545,480,361,373,290,324,292,366,257,230,193,155,48
그 외 일반 영업원,2339,1936,532,380,537,303,337,273,226,235,186,188,193,243,135,117,39
주방 보조원,1656,869,353,603,402,608,301,447,486,411,295,397,186,191,127,133,77
지게차 운전원,2441,808,344,409,676,463,214,505,238,205,411,156,112,126,144,76,54
회계 사무원,2064,1733,441,344,409,298,312,218,194,221,202,178,178,202,129,91,36
마케팅 전문가,2092,1998,410,250,368,239,291,171,139,194,180,164,237,228,104,101,60
산업 안전원,1961,942,408,366,367,311,372,316,161,223,300,188,221,190,146,58,77
교육 및 훈련 사무원,1697,954,266,412,312,338,231,358,225,254,290,200,130,132,172,95,72
그 외 서비스 관련 단순 종사원,1600,1238,427,355,361,265,280,263,153,173,154,193,132,159,102,61,31
경영 기획 사무원,1654,1461,318,300,293,231,262,190,140,164,156,163,205,184,77,87,55
그 외 상점 판매원,1680,1311,414,277,430,167,289,163,133,133,129,105,138,169,73,77,14
기타,122474,84755,26770,27212,27321,20823,19921,18364,14407,14213,14131,12955,13118,12530,9860,6003,3630
