x,y,mi_xy,cmi_min_any,n_unique_klasses,eps=0.0005,eps=0.001,eps=0.002,eps=0.005,eps=0.01,eps=0.02,eps=0.05
marital_status,education_level,0.104547090477114,0.0042717540184276,2,direct,direct,direct,mediated,mediated,mediated,mediated
family_type,education_level,0.089898483840149,0.0038291427262804,2,direct,direct,direct,mediated,mediated,mediated,mediated
education_level,district,0.0523478015461186,0.0181192182886108,2,direct,direct,direct,direct,direct,mediated,mediated
marital_status,occupation,0.0499321689233223,0.0183912173113054,3,direct,direct,direct,direct,direct,mediated,no_edge_marginal
occupation,province,0.0491286630940047,2.260469589288051e-17,2,mediated,mediated,mediated,mediated,mediated,mediated,no_edge_marginal
family_type,district,0.0488022440349181,0.0301194838633878,2,direct,direct,direct,direct,direct,direct,no_edge_marginal
sex,bachelors_field,0.037483679710861,0.0250328211391345,2,direct,direct,direct,direct,direct,direct,no_edge_marginal
military_status,occupation,0.0329639309687438,0.0295137274400795,2,direct,direct,direct,direct,direct,direct,no_edge_marginal
bachelors_field,district,0.0309382676300534,0.0031837338897005,3,direct,direct,direct,mediated,mediated,mediated,no_edge_marginal
sex,marital_status,0.0279241450114458,0.0087158192756503,3,direct,direct,direct,direct,mediated,mediated,no_edge_marginal
marital_status,bachelors_field,0.0247240023032375,0.0003095158128956,2,mediated,mediated,mediated,mediated,mediated,mediated,no_edge_marginal
age_bin,district,0.0217517629146075,0.0146613214822463,3,direct,direct,direct,direct,direct,mediated,no_edge_marginal
family_type,bachelors_field,0.0186137650996343,0.000983461411104,3,direct,mediated,mediated,mediated,mediated,no_edge_marginal,no_edge_marginal
family_type,province,0.0180643285016919,2.3022916906256793e-17,2,mediated,mediated,mediated,mediated,mediated,no_edge_marginal,no_edge_marginal
education_level,province,0.017933827648729,1.4230394640435408e-17,2,mediated,mediated,mediated,mediated,mediated,no_edge_marginal,no_edge_marginal
sex,family_type,0.0175808129232077,0.0077201820044217,3,direct,direct,direct,direct,mediated,no_edge_marginal,no_edge_marginal
marital_status,district,0.015792683044747,0.0087754687549881,3,direct,direct,direct,direct,mediated,no_edge_marginal,no_edge_marginal
sex,education_level,0.013636062445642,0.0049984667129446,3,direct,direct,direct,mediated,mediated,no_edge_marginal,no_edge_marginal
bachelors_field,province,0.0120145730603197,2.7017277304253187e-18,2,mediated,mediated,mediated,mediated,mediated,no_edge_marginal,no_edge_marginal
housing_type,occupation,0.0096685913558513,0.0096494708810358,2,direct,direct,direct,direct,no_edge_marginal,no_edge_marginal,no_edge_marginal
age_bin,province,0.0070904414323612,9.528600131147868e-18,2,mediated,mediated,mediated,mediated,no_edge_marginal,no_edge_marginal,no_edge_marginal
marital_status,province,0.0063987826199206,3.3598124282718803e-17,2,mediated,mediated,mediated,mediated,no_edge_marginal,no_edge_marginal,no_edge_marginal
housing_type,education_level,0.0041796902516232,0.002327409793311,2,direct,direct,direct,no_edge_marginal,no_edge_marginal,no_edge_marginal,no_edge_marginal
age_bin,sex,0.0032831133301518,0.003138114590464,2,direct,direct,direct,no_edge_marginal,no_edge_marginal,no_edge_marginal,no_edge_marginal
age_bin,housing_type,0.002513827414423,0.0010619753941098,3,direct,direct,mediated,no_edge_marginal,no_edge_marginal,no_edge_marginal,no_edge_marginal
family_type,housing_type,0.002135244228137,0.0020119491194517,2,direct,direct,direct,no_edge_marginal,no_edge_marginal,no_edge_marginal,no_edge_marginal
sex,military_status,0.0020138323308448,0.0,2,mediated,mediated,mediated,no_edge_marginal,no_edge_marginal,no_edge_marginal,no_edge_marginal
housing_type,bachelors_field,0.0019472635483968,9.498309008467475e-05,2,mediated,mediated,no_edge_marginal,no_edge_marginal,no_edge_marginal,no_edge_marginal,no_edge_marginal
age_bin,military_status,0.0015813699375072,8.756217972916137e-18,2,mediated,mediated,no_edge_marginal,no_edge_marginal,no_edge_marginal,no_edge_marginal,no_edge_marginal
marital_status,housing_type,0.0012800876591005,0.0003052223879833,2,mediated,mediated,no_edge_marginal,no_edge_marginal,no_edge_marginal,no_edge_marginal,no_edge_marginal
military_status,education_level,0.0006860930534675,1.7849416389381646e-17,2,mediated,no_edge_marginal,no_edge_marginal,no_edge_marginal,no_edge_marginal,no_edge_marginal,no_edge_marginal
sex,district,0.0006560541856465,0.0004531938449768,2,mediated,no_edge_marginal,no_edge_marginal,no_edge_marginal,no_edge_marginal,no_edge_marginal,no_edge_marginal
military_status,district,0.0005668930815756,1.5563328403800462e-17,2,mediated,no_edge_marginal,no_edge_marginal,no_edge_marginal,no_edge_marginal,no_edge_marginal,no_edge_marginal
marital_status,military_status,0.0005398486684984,1.7047335765241202e-17,2,mediated,no_edge_marginal,no_edge_marginal,no_edge_marginal,no_edge_marginal,no_edge_marginal,no_edge_marginal
