mi_xy,x,y,0.0005,0.001,0.002,0.005,0.01,0.02,0.05
2.425605651865646,district,province,direct,direct,direct,direct,direct,direct,direct
0.7504626506021759,marital_status,family_type,direct,direct,direct,direct,direct,direct,direct
0.631028622067252,education_level,bachelors_field,direct,direct,direct,direct,direct,direct,direct
0.3302719891726565,age_bin,family_type,direct,direct,direct,direct,direct,direct,direct
0.3152473619150616,age_bin,marital_status,direct,direct,direct,direct,direct,direct,direct
0.313982082661922,education_level,occupation,direct,direct,direct,direct,direct,direct,direct
0.2758507854536633,age_bin,education_level,direct,direct,direct,direct,direct,direct,direct
0.2347991672146094,bachelors_field,occupation,direct,direct,direct,direct,direct,direct,direct
0.1917946674507536,occupation,district,direct,direct,direct,direct,direct,direct,direct
0.1659744868425882,age_bin,occupation,direct,direct,direct,direct,direct,direct,direct
0.1553263695389767,housing_type,district,direct,direct,direct,direct,direct,direct,direct
0.1171140063231909,sex,occupation,direct,direct,direct,direct,direct,direct,direct
0.104547090477114,marital_status,education_level,direct,direct,direct,mediated,mediated,mediated,mediated
0.089898483840149,family_type,education_level,direct,direct,direct,mediated,mediated,mediated,mediated
0.0752522766318763,housing_type,province,mediated,mediated,mediated,mediated,mediated,mediated,mediated
0.0696139491050686,family_type,occupation,direct,direct,direct,direct,direct,direct,direct
0.0650921186215516,age_bin,bachelors_field,mediated,mediated,mediated,mediated,mediated,mediated,mediated
0.0523478015461186,education_level,district,direct,direct,direct,direct,direct,mediated,mediated
0.0499321689233223,marital_status,occupation,direct,direct,direct,direct,direct,mediated,no_edge_marginal
0.0491286630940047,occupation,province,mediated,mediated,mediated,mediated,mediated,mediated,no_edge_marginal
0.0488022440349181,family_type,district,direct,direct,direct,direct,direct,direct,no_edge_marginal
0.037483679710861,sex,bachelors_field,direct,direct,direct,direct,direct,direct,no_edge_marginal
0.0329639309687438,military_status,occupation,direct,direct,direct,direct,direct,direct,no_edge_marginal
0.0309382676300534,bachelors_field,district,direct,direct,direct,mediated,mediated,mediated,no_edge_marginal
0.0279241450114458,sex,marital_status,direct,direct,direct,direct,mediated,mediated,no_edge_marginal
0.0247240023032375,marital_status,bachelors_field,mediated,mediated,mediated,mediated,mediated,mediated,no_edge_marginal
0.0217517629146075,age_bin,district,direct,direct,direct,direct,direct,mediated,no_edge_marginal
0.0186137650996343,family_type,bachelors_field,direct,mediated,mediated,mediated,mediated,no_edge_marginal,no_edge_marginal
0.0180643285016919,family_type,province,mediated,mediated,mediated,mediated,mediated,no_edge_marginal,no_edge_marginal
